Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,57.4,24.6,.700,-0.31,0.31,5.74,44-17,13-8,64-18,49-33,100.0%,97.0%,31.4%,21.7%,57,1,0.217,bos
2,Milwaukee Bucks,55.9,26.1,.682,-0.08,0.13,3.57,43-17,13-9,63-19,47-35,100.0%,93.0%,14.9%,8.4%,56,1,0.084,mil
3,Philadelphia 76ers,52.0,30.0,.634,-0.19,0.72,3.61,39-20,13-10,60-22,43-39,100.0%,3.0%,13.5%,7.4%,52,1,0.07400000000000001,phi
4,Cleveland Cavaliers,51.0,31.0,.622,0.10,-1.15,5.49,39-25,12-6,57-25,44-38,100.0%,7.0%,26.9%,17.7%,51,1,0.177,cle
5,New York Knicks,46.4,35.6,.565,0.08,0.01,2.70,35-27,11-9,53-29,38-44,97.1%,,6.4%,3.3%,46,0.971,0.033,ny
6,Brooklyn Nets,45.6,36.4,.556,0.12,0.25,1.02,34-26,12-10,53-29,38-44,94.4%,,2.8%,1.1%,46,0.9440000000000001,0.011000000000000001,bkn
7,Miami Heat,41.8,40.2,.510,-0.05,0.90,-0.58,32-29,10-11,50-32,33-49,56.0%,50.4%,0.7%,0.2%,42,0.56,0.002,mia
8,Atlanta Hawks,41.4,40.6,.505,-0.05,0.29,-0.09,31-30,10-11,50-32,34-48,53.0%,36.5%,0.9%,0.4%,41,0.53,0.004,atl
9,Washington Wizards,39.5,42.5,.482,0.22,-0.27,0.07,28-32,12-10,48-34,31-51,28.9%,13.1%,0.4%,0.2%,40,0.289,0.002,wsh
10,Toronto Raptors,39.9,42.1,.487,0.01,0.51,0.58,30-32,10-10,49-33,33-49,34.6%,,0.9%,0.4%,40,0.34600000000000003,0.004,tor
11,Chicago Bulls,39.4,42.6,.480,0.30,-0.48,1.07,28-33,11-10,47-35,30-52,32.8%,,1.2%,0.5%,39,0.32799999999999996,0.005,chi
12,Indiana Pacers,36.0,46.0,.439,0.46,-0.45,-1.94,27-35,9-11,44-38,29-53,3.0%,,,0,36,0.03,0,ind
13,Orlando Magic,33.8,48.2,.412,0.17,0.21,-2.68,25-36,9-12,43-39,27-55,0.2%,,,0,34,0.002,0,orl
14,Detroit Pistons,22.0,60.0,.269,0.77,-0.56,-6.68,15-46,7-14,30-52,15-67,0,,,0,22,0,0,det
15,Charlotte Hornets,26.1,55.9,.318,0.35,0.27,-5.65,19-43,7-13,35-47,19-63,0,,,0,26,0,0,cha
1,Denver Nuggets,55.3,26.7,.674,-0.23,-0.46,3.88,43-19,12-8,62-20,48-34,100.0%,100.0%,29.9%,13.9%,55,1,0.139,den
2,Memphis Grizzlies,50.6,31.4,.617,-0.02,-1.27,3.98,36-23,15-8,58-24,42-40,100.0%,98.8%,28.0%,12.9%,51,1,0.129,mem
3,Sacramento Kings,46.8,35.2,.571,-0.67,0.60,1.94,35-25,12-10,55-27,39-43,98.9%,75.3%,11.9%,4.3%,47,0.9890000000000001,0.043,sac
4,Phoenix Suns,43.6,38.4,.532,-0.05,0.18,1.37,33-29,11-9,52-30,35-47,87.5%,18.6%,7.8%,2.0%,44,0.875,0.02,phx
5,Dallas Mavericks,42.7,39.3,.521,-0.10,-0.61,0.74,32-30,11-9,52-30,35-47,77.8%,0.9%,5.3%,1.5%,43,0.778,0.015,dal
6,LA Clippers,42.0,40.0,.512,-0.54,1.00,-0.41,33-30,9-10,50-32,34-48,60.9%,3.2%,2.4%,0.5%,42,0.609,0.005,lac
7,Golden State Warriors,41.3,40.7,.504,-0.22,0.28,-0.02,31-30,10-11,50-32,33-49,53.2%,2.7%,2.4%,0.6%,41,0.532,0.006,gs
8,New Orleans Pelicans,41.7,40.3,.509,0.07,-1.07,0.99,30-31,12-9,49-33,33-49,62.8%,0.3%,4.4%,1.2%,42,0.628,0.012,no
9,Utah Jazz,41.2,40.8,.503,-0.11,-0.09,0.49,31-31,10-10,49-33,33-49,54.5%,,2.7%,0.6%,41,0.545,0.006,uta
10,Oklahoma City Thunder,40.2,41.8,.490,0.07,-0.62,1.32,28-32,12-10,49-33,32-50,36.7%,,3.0%,0.9%,40,0.36700000000000005,0.009000000000000001,okc
11,Portland Trail Blazers,39.3,42.7,.480,-0.30,0.47,-0.45,29-31,10-12,47-35,31-51,24.7%,,0.9%,0.2%,39,0.247,0.002,por
12,Los Angeles Lakers,39.1,42.9,.477,-0.09,0.02,-0.95,29-32,10-11,47-35,32-50,16.0%,0.2%,0.4%,0.1%,39,0.16,0.001,lal
13,Minnesota Timberwolves,39.7,42.3,.484,-0.31,0.46,-0.58,31-32,9-10,48-34,32-50,27.1%,,1.0%,0.2%,40,0.271,0.002,min
14,Houston Rockets,19.3,62.7,.236,0.30,0.10,-8.35,13-47,6-16,28-54,13-69,0,,,0,19,0,0,hou
15,San Antonio Spurs,18.9,63.1,.231,0.31,0.14,-10.22,14-47,5-16,27-55,14-68,0,,,0,19,0,0,sa
