Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Indiana Pacers,48.5,31.5,.607,2.39,-0.27,19.89,2-0,47-31,66-14,32-48,97.8%,77.6%,29.6%,15.9%,48,0.978,0.159,ind
2,Boston Celtics,44.1,35.9,.552,2.55,0.48,8.55,2-0,42-36,63-17,28-52,83.7%,40.2%,11.5%,4.9%,44,0.8370000000000001,0.049,bos
3,Detroit Pistons,43.2,36.8,.540,-3.71,0.55,5.29,2-1,41-36,60-20,25-55,77.4%,16.7%,9.8%,3.6%,43,0.774,0.036000000000000004,det
4,New York Knicks,43.2,36.8,.540,8.91,-0.21,6.58,1-2,42-35,60-20,28-52,77.6%,28.5%,11.4%,4.7%,43,0.7759999999999999,0.047,ny
5,Philadelphia 76ers,42.7,37.3,.533,-6.63,0.74,4.70,2-1,41-36,61-19,28-52,73.2%,25.5%,8.5%,3.0%,43,0.732,0.03,phi
6,Washington Wizards,42.3,37.7,.529,14.06,0.12,6.06,1-1,41-37,58-22,27-53,70.5%,34.6%,7.6%,2.8%,42,0.705,0.027999999999999997,wsh
7,Atlanta Hawks,40.8,39.2,.511,1.12,0.80,2.79,1-2,40-37,57-23,27-53,58.3%,21.1%,5.4%,2.0%,41,0.583,0.02,atl
8,Orlando Magic,40.2,39.8,.503,-18.68,0.96,-1.18,2-0,38-40,58-22,25-55,51.3%,17.5%,3.6%,1.2%,40,0.513,0.012,orl
9,Charlotte Hornets,40.0,40.0,.500,4.04,0.84,1.04,1-1,39-39,55-25,24-56,50.8%,16.7%,3.9%,1.5%,40,0.508,0.015,cha
10,Miami Heat,38.8,41.2,.485,6.19,0.37,-1.48,1-2,38-39,56-24,24-56,39.2%,10.0%,2.3%,0.8%,39,0.392,0.008,mia
11,Cleveland Cavaliers,38.7,41.3,.483,3.39,0.67,-1.28,1-2,38-39,54-26,20-60,37.6%,3.2%,2.4%,0.7%,39,0.376,0.006999999999999999,cle
12,Toronto Raptors,38.0,42.0,.476,-0.42,1.04,-2.09,1-2,37-40,53-27,21-59,32.2%,4.8%,1.8%,0.4%,38,0.322,0.004,tor
13,Milwaukee Bucks,38.1,41.9,.476,3.74,0.99,-4.26,1-1,37-41,55-25,22-58,31.9%,2.4%,1.5%,0.5%,38,0.319,0.005,mil
14,Chicago Bulls,33.5,46.5,.418,0.99,1.23,-10.68,1-2,32-45,49-31,18-62,6.3%,0.2%,0.1%,0,34,0.063,0,chi
15,Brooklyn Nets,35.0,45.0,.438,-6.49,1.34,-9.49,0-2,35-43,50-30,17-63,12.4%,1.0%,0.5%,0.1%,35,0.124,0.001,bkn
1,Denver Nuggets,52.9,27.1,.661,4.89,-1.35,21.22,3-0,50-27,71-9,35-45,99.8%,95.1%,39.2%,27.5%,53,0.998,0.275,den
2,New Orleans Pelicans,47.5,32.5,.594,7.40,-1.39,15.40,2-0,45-33,64-16,32-48,96.2%,74.7%,15.3%,8.8%,48,0.9620000000000001,0.08800000000000001,no
3,Phoenix Suns,44.6,35.4,.558,-0.26,-0.96,6.74,2-1,43-34,62-18,27-53,86.7%,36.0%,8.3%,4.3%,45,0.867,0.043,phx
4,Memphis Grizzlies,43.4,36.6,.543,14.23,-1.22,8.23,0-3,43-34,59-21,27-53,81.1%,23.5%,10.0%,5.2%,43,0.8109999999999999,0.052000000000000005,mem
5,Los Angeles Lakers,43.4,36.6,.542,10.68,-0.60,6.68,1-2,42-35,58-22,26-54,80.5%,25.8%,7.6%,3.9%,43,0.805,0.039,lal
6,Sacramento Kings,42.5,37.5,.531,-0.26,0.43,4.08,2-1,40-37,58-22,28-52,73.6%,19.3%,5.5%,2.5%,42,0.736,0.025,sac
7,Minnesota Timberwolves,41.9,38.1,.524,-1.79,0.06,4.72,1-1,41-37,61-19,25-55,69.0%,3.1%,4.9%,2.1%,42,0.69,0.021,min
8,LA Clippers,40.5,39.5,.507,-15.86,1.07,0.81,2-1,39-38,59-21,24-56,56.6%,8.7%,3.1%,1.3%,40,0.5660000000000001,0.013000000000000001,lac
9,Oklahoma City Thunder,40.7,39.3,.509,3.09,-0.34,-0.25,2-1,39-38,57-23,24-56,57.2%,1.6%,2.7%,1.0%,41,0.5720000000000001,0.01,okc
10,Golden State Warriors,41.0,39.0,.512,-4.33,0.12,0.67,2-1,39-38,57-23,24-56,61.3%,10.1%,3.0%,1.2%,41,0.613,0.012,gs
11,Dallas Mavericks,36.4,43.6,.455,-17.69,0.75,-11.69,2-0,34-44,53-27,21-59,20.9%,1.8%,0.3%,0.1%,36,0.209,0.001,dal
12,Utah Jazz,35.2,44.8,.441,3.88,0.37,-8.12,1-2,34-43,51-29,20-60,14.4%,0.2%,0.2%,0.1%,35,0.14400000000000002,0.001,uta
13,Portland Trail Blazers,31.3,48.7,.392,1.44,0.66,-13.56,0-3,31-46,48-32,16-64,2.6%,,,0,31,0.026000000000000002,0,por
14,Houston Rockets,25.9,54.1,.324,-8.80,1.04,-23.80,0-3,26-51,41-39,12-68,0.1%,,,0,26,0.001,0,hou
15,San Antonio Spurs,25.5,54.5,.319,-11.56,1.73,-25.89,1-2,25-52,40-40,12-68,0.1%,,,0,26,0.001,0,sa
