Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Milwaukee Bucks,58.3,23.7,.711,-0.10,1.47,3.90,56-22,2-2,60-22,56-26,100.0%,100.0%,80.5,19.5,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,15.5%,9.4%
2,Boston Celtics,56.6,25.4,.690,-0.22,1.79,6.30,54-24,3-1,58-24,54-28,100.0%,99.8%,19.5,80.3,0.2,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,33.8%,24.7%
3,Philadelphia 76ers,53.3,28.7,.650,0.00,1.69,4.44,51-27,2-2,55-27,51-31,100.0%,0.2%,NA,0.2,98.7,1.1,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,15.9%,9.7%
4,Cleveland Cavaliers,51.1,30.9,.624,-0.01,-3.25,5.36,49-30,2-1,52-30,49-33,100.0%,,NA,NA,1.1,98.5,0.5,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,21.5%,14.5%
5,New York Knicks,47.8,34.2,.583,0.12,-1.33,3.21,46-33,2-1,49-33,46-36,100.0%,,NA,NA,NA,0.5,98.8,0.8,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,6.9%,3.5%
6,Brooklyn Nets,45.4,36.6,.554,0.27,-1.39,1.20,43-35,2-2,47-35,43-39,98.1%,,NA,NA,NA,NA,0.8,91.6,4,1.8,NA,92.3,7.7,NA,NA,NA,,NA,2.3%,1.1%
7,Miami Heat,43.0,39.0,.525,0.31,-1.43,-0.64,41-37,2-2,45-37,41-41,71.8%,98.5%,NA,NA,NA,NA,NA,7.7,41.7,22.5,NA,7.7,88.8,2.7,0.6,0.3,,NA,0.6%,0.2%
8,Toronto Raptors,40.8,41.2,.497,0.02,2.64,1.40,39-39,2-2,43-39,39-43,47.4%,,NA,NA,NA,NA,NA,NA,21.3,26.1,NA,,1.8,36.5,39.4,22.4,,NA,1.3%,0.6%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Atlanta Hawks,40.6,41.4,.496,-0.07,2.91,-0.09,39-39,2-2,43-39,39-43,41.0%,1.5%,NA,NA,NA,NA,NA,NA,19.3,21.6,NA,,1.5,36.3,27.4,34.9,,NA,0.6%,0.2%
10,Chicago Bulls,40.3,41.7,.491,0.14,-0.89,1.58,38-40,2-2,42-40,38-44,41.6%,,NA,NA,NA,NA,NA,NA,13.6,28,NA,,0.3,24.6,32.7,42.3,0.1,NA,1.6%,0.7%
11,Orlando Magic,35.5,46.5,.432,0.03,2.82,-1.92,34-44,1-3,38-44,34-48,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0.1,99.9,NA,,
12,Washington Wizards,36.2,45.8,.441,0.23,-1.26,-0.67,34-44,2-2,38-44,34-48,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
13,Indiana Pacers,35.3,46.7,.431,0.34,-0.38,-2.83,34-45,1-2,37-45,34-48,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Charlotte Hornets,27.1,54.9,.331,0.41,-0.49,-5.92,26-53,1-2,29-53,26-56,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,17.2,64.8,.209,0.54,-0.17,-7.55,16-62,1-3,20-62,16-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Denver Nuggets,54.4,27.6,.663,-0.27,-1.08,3.42,52-26,2-2,56-26,52-30,100.0%,100.0%,99.8,0.2,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,25.0%,10.1%
2,Memphis Grizzlies,51.2,30.8,.624,-0.42,0.79,3.58,49-29,2-2,53-29,49-33,100.0%,100.0%,0.2,88.7,11.1,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,25.0%,10.1%
3,Sacramento Kings,49.0,33.0,.598,-0.48,1.47,2.59,47-31,2-2,51-31,47-35,100.0%,99.2%,NA,11.1,88.1,0.8,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,15.0%,5.3%
4,Phoenix Suns,45.5,36.5,.555,0.06,-1.61,2.17,43-35,2-2,47-35,43-39,100.0%,0.8%,NA,NA,0.8,97.7,1.4,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,14.2%,4.8%
5,New Orleans Pelicans,42.0,40.0,.513,-0.41,2.21,1.68,40-38,2-2,44-38,40-42,81.2%,,NA,NA,NA,1,24.2,21.8,20.6,13.7,NA,47.0,18.1,19.5,14.2,1.1,0.2,NA,6.9%,2.0%
6,Los Angeles Clippers,42.6,39.4,.519,-0.20,-0.26,0.02,41-38,2-1,44-38,41-41,87.3%,,NA,NA,NA,0.3,38.2,22.1,17,9.8,NA,60.6,22.1,12.2,4.8,0.4,,NA,3.3%,0.8%
7,Los Angeles Lakers,42.0,40.0,.512,-0.15,0.13,0.19,40-38,2-2,44-38,40-42,76.6%,,NA,NA,NA,0.1,17.6,21.8,22,15.1,NA,39.5,24.6,20.1,14.1,1.3,0.4,NA,3.1%,0.6%
8,Golden State Warriors,42.5,39.5,.518,-0.13,0.05,0.62,41-38,1-2,44-38,41-41,84.0%,,NA,NA,NA,0.1,17.5,29.5,23.5,13.4,NA,47.1,24.1,23.1,5.7,NA,,NA,4.3%,1.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Minnesota Timberwolves,40.6,41.4,.495,-0.10,-2.40,-0.52,39-40,2-1,42-40,39-43,43.8%,,NA,NA,NA,NA,1.1,4.7,16.3,21.7,NA,5.9,10.9,23.9,50.7,7.2,1.5,NA,1.5%,0.3%
10,Oklahoma City Thunder,39.4,42.6,.480,-0.18,1.12,0.69,38-41,1-2,41-41,38-44,19.9%,,NA,NA,NA,NA,NA,NA,0.5,19.4,NA,,0.2,0.9,7.5,65.3,26.1,NA,1.3%,0.3%
11,Dallas Mavericks,38.8,43.2,.473,-0.17,-1.97,0.16,37-42,2-1,40-42,37-45,6.2%,,NA,NA,NA,NA,NA,NA,0.2,6,NA,,NA,0.3,2.7,21.3,75.7,NA,0.4%,0.1%
12,Utah Jazz,37.9,44.1,.462,-0.16,1.13,-0.83,36-42,2-2,40-42,36-46,1.1%,,NA,NA,NA,NA,NA,NA,0.1,1,NA,,NA,0.1,0.4,3.3,96.1,NA,,
