Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,64.5,17.5,.787,0.02,-2.65,11.11,50-14,15-3,68-14,58-24,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,76.7%,59.0%
2,Cleveland Cavaliers,51.1,30.9,.623,-0.41,-0.68,3.65,41-24,10-7,57-25,44-38,99.9%,52.6%,NA,50.3,32.4,11.2,4.2,1.4,0.3,0.2,NA,99.4,0.5,0.1,NA,NA,,NA,6.9%,2.3%
3,Milwaukee Bucks,51.2,30.8,.625,-0.72,1.80,3.09,42-23,9-8,58-24,44-38,99.9%,47.1%,NA,45.6,42.1,8.5,2.7,0.9,0.2,NA,NA,99.7,0.3,NA,NA,NA,,NA,5.0%,1.6%
4,New York Knicks,47.7,34.3,.581,-0.07,-0.25,3.51,37-27,11-7,54-28,40-42,98.0%,,NA,2.1,11.7,32.4,24.9,16.5,6.9,3.6,NA,87.5,8.9,3.6,0.1,NA,,NA,5.2%,1.7%
5,Orlando Magic,46.7,35.3,.570,-0.29,-1.15,0.97,37-28,10-7,53-29,40-42,95.2%,73.1%,NA,1.3,8.2,24,25.5,18.6,10.6,7.1,NA,77.5,13.5,8.9,0.1,NA,,NA,1.1%,0.3%
6,Philadelphia 76ers,46.1,35.9,.563,-0.48,-0.35,2.48,36-28,10-8,53-29,38-44,93.4%,,NA,0.4,3.2,11.1,19.4,25.3,22,11.9,NA,59.5,22.6,17.3,0.6,NA,,NA,2.8%,0.7%
7,Indiana Pacers,45.0,37.0,.549,-0.26,0.34,1.39,36-29,9-8,52-30,38-44,87.0%,0.3%,NA,0.2,1.2,6.8,12.9,20.9,28.4,16.6,NA,42.0,29.7,26.9,1.3,NA,,NA,1.5%,0.3%
8,Miami Heat,44.5,37.5,.543,-0.48,-0.69,0.09,35-29,10-8,51-31,36-46,84.1%,26.9%,NA,0.1,1.2,5.9,10.5,16.4,30,19.9,NA,34.2,24.1,40.1,1.6,0.1,,NA,0.7%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,38.9,43.1,.474,-0.19,-0.62,-2.11,31-34,8-9,46-36,32-50,21.1%,,NA,NA,NA,NA,NA,0.1,1.4,19.6,NA,0.1,0.5,2.8,74.6,19.2,2.8,NA,,
10,Atlanta Hawks,37.1,44.9,.453,-0.13,-0.20,-1.96,29-35,8-10,44-38,31-51,18.0%,,NA,NA,NA,NA,NA,NA,0.2,17.8,NA,,NA,0.3,19.6,65.4,14.6,NA,0.1%,
11,Brooklyn Nets,33.8,48.2,.412,0.05,-0.65,-1.89,26-39,8-9,41-41,27-55,3.3%,,NA,NA,NA,NA,NA,NA,NA,3.3,NA,,NA,NA,2.2,14.8,83.0,NA,,
12,Toronto Raptors,29.8,52.2,.363,-0.05,-0.19,-4.07,23-42,7-10,38-44,24-58,0.1%,,NA,NA,NA,NA,NA,NA,NA,0.1,NA,,NA,NA,NA,0.4,99.6,NA,,
13,Charlotte Hornets,19.2,62.8,.235,-0.37,2.25,-10.58,16-49,3-14,26-56,16-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Washington Wizards,16.0,66.0,.195,0.18,-0.22,-9.32,11-53,5-13,24-58,11-71,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,16.0,66.0,.195,0.02,0.24,-8.37,11-53,5-13,23-59,11-71,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Oklahoma City Thunder,57.3,24.7,.699,-0.30,0.40,7.66,45-19,12-6,63-19,50-32,100.0%,61.4%,60.7,23.2,11.8,3.9,0.4,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,38.5%,15.8%
2,Minnesota Timberwolves,55.4,26.6,.676,-0.05,-0.16,6.24,44-21,11-6,61-21,48-34,100.0%,21.5%,20.9,31.1,29.7,15.5,2.7,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,22.8%,8.3%
3,Denver Nuggets,55.8,26.2,.680,0.14,-0.66,4.49,45-20,11-6,62-20,48-34,100.0%,17.1%,16.9,32.3,33.5,15,2.3,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,11.3%,2.8%
4,Los Angeles Clippers,53.0,29.0,.646,0.10,-0.17,4.66,41-22,12-7,60-22,45-37,100.0%,98.7%,1.3,12.6,20.7,45.1,18.9,1.1,0.2,0.1,NA,99.8,0.2,0.1,NA,NA,,NA,10.3%,3.0%
5,New Orleans Pelicans,50.3,31.7,.613,-0.17,0.40,5.13,39-25,11-7,57-25,43-39,99.2%,92.3%,0.1,0.8,4.2,19.7,61.5,9.6,2.3,1.1,NA,95.9,2.8,1,0.3,0.1,,NA,11.5%,3.2%
6,Dallas Mavericks,46.2,35.8,.564,0.18,-0.27,1.49,37-28,9-8,53-29,39-43,73.7%,7.7%,NA,NA,NA,0.3,6.4,27.6,23.1,16.4,NA,34.3,25.6,20.5,13.2,6,0.4,NA,1.4%,0.3%
7,Phoenix Suns,46.2,35.8,.564,-0.62,2.27,2.09,38-27,8-9,53-29,39-43,72.9%,0.5%,NA,NA,NA,0.3,3.6,24.8,25.8,18.5,NA,28.7,26.7,21.7,15.1,7.5,0.4,NA,2.0%,0.3%
8,Sacramento Kings,45.8,36.2,.558,0.47,0.83,0.77,36-27,10-9,53-29,37-45,68.7%,0.6%,NA,NA,NA,0.2,3.4,26.8,21,17.4,NA,30.4,24.1,21.1,14.9,8.7,0.8,NA,0.9%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Golden State Warriors,44.2,37.8,.539,0.38,-0.77,2.11,34-30,10-8,51-31,37-45,45.4%,,NA,NA,NA,NA,0.5,5,14.7,25.2,NA,5.5,10.6,17.3,27.3,36.9,2.3,NA,1.0%,0.2%
10,Los Angeles Lakers,44.1,37.9,.537,0.58,-0.05,0.29,36-30,8-8,52-30,37-45,38.0%,0.1%,NA,NA,NA,NA,0.4,5.1,13,19.6,NA,5.5,10,18,27.9,34.5,4.1,NA,0.3%,
11,Houston Rockets,39.1,42.9,.476,0.49,-1.31,0.79,29-35,10-8,46-36,30-52,2.0%,,NA,NA,NA,NA,NA,NA,0.1,1.9,NA,,NA,0.3,1.3,6.3,92.0,NA,,
12,Utah Jazz,34.3,47.7,.418,-0.02,2.78,-3.01,28-36,6-12,43-39,28-54,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
13,Memphis Grizzlies,28.5,53.5,.347,0.79,-1.20,-5.94,22-43,6-11,35-47,23-59,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Portland Trail Blazers,22.9,59.1,.280,0.59,1.02,-7.52,18-46,5-13,30-52,18-64,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,San Antonio Spurs,19.3,62.7,.235,0.62,0.92,-7.05,14-51,5-12,26-56,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
