Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,57.8,24.2,.705,-0.36,-0.05,5.94,35-12,23-12,67-15,44-38,100.0%,95.7%,92.5,5.8,1.2,0.4,0.1,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,38.9%,25.3%
2,Cleveland Cavaliers,50.5,31.5,.616,0.13,-0.77,4.57,29-19,22-12,61-21,40-42,99.9%,78.2%,3.3,36.1,27.8,19.1,9.8,2.7,0.7,0.3,NA,98.8,0.9,0.2,0.1,NA,,NA,22.1%,12.3%
3,Philadelphia 76ers,50.4,31.6,.615,-0.55,0.65,3.30,30-16,20-16,61-21,40-42,99.8%,2.7%,2.3,27.8,28,22.9,14,3.6,0.7,0.4,NA,98.7,0.9,0.3,0.1,NA,,NA,14.1%,6.8%
4,Brooklyn Nets,49.8,32.2,.608,-0.16,0.14,2.88,29-17,21-15,60-22,39-43,99.6%,1.6%,1.5,20.8,27,27.3,16.3,4.8,1.2,0.5,NA,97.8,1.6,0.5,0.1,NA,,NA,11.0%,5.1%
5,Milwaukee Bucks,47.8,34.2,.583,-0.03,0.09,0.99,29-17,19-17,58-24,37-45,97.4%,21.5%,0.4,9.1,13.8,22.4,33.8,12.3,3.6,2.1,NA,91.7,5.1,1.9,0.8,0.4,0.1,NA,4.2%,1.6%
6,Miami Heat,43.0,39.0,.525,-0.03,0.14,0.18,26-22,17-17,54-28,33-49,73.4%,68.6%,NA,0.2,1.2,3.9,11,27.7,16.9,12.6,NA,44.0,20.2,13.5,9.3,6.4,6.7,NA,2.0%,0.6%
7,New York Knicks,42.8,39.2,.522,-0.40,0.71,1.62,25-23,18-16,52-30,33-49,72.5%,,NA,0.1,0.7,2.2,7.7,22.3,23.1,16.4,NA,33.0,24.7,16.9,11.2,7.6,6.6,NA,3.8%,1.6%
8,Chicago Bulls,40.8,41.2,.498,0.70,-0.76,0.47,21-24,20-17,51-31,30-52,48.5%,0.2%,NA,NA,0.2,0.7,2.9,8.9,17.7,18,NA,12.8,14.9,20.1,17.8,14.9,19.6,NA,1.6%,0.5%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Atlanta Hawks,40.6,41.4,.495,-0.37,0.41,-0.69,24-23,17-18,52-30,30-52,42.5%,23.1%,NA,NA,0.1,0.8,3.1,9.7,13.6,15.3,NA,13.7,14.6,15.5,17.9,15.6,22.8,NA,0.8%,0.3%
10,Washington Wizards,38.5,43.5,.470,0.58,-0.73,-0.27,20-26,19-17,50-32,28-54,22.2%,8.3%,NA,NA,NA,0.1,0.6,3.2,7.5,10.8,NA,4.0,5.5,10.3,13.3,16.8,50.2,NA,0.6%,0.2%
11,Indiana Pacers,38.8,43.2,.473,0.27,-0.10,-1.50,23-25,16-18,50-32,28-54,21.9%,0.1%,NA,NA,NA,0.1,0.5,2.2,7.4,11.7,NA,2.8,6.1,11.4,16.1,20,43.7,NA,0.1%,
12,Toronto Raptors,38.6,43.4,.471,0.34,-0.37,0.55,21-27,18-16,49-33,27-55,22.3%,,NA,NA,NA,NA,0.3,2.6,7.5,11.9,NA,2.9,5.4,9.4,13.2,17.9,51.2,NA,0.7%,0.2%
