Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,57.2,24.8,.698,-0.03,0.03,3.83,50-20,7-5,62-20,51-31,100.0%,99.6%,16.2%,9.5%,57,1,0.095,mil
2,Boston Celtics,56.1,25.9,.684,-0.13,-0.01,5.32,49-22,7-4,60-22,50-32,100.0%,80.8%,27.4%,18.6%,56,1,0.18600000000000003,bos
3,Philadelphia 76ers,54.6,27.4,.665,-0.21,1.24,4.66,47-22,8-5,60-22,48-34,100.0%,19.3%,19.4%,12.4%,55,1,0.124,phi
4,Cleveland Cavaliers,51.2,30.8,.625,0.03,-1.86,5.58,45-28,6-3,54-28,46-36,100.0%,0.5%,24.8%,17.1%,51,1,0.171,cle
5,New York Knicks,47.7,34.3,.581,0.16,-0.57,3.01,41-30,7-4,52-30,42-40,99.5%,,6.9%,3.7%,48,0.995,0.037000000000000005,ny
6,Brooklyn Nets,45.6,36.4,.556,0.23,-0.17,0.85,39-31,7-5,51-31,39-43,94.5%,,2.0%,0.8%,46,0.945,0.008,bkn
7,Miami Heat,43.4,38.6,.529,0.25,-0.31,-0.23,38-33,5-6,49-33,38-44,77.4%,88.5%,1.1%,0.4%,43,0.774,0.004,mia
8,Atlanta Hawks,41.0,41.0,.500,0.02,0.19,-0.12,35-35,6-6,47-35,35-47,51.3%,10.8%,0.7%,0.2%,41,0.513,0.002,atl
9,Toronto Raptors,40.3,41.7,.491,0.15,0.10,0.80,34-36,6-6,46-36,34-48,38.7%,,0.9%,0.3%,40,0.387,0.003,tor
10,Chicago Bulls,38.8,43.2,.473,0.11,0.08,0.88,32-37,7-6,45-37,32-50,22.7%,,0.5%,0.2%,39,0.22699999999999998,0.002,chi
11,Washington Wizards,38.2,43.8,.466,0.20,-0.37,-0.33,32-38,6-6,44-38,32-50,10.8%,0.7%,0.1%,0.1%,38,0.10800000000000001,0.001,wsh
12,Indiana Pacers,36.9,45.1,.450,0.09,1.26,-2.03,32-38,5-7,43-39,32-50,5.1%,,,0,37,0.051,0,ind
13,Detroit Pistons,19.3,62.7,.236,0.58,-0.48,-6.94,16-55,3-8,25-57,16-66,0,,,0,19,0,0,det
14,Orlando Magic,32.7,49.3,.399,0.07,0.91,-2.88,28-42,5-7,40-42,28-54,0,,,0,33,0,0,orl
15,Charlotte Hornets,25.4,56.6,.310,0.36,0.12,-5.94,22-50,3-7,31-51,22-60,0,,,0,25,0,0,cha
1,Denver Nuggets,53.7,28.3,.655,-0.48,0.89,3.38,47-23,7-5,59-23,48-34,100.0%,100.0%,25.9%,11.5%,54,1,0.115,den
2,Memphis Grizzlies,50.2,31.8,.612,-0.22,-0.99,3.54,42-27,8-5,55-27,43-39,100.0%,100.0%,24.9%,10.7%,50,1,0.107,mem
3,Sacramento Kings,49.4,32.6,.602,-0.37,-0.20,2.36,42-27,7-6,55-27,42-40,100.0%,96.8%,15.4%,5.6%,49,1,0.055999999999999994,sac
4,Phoenix Suns,44.4,37.6,.541,-0.09,0.45,1.76,38-32,6-6,50-32,39-43,98.2%,3.0%,12.6%,4.1%,44,0.982,0.040999999999999995,phx
5,LA Clippers,42.9,39.1,.523,-0.29,0.54,-0.16,37-33,6-6,49-33,37-45,83.7%,0.1%,3.3%,0.9%,43,0.8370000000000001,0.009000000000000001,lac
6,Golden State Warriors,41.6,40.4,.508,-0.07,-0.26,0.34,36-35,6-5,47-35,36-46,69.4%,0.1%,3.7%,0.7%,42,0.6940000000000001,0.006999999999999999,gs
7,Dallas Mavericks,41.9,40.1,.511,-0.09,-1.08,0.47,36-35,6-5,47-35,36-46,76.5%,,4.6%,1.0%,42,0.765,0.01,dal
8,Oklahoma City Thunder,40.6,41.4,.496,-0.01,-0.87,1.43,34-36,7-5,46-36,35-47,50.2%,,4.6%,1.4%,41,0.502,0.013999999999999999,okc
9,Minnesota Timberwolves,40.3,41.7,.492,-0.13,-0.21,-0.29,35-36,5-6,46-36,35-47,47.6%,,1.7%,0.3%,40,0.47600000000000003,0.003,min
10,New Orleans Pelicans,39.4,42.6,.481,-0.04,-1.06,0.36,33-37,6-6,45-37,33-49,26.3%,,1.2%,0.3%,39,0.263,0.003,no
11,Utah Jazz,39.1,42.9,.477,-0.30,1.11,-0.31,33-36,6-7,45-37,34-48,21.9%,,0.9%,0.2%,39,0.21899999999999997,0.002,uta
12,Los Angeles Lakers,39.5,42.5,.482,-0.04,-0.44,-0.51,34-37,6-5,45-37,34-48,25.0%,,1.0%,0.2%,40,0.25,0.002,lal
13,Portland Trail Blazers,36.5,45.5,.445,-0.06,0.07,-1.73,31-39,5-7,43-39,31-51,1.3%,,,0,36,0.013000000000000001,0,por
14,Houston Rockets,21.3,60.7,.260,0.17,0.57,-7.56,18-52,3-9,27-55,18-64,0,,,0,21,0,0,hou
15,San Antonio Spurs,20.5,61.5,.251,0.10,0.97,-9.45,18-52,3-9,26-56,18-64,0,,,0,20,0,0,sa
