Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,64.4,17.6,.785,0.13,-2.89,11.05,49-14,15-4,68-14,57-25,100.0%,100.0%,75.8%,58.8%,64,1,0.588,bos,Celtics
2,Cleveland Cavaliers,51.8,30.2,.631,-0.45,-0.51,3.77,41-23,11-7,59-23,45-37,100.0%,61.2%,7.4%,2.8%,52,1,0.027999999999999997,cle,Cavaliers
3,Milwaukee Bucks,51.3,30.7,.626,-0.71,1.77,3.11,42-23,9-8,58-24,44-38,100.0%,38.5%,5.0%,1.7%,51,1,0.017,mil,Bucks
4,New York Knicks,47.6,34.4,.581,-0.08,-0.19,3.50,37-27,11-7,55-27,40-42,97.9%,,5.4%,1.8%,48,0.9790000000000001,0.018000000000000002,ny,Knicks
5,Orlando Magic,46.7,35.3,.569,-0.29,-1.10,0.97,37-28,10-7,53-29,38-44,94.7%,72.5%,1.2%,0.3%,47,0.9470000000000001,0.003,orl,Magic
6,Philadelphia 76ers,46.1,35.9,.562,-0.47,-0.36,2.48,36-28,10-8,53-29,38-44,92.9%,,3.0%,0.8%,46,0.929,0.008,phi,76ers
7,Indiana Pacers,45.0,37.0,.548,-0.26,0.39,1.39,36-29,9-8,52-30,38-44,87.1%,0.2%,1.4%,0.3%,45,0.871,0.003,ind,Pacers
8,Miami Heat,44.5,37.5,.543,-0.46,-0.74,0.11,35-29,10-8,52-30,38-44,82.3%,27.4%,0.6%,0.1%,44,0.823,0.001,mia,Heat
9,Chicago Bulls,39.6,42.4,.483,-0.22,-0.56,-1.62,31-33,9-9,47-35,32-50,24.7%,,0.1%,0,40,0.247,0,chi,Bulls
10,Atlanta Hawks,37.1,44.9,.453,-0.12,-0.20,-1.95,29-35,8-10,44-38,29-53,17.3%,,,0,37,0.17300000000000001,0,atl,Hawks
11,Brooklyn Nets,33.8,48.2,.412,0.05,-0.64,-1.89,26-39,8-9,41-41,27-55,3.1%,,,0,34,0.031,0,bkn,Nets
12,Toronto Raptors,30.0,52.0,.366,-0.11,0.06,-4.09,23-41,7-11,38-44,24-58,0,,,0,30,0,0,tor,Raptors
13,Charlotte Hornets,19.7,62.3,.241,-0.24,1.62,-10.35,16-48,4-14,27-55,16-66,0,,,0,20,0,0,cha,Hornets
14,Washington Wizards,16.0,66.0,.195,0.17,-0.16,-9.33,11-53,5-13,24-58,11-71,0,,,0,16,0,0,wsh,Wizards
15,Detroit Pistons,15.5,66.5,.189,0.21,-0.33,-8.58,10-53,6-13,24-58,10-72,0,,,0,16,0,0,det,Pistons
1,Oklahoma City Thunder,57.3,24.7,.699,-0.31,0.34,7.65,45-19,12-6,63-19,50-32,100.0%,63.2%,36.9%,15.3%,57,1,0.153,okc,Thunder
2,Minnesota Timberwolves,55.4,26.6,.676,-0.08,-0.15,6.22,44-21,11-6,61-21,48-34,100.0%,21.6%,23.2%,8.0%,55,1,0.08,min,T-Wolves
3,Denver Nuggets,55.6,26.4,.678,0.19,-0.89,4.52,44-20,12-6,62-20,48-34,100.0%,15.2%,12.6%,3.4%,56,1,0.034,den,Nuggets
4,LA Clippers,53.0,29.0,.646,0.07,-0.14,4.63,41-22,12-7,60-22,45-37,100.0%,99.0%,10.5%,2.5%,53,1,0.025,lac,Clippers
5,New Orleans Pelicans,50.3,31.7,.614,-0.19,0.37,5.10,39-25,11-7,56-26,43-39,99.4%,95.0%,11.5%,3.2%,50,0.9940000000000001,0.032,no,Pelicans
6,Sacramento Kings,45.8,36.2,.558,0.46,0.76,0.76,36-27,10-9,53-29,39-43,73.6%,0.6%,0.9%,0.1%,46,0.736,0.001,sac,Kings
7,Phoenix Suns,45.5,36.5,.555,-0.71,2.37,1.95,37-27,9-9,53-29,39-43,67.5%,0.3%,1.7%,0.3%,46,0.675,0.003,phx,Suns
8,Dallas Mavericks,45.5,36.5,.555,0.22,-0.35,1.00,36-28,9-9,53-29,38-44,67.5%,5.0%,0.9%,0.2%,46,0.675,0.002,dal,Mavericks
9,Golden State Warriors,43.9,38.1,.536,0.49,-1.18,2.09,33-30,11-8,51-31,36-46,46.9%,,1.3%,0.3%,44,0.469,0.003,gs,Warriors
10,Los Angeles Lakers,44.0,38.0,.537,0.55,-0.05,0.27,36-30,8-8,50-32,36-46,42.4%,0.1%,0.5%,0.1%,44,0.424,0.001,lal,Lakers
11,Houston Rockets,39.1,42.9,.477,0.47,-1.33,0.77,29-35,10-8,46-36,32-50,2.8%,,0.1%,0,39,0.027999999999999997,0,hou,Rockets
12,Utah Jazz,34.3,47.7,.418,-0.03,2.72,-3.02,28-36,6-12,43-39,28-54,0,,,0,34,0,0,uta,Jazz
13,Memphis Grizzlies,28.5,53.5,.347,0.76,-1.21,-5.97,22-43,6-11,36-46,22-60,0,,,0,28,0,0,mem,Grizzlies
14,Portland Trail Blazers,23.0,59.0,.281,0.38,1.57,-7.51,18-45,5-14,31-51,18-64,0,,,0,23,0,0,por,Blazers
15,San Antonio Spurs,19.6,62.4,.239,0.59,0.93,-7.04,14-50,6-12,26-56,14-68,0,,,0,20,0,0,sa,Spurs
