Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,63.5,18.5,.775,0.38,-0.95,11.18,28-7,36-11,73-9,52-30,100.0%,98.7%,98.5,1.4,0.1,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,61.0%,45.0%
2,Philadelphia 76ers,54.8,27.2,.668,-0.71,-0.48,7.52,23-12,32-15,65-17,43-39,100.0%,1.3%,1.3,66.2,22.8,6.5,2.2,0.7,0.3,NA,NA,99.7,0.2,0.1,NA,NA,,NA,23.1%,13.0%
3,Milwaukee Bucks,51.5,30.5,.628,-1.05,0.55,3.73,25-11,26-20,62-20,40-42,99.4%,78.2%,0.2,23.4,40.4,18.1,9.5,5.3,1.7,0.8,NA,96.9,2.4,0.7,0.1,NA,,NA,5.3%,2.0%
4,New York Knicks,48.4,33.6,.590,0.31,-0.09,3.65,21-15,27-19,60-22,36-46,96.7%,,NA,4,13.3,25.4,22.4,17.2,9.7,4.7,NA,82.3,11.7,5,0.8,0.2,,NA,4.3%,1.6%
5,Orlando Magic,46.9,35.1,.572,0.17,-0.95,1.97,20-15,27-20,58-24,36-46,92.8%,72.2%,NA,2.1,9,18.9,21.9,18.9,13.6,8.5,NA,70.7,15.5,10.9,2.4,0.5,0.1,NA,1.7%,0.5%
6,Indiana Pacers,46.1,35.9,.562,-0.20,0.00,2.45,20-15,26-21,58-24,33-49,90.6%,11.5%,NA,1.5,6.4,13.3,16.9,21.6,19.9,10.9,NA,59.8,20.8,14.6,3.6,0.8,0.4,NA,2.1%,0.6%
7,Cleveland Cavaliers,46.4,35.6,.565,0.27,-0.68,1.99,20-15,26-21,58-24,33-49,89.6%,10.3%,NA,1.3,6.6,12,17.8,21.5,19.5,11,NA,59.1,22.5,14.7,2.6,0.9,0.2,NA,1.9%,0.5%
8,Miami Heat,43.8,38.2,.534,-0.87,-0.03,0.01,20-15,24-23,56-26,33-49,74.4%,27.2%,NA,0.2,1.5,5.6,8.8,13.5,24.6,20.1,NA,29.7,21.5,33.2,10.5,3.8,1.4,NA,0.6%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Brooklyn Nets,37.6,44.4,.458,0.09,-0.06,-1.41,16-20,22-24,51-31,26-56,19.6%,,NA,NA,NA,0.1,0.1,0.7,4.7,14.1,NA,0.8,2.2,8.5,28.4,24.5,35.7,NA,,
