Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,63.8,18.2,.778,-0.09,-1.47,10.15,44-12,20-6,70-12,56-26,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,66.8%,47.1%
2,Cleveland Cavaliers,52.8,29.2,.644,-0.57,-0.42,4.65,36-19,17-10,60-22,44-38,100.0%,85.8%,NA,73.8,15.3,6.5,2.8,1.2,0.3,0.2,NA,99.5,0.4,0.1,NA,NA,,NA,11.5%,4.6%
3,New York Knicks,49.8,32.2,.607,-0.37,0.31,4.35,34-22,16-10,58-24,41-41,99.2%,,NA,11.4,31.1,26.4,16.4,9.3,3.1,1.5,NA,94.5,4.1,1.3,NA,NA,,NA,8.6%,3.4%
4,Milwaukee Bucks,49.5,32.5,.604,-0.66,0.96,2.55,36-21,14-11,58-24,40-42,99.1%,13.5%,NA,10.4,30.9,25.8,16.8,10.2,3.4,1.8,NA,94.0,4.6,1.4,NA,NA,,NA,3.8%,1.1%
5,Philadelphia 76ers,48.0,34.0,.585,-0.72,0.03,3.38,33-23,15-11,56-26,39-43,96.8%,,NA,2.2,11.1,18.5,24.9,23.1,11.3,5.7,NA,79.8,13.2,6.8,0.2,NA,,NA,5.1%,1.6%
6,Orlando Magic,46.7,35.3,.569,0.35,-2.28,1.33,31-25,16-10,55-27,38-44,93.1%,65.5%,NA,1.8,7.8,13.2,19.5,22.7,17.7,10.3,NA,65.1,21.4,13.3,0.2,NA,,NA,1.8%,0.3%
7,Indiana Pacers,44.8,37.2,.547,-0.50,0.65,1.15,32-25,13-12,55-27,35-47,85.4%,0.8%,NA,0.3,1.8,4.6,8.8,16,33.6,20.4,NA,31.5,30.8,35.4,2.3,0.1,,NA,1.7%,0.2%
8,Miami Heat,44.8,37.2,.546,-0.28,-1.01,0.12,31-25,14-12,54-28,37-45,84.4%,34.5%,NA,0.2,2.1,5,10.8,17.5,28.9,19.9,NA,35.6,25,37.7,1.6,0.1,,NA,0.6%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,37.8,44.2,.462,-0.38,-0.06,-1.81,26-30,12-14,47-35,30-52,21.6%,,NA,NA,NA,NA,NA,0.1,1.6,20,NA,0.1,0.4,3.4,69.7,18.9,7.5,NA,,
10,Atlanta Hawks,35.3,46.7,.430,-0.06,-0.20,-2.62,24-32,11-15,44-38,27-55,12.5%,,NA,NA,NA,NA,NA,NA,0.1,12.4,NA,,NA,0.4,15.9,46.5,37.3,NA,,
11,Brooklyn Nets,33.4,48.6,.408,0.43,-1.08,-2.31,21-34,12-15,43-39,24-58,6.3%,,NA,NA,NA,NA,NA,NA,0.1,6.3,NA,,NA,0.1,8.8,25.3,65.9,NA,,
12,Toronto Raptors,31.5,50.5,.385,-0.05,-0.26,-3.28,21-36,11-14,41-41,23-59,1.6%,,NA,NA,NA,NA,NA,NA,NA,1.6,NA,,NA,NA,1.5,9.2,89.3,NA,,
13,Charlotte Hornets,19.8,62.2,.241,-0.05,0.70,-10.50,14-42,6-20,29-53,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
