Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.4,19.6,.761,0.08,-1.42,9.58,40-12,22-8,69-13,53-29,100.0%,100.0%,61.2%,42.5%,62,1,0.425,bos,Celtics
2,Cleveland Cavaliers,54.1,27.9,.659,-0.61,-0.40,4.91,34-16,20-12,63-19,44-38,100.0%,88.2%,14.0%,5.9%,54,1,0.059000000000000004,cle,Cavaliers
3,New York Knicks,51.3,30.7,.626,-0.61,0.51,4.86,33-19,18-12,60-22,40-42,99.8%,,11.3%,4.6%,51,0.998,0.046,ny,Knicks
4,Milwaukee Bucks,49.9,32.1,.608,-0.81,0.91,2.78,34-19,16-13,59-23,40-42,99.6%,11.5%,4.2%,1.1%,50,0.996,0.011000000000000001,mil,Bucks
5,Philadelphia 76ers,48.2,33.8,.587,-0.87,0.08,3.72,30-21,18-13,58-24,38-44,98.3%,,6.0%,1.9%,48,0.983,0.019,phi,76ers
6,Orlando Magic,45.0,37.0,.548,0.05,-1.39,0.78,28-24,17-13,54-28,35-47,90.2%,73.8%,1.4%,0.3%,45,0.902,0.003,orl,Magic
7,Indiana Pacers,44.4,37.6,.541,-0.20,-0.13,1.18,29-24,15-14,54-28,34-48,87.1%,0.3%,1.3%,0.3%,44,0.871,0.003,ind,Pacers
8,Miami Heat,42.2,39.8,.514,-0.71,-0.07,-1.02,28-24,14-16,52-30,33-49,71.7%,25.7%,0.5%,0.1%,42,0.7170000000000001,0.001,mia,Heat
9,Chicago Bulls,37.9,44.1,.462,-0.81,0.56,-2.04,25-27,13-17,48-34,29-53,24.1%,,0.1%,0,38,0.24100000000000002,0,chi,Bulls
10,Atlanta Hawks,37.0,45.0,.451,0.18,-0.75,-2.07,23-29,14-16,48-34,28-54,18.3%,0.6%,0.1%,0,37,0.183,0,atl,Hawks
11,Brooklyn Nets,34.7,47.3,.424,0.24,-0.68,-1.42,20-31,15-16,45-37,26-56,9.3%,,,0,35,0.09300000000000001,0,bkn,Nets
12,Toronto Raptors,32.1,49.9,.392,0.06,-0.49,-3.11,19-33,13-17,43-39,23-59,1.6%,,,0,32,0.016,0,tor,Raptors
13,Washington Wizards,17.1,64.9,.208,-0.16,0.46,-9.37,9-42,8-23,28-54,9-73,0,,,0,17,0,0,wsh,Wizards
14,Detroit Pistons,16.3,65.7,.199,0.06,0.18,-8.90,8-43,8-23,26-56,9-73,0,,,0,16,0,0,det,Pistons
15,Charlotte Hornets,16.2,65.8,.198,0.11,0.45,-12.07,10-41,6-25,25-57,10-72,0,,,0,16,0,0,cha,Hornets
1,Oklahoma City Thunder,56.6,25.4,.691,0.01,-0.45,7.75,35-16,22-9,64-18,47-35,100.0%,48.2%,35.4%,18.1%,57,1,0.18100000000000002,okc,Thunder
2,Minnesota Timberwolves,56.3,25.7,.687,0.15,-0.52,6.47,36-16,20-10,64-18,46-36,100.0%,43.4%,24.8%,11.5%,56,1,0.115,min,T-Wolves
3,LA Clippers,54.7,27.3,.667,-0.12,0.15,5.98,34-16,21-11,64-18,45-37,100.0%,98.7%,18.8%,7.7%,55,1,0.077,lac,Clippers
4,Denver Nuggets,54.0,28.0,.658,0.31,-0.51,3.95,36-17,18-11,63-19,45-37,99.9%,8.4%,8.4%,2.7%,54,0.9990000000000001,0.027000000000000003,den,Nuggets
5,New Orleans Pelicans,48.6,33.4,.593,0.28,-0.48,4.28,30-22,19-11,59-23,39-43,95.9%,84.8%,7.6%,2.4%,49,0.9590000000000001,0.024,no,Pelicans
6,Phoenix Suns,46.0,36.0,.561,-1.12,1.92,1.94,31-21,15-15,56-26,35-47,77.8%,0.7%,1.8%,0.5%,46,0.778,0.005,phx,Suns
7,Sacramento Kings,45.7,36.3,.558,0.22,0.98,1.03,30-21,16-15,56-26,36-46,76.2%,0.5%,0.9%,0.1%,46,0.762,0.001,sac,Kings
8,Dallas Mavericks,44.7,37.3,.545,0.35,-0.27,0.58,29-23,16-14,54-28,36-46,62.1%,14.7%,0.8%,0.2%,45,0.621,0.002,dal,Mavericks
9,Golden State Warriors,43.1,38.9,.526,0.90,-1.06,2.14,24-25,19-14,54-28,33-49,45.0%,,1.2%,0.2%,43,0.45,0.002,gs,Warriors
10,Los Angeles Lakers,41.8,40.2,.510,0.60,0.25,-0.08,28-26,14-14,51-31,33-49,26.2%,,0.2%,0,42,0.262,0,lal,Lakers
11,Houston Rockets,39.6,42.4,.483,0.22,-0.24,1.15,23-28,17-14,49-33,29-53,12.1%,0.6%,0.1%,0,40,0.121,0,hou,Rockets
12,Utah Jazz,38.8,43.2,.473,0.36,0.85,-1.70,26-27,13-16,49-33,29-53,4.7%,,,0,39,0.047,0,uta,Jazz
13,Memphis Grizzlies,29.9,52.1,.364,0.97,-0.85,-5.28,18-34,12-18,39-43,20-62,0,,,0,30,0,0,mem,Grizzlies
14,Portland Trail Blazers,23.8,58.2,.290,0.44,1.16,-7.78,15-36,9-22,33-49,16-66,0,,,0,24,0,0,por,Blazers
15,San Antonio Spurs,17.8,64.2,.218,0.44,1.16,-8.29,10-42,8-22,28-54,10-72,0,,,0,18,0,0,sa,Spurs
