Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,55.1,26.9,.672,-0.32,0.01,5.56,29-12,26-15,66-16,42-40,100.0%,73.4%,30.6%,19.4%,55,1,0.19399999999999998,bos
2,Brooklyn Nets,52.3,29.7,.637,-0.05,0.03,3.93,27-13,25-17,64-18,39-43,99.9%,22.2%,16.8%,9.3%,52,0.9990000000000001,0.09300000000000001,bkn
3,Cleveland Cavaliers,51.0,31.0,.622,-0.01,-0.39,4.75,26-16,25-15,61-21,39-43,99.7%,72.5%,21.6%,12.6%,51,0.997,0.126,cle
4,Philadelphia 76ers,49.0,33.0,.597,-0.61,0.63,3.69,25-15,24-18,60-22,38-44,98.4%,4.3%,14.2%,7.5%,49,0.9840000000000001,0.075,phi
5,Milwaukee Bucks,48.0,34.0,.585,-0.09,0.21,1.19,26-14,22-20,60-22,37-45,96.2%,25.2%,4.7%,1.8%,48,0.9620000000000001,0.018000000000000002,mil
6,New York Knicks,44.5,37.5,.543,-0.29,0.45,2.42,22-19,23-18,56-26,32-50,82.8%,0.1%,6.7%,2.8%,44,0.828,0.027999999999999997,ny
7,Indiana Pacers,43.2,38.8,.527,0.02,0.20,0.07,23-18,20-21,56-26,30-52,67.8%,2.0%,1.9%,0.4%,43,0.6779999999999999,0.004,ind
8,Miami Heat,41.0,41.0,.500,-0.27,0.52,-0.49,22-20,19-21,54-28,30-52,47.5%,65.2%,0.9%,0.2%,41,0.475,0.002,mia
9,Chicago Bulls,40.9,41.1,.499,1.02,-0.83,0.41,19-22,22-19,52-30,30-52,44.9%,0.3%,1.2%,0.4%,41,0.449,0.004,chi
10,Toronto Raptors,39.5,42.5,.482,0.51,-0.34,0.80,18-23,22-19,53-29,27-55,30.4%,,1.1%,0.4%,40,0.304,0.004,tor
11,Atlanta Hawks,38.1,43.9,.465,-0.30,0.36,-1.45,19-21,19-23,50-32,27-55,17.4%,19.2%,0.2%,0,38,0.174,0,atl
12,Washington Wizards,37.7,44.3,.459,0.74,-0.57,-0.72,17-24,21-20,48-34,24-58,14.8%,15.3%,0.3%,0.1%,38,0.14800000000000002,0.001,wsh
13,Orlando Magic,31.4,50.6,.383,-0.09,0.49,-3.90,16-26,15-25,42-40,21-61,0.2%,0.3%,,0,31,0.002,0,orl
14,Charlotte Hornets,25.1,56.9,.306,0.45,0.14,-5.91,11-31,14-26,36-46,14-68,0,,,0,25,0,0,cha
15,Detroit Pistons,23.5,58.5,.287,0.78,-0.11,-7.06,11-33,13-25,34-48,13-69,0,,,0,24,0,0,det
1,Memphis Grizzlies,53.3,28.7,.650,-0.18,-0.35,4.84,27-13,26-16,66-16,41-41,100.0%,77.8%,31.2%,16.7%,53,1,0.16699999999999998,mem
2,Denver Nuggets,50.8,31.2,.619,-0.45,0.16,2.73,27-13,24-18,63-19,40-42,99.9%,97.9%,14.4%,6.4%,51,0.9990000000000001,0.064,den
3,New Orleans Pelicans,50.2,31.8,.612,-0.12,-0.38,4.27,25-16,25-16,61-21,39-43,99.8%,21.1%,25.2%,12.6%,50,0.998,0.126,no
4,Dallas Mavericks,44.6,37.4,.543,0.16,-0.36,1.25,23-19,22-18,55-27,33-49,89.5%,1.2%,6.5%,2.0%,45,0.895,0.02,dal
5,Sacramento Kings,44.2,37.8,.539,-0.17,-0.25,1.52,21-18,23-20,56-26,32-50,86.1%,48.8%,6.6%,2.2%,44,0.861,0.022000000000000002,sac
6,Phoenix Suns,43.3,38.7,.529,0.16,-0.11,2.14,21-21,22-18,54-28,32-50,83.6%,40.9%,8.5%,3.3%,43,0.836,0.033,phx
7,Utah Jazz,41.2,40.8,.502,0.08,-0.22,0.76,21-23,20-18,52-30,28-54,59.0%,1.0%,3.1%,1.0%,41,0.59,0.01,uta
8,Portland Trail Blazers,39.8,42.2,.485,-0.37,0.33,-0.29,19-21,21-21,53-29,28-54,40.9%,0.6%,1.2%,0.2%,40,0.409,0.002,por
9,LA Clippers,39.4,42.6,.481,-0.68,0.62,-1.48,22-21,17-22,50-32,27-55,33.7%,4.9%,0.7%,0.1%,39,0.337,0.001,lac
10,Minnesota Timberwolves,39.2,42.8,.478,-0.45,0.39,-0.79,20-21,19-22,51-31,27-55,33.7%,0.4%,1.0%,0.2%,39,0.337,0.002,min
11,Golden State Warriors,38.8,43.2,.474,-0.13,0.26,-1.18,20-21,19-22,51-31,29-53,30.5%,4.0%,0.5%,0.1%,39,0.305,0.001,gs
12,Oklahoma City Thunder,38.4,43.6,.468,0.22,-0.12,-0.03,18-23,20-21,50-32,28-54,27.7%,0.1%,1.0%,0.3%,38,0.27699999999999997,0.003,okc
13,Los Angeles Lakers,37.7,44.3,.460,-0.33,0.46,-1.50,19-22,19-22,50-32,27-55,15.6%,1.4%,0.2%,0.1%,38,0.156,0.001,lal
14,San Antonio Spurs,24.7,57.3,.302,0.40,0.23,-8.16,13-28,12-29,35-47,15-67,0,,,0,25,0,0,sa
15,Houston Rockets,23.9,58.1,.291,0.28,0.25,-6.52,10-30,14-28,36-46,12-70,0,,,0,24,0,0,hou
