Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,65.2,16.8,.795,-0.36,-4.23,11.23,61-16,4-1,66-16,62-20,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,78.2%,63.5%
2,Cleveland Cavaliers,49.1,32.9,.599,-0.32,-1.94,2.38,46-31,3-2,51-31,46-36,99.8%,59.6%,NA,51,22.2,14.7,8.1,3,0.6,0.3,NA,98.9,0.9,0.2,NA,NA,,NA,3.4%,1.1%
3,Milwaukee Bucks,49.2,32.8,.600,-0.50,4.98,2.62,47-30,2-3,52-30,47-35,100.0%,39.3%,NA,37.1,38.5,16,6.4,1.8,0.1,0.1,NA,99.8,0.2,NA,NA,NA,,NA,3.7%,1.0%
4,Orlando Magic,47.5,34.5,.579,-0.63,1.33,1.55,45-32,2-3,50-32,45-37,97.2%,74.9%,NA,8.4,18.3,25.7,23.1,11.7,6.1,3.9,NA,87.2,6.6,6.3,NA,NA,,NA,1.9%,0.5%
5,New York Knicks,47.8,34.2,.583,-0.30,1.57,4.10,45-32,3-2,50-32,45-37,99.0%,,NA,3,16.8,27.8,29.6,16,3.9,1.8,NA,93.3,5.6,1.1,NA,NA,,NA,6.8%,2.7%
6,Indiana Pacers,46.4,35.6,.566,-0.18,-1.05,2.36,44-34,2-2,48-34,44-38,93.4%,1.1%,NA,0.4,2.4,8,18.4,35,18.6,10.8,NA,64.1,25.6,10.3,NA,NA,,NA,2.8%,1.0%
7,Miami Heat,46.0,36.0,.560,-0.55,-1.74,1.04,43-34,3-2,48-34,43-39,87.2%,25.1%,NA,0.2,1.9,7.6,12.3,20.8,27.2,17.3,NA,42.8,35.7,21.5,NA,NA,,NA,1.3%,0.3%
8,Philadelphia 76ers,45.5,36.5,.554,-0.22,-4.43,2.01,42-35,3-2,47-35,42-40,83.4%,,NA,NA,NA,0.2,2.1,11.7,43.6,25.9,NA,14.0,25.4,60.6,NA,NA,,NA,1.9%,0.6%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Atlanta Hawks,38.1,43.9,.465,-0.28,0.94,-1.51,36-41,2-3,41-41,36-46,20.3%,,NA,NA,NA,NA,NA,NA,NA,20.3,NA,,NA,NA,11.8,88.2,,NA,,
10,Chicago Bulls,39.4,42.6,.480,-0.22,-1.70,-1.71,37-40,2-3,42-40,37-45,19.7%,,NA,NA,NA,NA,NA,NA,NA,19.7,NA,,NA,NA,88.2,11.8,,NA,0.1%,
