Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.0,26.0,.683,-0.40,0.06,5.28,35-14,21-12,66-16,45-37,100.0%,90.0%,33.6%,21.1%,56,1,0.21100000000000002,bos
2,Philadelphia 76ers,50.4,31.6,.615,-0.54,0.63,3.31,30-16,20-16,60-22,39-43,99.6%,6.2%,14.6%,7.3%,50,0.996,0.073,phi
3,Cleveland Cavaliers,50.0,32.0,.609,0.20,-0.92,4.50,29-20,21-12,59-23,39-43,99.6%,70.1%,22.9%,12.9%,50,0.996,0.129,cle
4,Brooklyn Nets,49.8,32.2,.607,-0.21,0.16,2.84,29-17,21-15,61-21,39-43,99.4%,3.8%,12.2%,5.8%,50,0.9940000000000001,0.057999999999999996,bkn
5,Milwaukee Bucks,48.3,33.7,.589,-0.23,0.32,1.20,30-17,18-17,59-23,38-44,97.9%,29.7%,5.6%,2.1%,48,0.9790000000000001,0.021,mil
6,Miami Heat,43.8,38.2,.534,0.05,-0.04,0.32,27-22,17-16,53-29,34-48,78.1%,76.8%,2.5%,0.8%,44,0.7809999999999999,0.008,mia
7,New York Knicks,43.4,38.6,.529,-0.33,0.60,1.69,26-23,17-16,54-28,32-50,74.8%,,4.5%,1.7%,43,0.748,0.017,ny
8,Chicago Bulls,40.8,41.2,.497,0.59,-0.76,0.49,22-25,19-16,52-30,30-52,44.4%,0.2%,1.7%,0.6%,41,0.444,0.006,chi
9,Atlanta Hawks,40.0,42.0,.488,-0.33,0.37,-0.87,24-24,16-18,50-32,30-52,33.4%,14.6%,0.7%,0.2%,40,0.33399999999999996,0.002,atl
10,Washington Wizards,39.2,42.8,.477,0.56,-0.75,-0.25,21-26,18-17,51-31,29-53,25.4%,8.6%,0.7%,0.2%,39,0.254,0.002,wsh
11,Indiana Pacers,39.5,42.5,.481,0.28,-0.14,-1.33,24-25,15-18,49-33,30-52,27.1%,0.1%,0.4%,0.1%,40,0.271,0.001,ind
12,Toronto Raptors,38.5,43.5,.470,0.33,-0.40,0.54,21-27,18-16,49-33,29-53,20.2%,,0.8%,0.3%,38,0.20199999999999999,0.003,tor
13,Orlando Magic,32.4,49.6,.395,0.16,0.05,-3.23,18-29,14-21,43-39,22-60,0.2%,,,0,32,0.002,0,orl
14,Detroit Pistons,23.0,59.0,.280,0.85,-0.53,-7.01,12-37,11-22,34-48,14-68,0,,,0,23,0,0,det
15,Charlotte Hornets,24.4,57.6,.297,0.57,-0.13,-6.48,13-36,11-22,35-47,15-67,0,,,0,24,0,0,cha
1,Denver Nuggets,54.4,27.6,.663,-0.32,-0.02,3.97,34-14,20-14,66-16,43-39,100.0%,99.9%,25.4%,13.3%,54,1,0.133,den
2,Memphis Grizzlies,53.0,29.0,.646,-0.14,-0.42,4.54,31-16,22-13,63-19,43-39,100.0%,97.4%,28.6%,15.7%,53,1,0.157,mem
3,Sacramento Kings,47.8,34.2,.583,-0.38,-0.14,3.21,27-19,21-15,58-24,38-44,98.6%,84.0%,16.0%,7.4%,48,0.986,0.07400000000000001,sac
4,New Orleans Pelicans,45.3,36.7,.553,-0.13,-0.21,2.39,26-22,19-15,55-27,34-48,92.7%,2.4%,10.4%,4.3%,45,0.927,0.043,no
5,Phoenix Suns,42.8,39.2,.522,0.20,-0.08,1.47,25-24,18-15,53-29,33-49,76.6%,12.3%,5.3%,1.9%,43,0.7659999999999999,0.019,phx
6,Oklahoma City Thunder,42.5,39.5,.518,0.40,-0.56,1.46,23-24,19-16,52-30,31-51,70.6%,0.1%,4.7%,1.8%,42,0.706,0.018000000000000002,okc
7,Utah Jazz,42.0,40.0,.512,-0.06,0.03,1.22,25-25,17-15,52-30,30-52,65.8%,,3.6%,1.2%,42,0.6579999999999999,0.012,uta
8,Dallas Mavericks,41.9,40.1,.512,0.04,-0.25,0.41,25-24,17-16,52-30,32-50,63.1%,0.3%,2.6%,0.8%,42,0.631,0.008,dal
9,LA Clippers,40.2,41.8,.490,-0.73,1.06,-1.15,26-24,14-18,51-31,30-52,35.9%,1.7%,0.6%,0.1%,40,0.359,0.001,lac
10,Golden State Warriors,39.9,42.1,.486,-0.11,0.25,-0.50,23-24,17-18,49-33,29-53,35.2%,1.8%,0.9%,0.2%,40,0.35200000000000004,0.002,gs
11,Portland Trail Blazers,39.5,42.5,.482,-0.31,0.44,0.18,22-25,17-18,51-31,28-54,30.7%,,1.3%,0.4%,40,0.307,0.004,por
12,Minnesota Timberwolves,38.7,43.3,.472,-0.56,0.90,-0.91,24-25,15-18,50-32,28-54,20.4%,,0.5%,0.1%,39,0.204,0.001,min
13,Los Angeles Lakers,37.6,44.4,.458,-0.06,0.26,-1.27,22-26,16-18,47-35,26-56,10.4%,0.2%,0.2%,0.1%,38,0.10400000000000001,0.001,lal
14,Houston Rockets,21.5,60.5,.262,0.13,0.60,-7.43,11-36,10-25,31-51,13-69,0,,,0,22,0,0,hou
15,San Antonio Spurs,23.6,58.4,.288,0.49,0.09,-8.41,14-33,10-25,34-48,15-67,0,,,0,24,0,0,sa
