Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,64.6,17.4,.788,0.04,-1.78,10.47,46-12,19-5,70-12,57-25,100.0%,100.0%,69.7%,50.0%,65,1,0.5,bos,Celtics
2,Cleveland Cavaliers,53.4,28.6,.651,-0.60,-0.13,4.63,38-19,15-10,61-21,45-37,100.0%,82.5%,11.1%,4.2%,53,1,0.042,cle,Cavaliers
3,Milwaukee Bucks,50.7,31.3,.618,-0.74,1.32,3.36,38-21,13-10,59-23,42-40,99.6%,17.3%,5.7%,1.8%,51,0.996,0.018000000000000002,mil,Bucks
4,New York Knicks,48.6,33.4,.593,-0.18,0.20,3.70,35-24,14-9,57-25,40-42,98.0%,,6.2%,1.8%,49,0.98,0.018000000000000002,ny,Knicks
5,Orlando Magic,46.7,35.3,.569,0.17,-1.97,1.32,33-26,14-9,55-27,36-46,92.8%,54.9%,1.5%,0.3%,47,0.9279999999999999,0.003,orl,Magic
6,Philadelphia 76ers,46.9,35.1,.572,-0.36,-0.56,2.93,33-25,14-10,55-27,38-44,94.2%,,3.3%,1.1%,47,0.9420000000000001,0.011000000000000001,phi,76ers
7,Miami Heat,45.8,36.2,.559,-0.36,-0.75,0.38,33-25,13-11,54-28,37-45,88.5%,45.1%,1.0%,0.1%,46,0.885,0.001,mia,Heat
8,Indiana Pacers,44.8,37.2,.546,-0.42,0.80,1.41,33-26,12-11,53-29,37-45,85.1%,0.2%,1.4%,0.3%,45,0.851,0.003,ind,Pacers
9,Chicago Bulls,37.8,44.2,.461,-0.38,0.11,-1.79,27-31,11-13,46-36,29-53,19.7%,,,0,38,0.19699999999999998,0,chi,Bulls
10,Atlanta Hawks,36.8,45.2,.449,-0.06,-0.19,-1.77,26-32,11-13,46-36,28-54,16.5%,,,0,37,0.165,0,atl,Hawks
11,Brooklyn Nets,33.2,48.8,.405,0.50,-1.26,-2.40,22-36,11-13,43-39,25-57,3.8%,,,0,33,0.038,0,bkn,Nets
12,Toronto Raptors,32.4,49.6,.395,0.00,-0.29,-3.04,22-36,10-14,41-41,24-58,1.8%,,,0,32,0.018000000000000002,0,tor,Raptors
13,Charlotte Hornets,20.1,61.9,.246,-0.10,1.06,-10.61,15-43,5-19,28-54,15-67,0,,,0,20,0,0,cha,Hornets
14,Detroit Pistons,15.9,66.1,.194,0.21,-0.03,-8.45,9-49,7-17,23-59,9-73,0,,,0,16,0,0,det,Pistons
15,Washington Wizards,15.6,66.4,.190,0.40,-0.44,-9.46,9-49,7-17,25-57,9-73,0,,,0,16,0,0,wsh,Wizards
1,Oklahoma City Thunder,58.1,23.9,.708,-0.09,-0.58,8.21,41-17,17-7,65-17,49-33,100.0%,52.3%,42.3%,20.6%,58,1,0.20600000000000002,okc,Thunder
2,Minnesota Timberwolves,57.5,24.5,.702,-0.15,-0.24,7.05,41-17,17-7,65-17,48-34,100.0%,45.4%,29.1%,12.2%,58,1,0.122,min,T-Wolves
3,Denver Nuggets,53.7,28.3,.655,0.00,-0.15,3.85,39-19,15-9,62-20,44-38,100.0%,2.3%,7.1%,1.9%,54,1,0.019,den,Nuggets
4,LA Clippers,53.3,28.7,.649,0.00,-0.04,4.69,37-19,16-10,62-20,45-37,99.9%,98.0%,10.1%,3.1%,53,0.9990000000000001,0.031,lac,Clippers
5,New Orleans Pelicans,48.8,33.2,.595,-0.18,0.26,4.22,35-24,14-9,57-25,39-43,96.7%,83.1%,6.6%,1.9%,49,0.9670000000000001,0.019,no,Pelicans
6,Sacramento Kings,46.0,36.0,.561,0.40,0.63,1.03,33-24,13-12,55-27,37-45,76.6%,1.2%,0.8%,0.2%,46,0.7659999999999999,0.002,sac,Kings
7,Dallas Mavericks,45.7,36.3,.557,0.11,-0.10,1.22,33-25,13-11,55-27,37-45,72.0%,16.9%,1.0%,0.1%,46,0.72,0.001,dal,Mavericks
8,Phoenix Suns,45.5,36.5,.555,-1.19,2.60,1.83,34-24,11-13,54-28,37-45,69.8%,0.7%,1.4%,0.2%,46,0.698,0.002,phx,Suns
9,Golden State Warriors,44.3,37.7,.541,0.43,-0.83,2.32,30-27,14-11,53-29,35-47,55.6%,0.2%,1.4%,0.3%,44,0.556,0.003,gs,Warriors
10,Los Angeles Lakers,41.9,40.1,.511,0.25,0.95,-0.26,31-28,11-12,51-31,34-48,25.5%,,0.2%,0,42,0.255,0,lal,Lakers
11,Houston Rockets,38.0,44.0,.463,0.58,-1.28,0.30,25-33,13-11,47-35,29-53,3.8%,,,0,38,0.038,0,hou,Rockets
12,Utah Jazz,35.7,46.3,.435,-0.01,1.91,-2.83,27-32,9-14,47-35,28-54,0.2%,,,0,36,0.002,0,uta,Jazz
13,Memphis Grizzlies,29.4,52.6,.359,0.82,-1.06,-5.44,20-38,9-15,38-44,20-62,0,,,0,29,0,0,mem,Grizzlies
14,Portland Trail Blazers,21.4,60.6,.261,0.50,1.13,-8.54,15-42,6-19,31-51,15-67,0,,,0,21,0,0,por,Blazers
15,San Antonio Spurs,17.2,64.8,.209,0.46,1.27,-8.22,11-48,6-17,25-57,11-71,0,,,0,17,0,0,sa,Spurs
