Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,63.0,19.0,.768,1.25,-1.19,11.42,23-6,40-13,73-9,52-30,100.0%,85.4%,84.7,13.9,1.4,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,51.3%,39.2%
2,Philadelphia 76ers,58.8,23.2,.718,-0.65,-0.57,10.39,21-9,38-14,71-11,48-34,100.0%,14.6%,14.3,70.5,14.1,1,0.1,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,38.2%,27.4%
3,Milwaukee Bucks,53.6,28.4,.654,-1.15,0.34,4.82,23-8,31-20,65-17,40-42,99.9%,94.0%,1,14.7,67.6,11.7,3.4,1.3,0.2,0.1,NA,99.6,0.3,0.1,NA,NA,,NA,5.2%,2.2%
4,Orlando Magic,47.4,34.6,.577,0.03,-0.63,2.23,18-12,29-23,59-23,32-50,94.5%,65.5%,NA,0.6,7.9,33.3,22.5,16.3,8.9,5.1,NA,80.5,11,5.1,2.3,0.9,0.2,NA,1.7%,0.7%
5,Cleveland Cavaliers,45.9,36.1,.560,0.99,-0.80,1.25,18-13,28-23,58-24,35-47,89.0%,5.5%,NA,0.1,3.9,16.7,23.4,22.2,14.1,8.6,NA,66.4,16.5,10.1,4.7,1.7,0.6,NA,0.9%,0.2%
6,New York Knicks,46.0,36.0,.560,0.22,0.31,2.52,17-13,29-23,57-25,33-49,90.8%,,NA,0.1,3,17.8,25,22.2,14.2,8.5,NA,68.1,16.6,8.9,4.1,1.7,0.7,NA,1.5%,0.5%
7,Miami Heat,44.9,37.1,.548,-0.84,0.02,0.70,18-12,27-25,58-24,32-50,82.8%,33.4%,NA,0.1,1.9,16.2,17.2,19.4,15.9,12.1,NA,54.7,19.7,13,7.3,3.5,1.7,NA,0.6%,0.1%
8,Indiana Pacers,41.4,40.6,.505,-0.52,0.41,0.34,15-14,26-27,53-29,27-55,54.1%,0.6%,NA,NA,0.3,2.3,5,9.8,18.6,18.1,NA,17.4,15.9,22,18.5,13,13.2,NA,0.3%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Brooklyn Nets,40.0,42.0,.488,-0.13,0.18,-0.23,15-16,25-26,54-28,26-56,40.2%,,NA,NA,NA,0.8,2.3,5.3,14.1,17.7,NA,8.4,11.1,18.9,22.3,19.4,19.9,NA,0.2%,
10,Atlanta Hawks,38.1,43.9,.464,0.17,-0.01,-0.27,12-18,26-26,51-31,26-56,21.8%,1.1%,NA,NA,NA,0.3,0.7,1.6,6.6,12.6,NA,2.6,4.1,9.6,16.4,22.1,45.1,NA,0.1%,
11,Toronto Raptors,36.5,45.5,.445,0.17,0.00,-1.13,12-18,24-28,50-32,22-60,12.1%,,NA,NA,NA,0.1,0.2,0.7,3.4,7.7,NA,1.0,1.9,5.5,10.4,17.4,64.0,NA,,
12,Chicago Bulls,37.2,44.8,.454,0.29,-0.53,-1.90,14-18,23-27,49-33,24-58,14.9%,,NA,NA,NA,NA,0.4,1,4,9.5,NA,1.4,2.8,6.9,14.1,20.3,54.5,NA,,
13,Charlotte Hornets,21.9,60.1,.267,0.50,0.40,-9.89,7-21,15-39,36-46,10-72,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Washington Wizards,19.6,62.4,.239,0.36,0.39,-9.81,5-25,15-37,32-50,10-72,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,15.5,66.5,.189,0.71,0.23,-10.83,2-28,13-39,28-54,5-77,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Minnesota Timberwolves,56.7,25.3,.691,0.33,-0.78,6.26,22-7,35-18,67-15,43-39,100.0%,46.8%,46.5,33.4,15.9,3.1,0.8,0.2,NA,NA,NA,100.0,0.1,NA,NA,NA,,NA,24.4%,7.3%
2,Oklahoma City Thunder,56.4,25.6,.687,0.37,-0.82,8.06,20-9,36-17,67-15,44-38,100.0%,41.2%,41,36.1,17.6,4.1,1,0.2,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,38.3%,14.7%
3,Denver Nuggets,53.6,28.4,.654,0.19,-0.60,5.16,22-10,32-18,66-16,41-41,99.8%,12.0%,11.9,24.9,43.6,13.2,4.4,1.4,0.3,0.2,NA,99.3,0.5,0.1,NA,NA,,NA,16.1%,4.1%
4,Los Angeles Clippers,48.2,33.8,.587,-0.64,0.05,3.56,18-12,30-22,62-20,36-46,94.2%,65.8%,0.5,3.7,12.5,33.8,18.5,13.1,7.5,4.5,NA,82.2,8,5.1,3.1,1.3,0.4,NA,8.2%,1.6%
