Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Indiana Pacers,49.9,30.1,.624,5.70,-0.74,23.20,2-0,48-30,66-14,34-46,99.2%,77.8%,36.8%,24.0%,50,0.992,0.24,ind
2,Cleveland Cavaliers,43.0,37.0,.537,11.20,0.03,6.53,1-2,42-35,59-21,28-52,79.3%,9.3%,11.3%,5.9%,43,0.7929999999999999,0.059000000000000004,cle
3,Philadelphia 76ers,42.4,37.6,.530,3.08,0.02,6.08,1-1,41-37,62-18,26-54,75.2%,38.3%,8.8%,4.4%,42,0.752,0.044000000000000004,phi
4,Milwaukee Bucks,42.0,38.0,.525,6.08,0.25,7.08,1-0,41-38,58-22,27-53,71.7%,7.2%,7.5%,3.2%,42,0.7170000000000001,0.032,mil
5,Washington Wizards,42.1,37.9,.526,12.86,-0.29,4.86,1-1,41-37,58-22,24-56,73.2%,48.7%,8.2%,3.9%,42,0.732,0.039,wsh
6,Boston Celtics,41.7,38.3,.522,-3.67,0.74,2.33,2-0,40-38,58-22,24-56,69.9%,30.9%,6.5%,2.9%,42,0.6990000000000001,0.028999999999999998,bos
7,Detroit Pistons,41.6,38.4,.520,-6.48,1.01,2.52,2-1,40-37,56-24,26-54,68.1%,5.5%,6.7%,2.8%,42,0.6809999999999999,0.027999999999999997,det
8,Orlando Magic,40.4,39.6,.505,-18.82,0.66,-1.32,2-0,38-40,56-24,23-57,58.3%,29.6%,3.4%,1.4%,40,0.583,0.013999999999999999,orl
9,Brooklyn Nets,38.7,41.3,.484,2.36,0.46,-0.64,0-2,39-39,54-26,23-57,42.4%,11.1%,2.8%,1.1%,39,0.424,0.011000000000000001,bkn
10,Toronto Raptors,38.9,41.1,.486,0.75,0.60,-0.92,1-2,38-39,55-25,20-60,43.5%,11.1%,2.7%,1.1%,39,0.435,0.011000000000000001,tor
11,New York Knicks,38.2,41.8,.477,-0.16,0.48,-2.49,1-2,37-40,54-26,22-58,36.9%,8.5%,2.2%,0.9%,38,0.369,0.009000000000000001,ny
12,Miami Heat,37.0,43.0,.462,2.82,0.30,-4.84,1-2,36-41,52-28,20-60,27.6%,9.2%,1.2%,0.4%,37,0.276,0.004,mia
13,Charlotte Hornets,36.8,43.2,.460,-4.15,1.06,-7.15,1-1,36-42,53-27,20-60,26.3%,9.0%,1.1%,0.4%,37,0.263,0.004,cha
14,Chicago Bulls,35.3,44.7,.441,4.21,0.91,-7.45,1-2,34-43,53-27,20-60,15.9%,0.3%,0.5%,0.1%,35,0.159,0.001,chi
15,Atlanta Hawks,34.5,45.5,.432,-4.82,1.23,-10.82,0-2,35-43,52-28,19-61,12.4%,3.5%,0.4%,0.1%,34,0.124,0.001,atl
1,Denver Nuggets,46.0,34.0,.576,4.69,-0.71,12.69,2-0,44-34,62-18,29-51,92.5%,47.9%,17.3%,9.0%,46,0.925,0.09,den
2,Oklahoma City Thunder,45.5,34.5,.569,-0.46,-0.55,11.04,2-0,44-34,61-19,30-50,90.8%,40.6%,15.5%,7.7%,46,0.9079999999999999,0.077,okc
3,Phoenix Suns,45.3,34.7,.566,1.04,-1.00,8.04,2-1,43-34,60-20,27-53,89.8%,45.2%,15.4%,8.1%,45,0.898,0.081,phx
4,New Orleans Pelicans,44.5,35.5,.556,0.02,-0.91,8.02,2-0,42-36,59-21,26-54,86.4%,62.6%,11.9%,5.6%,44,0.8640000000000001,0.055999999999999994,no
5,Golden State Warriors,42.9,37.1,.537,5.08,-0.41,7.08,1-1,42-36,59-21,26-54,77.1%,21.4%,9.8%,4.3%,43,0.7709999999999999,0.043,gs
6,Los Angeles Lakers,42.8,37.2,.535,10.37,-0.44,6.87,1-1,42-36,60-20,25-55,76.1%,22.1%,9.1%,4.3%,43,0.7609999999999999,0.043,lal
7,Minnesota Timberwolves,41.4,38.6,.518,-2.88,0.07,3.62,1-1,40-38,57-23,24-56,66.2%,10.8%,6.2%,2.8%,41,0.662,0.027999999999999997,min
8,Sacramento Kings,40.6,39.4,.508,-1.88,0.60,2.12,1-1,40-38,56-24,25-55,58.0%,9.3%,4.9%,2.0%,41,0.58,0.02,sac
9,Dallas Mavericks,40.3,39.7,.504,-7.81,0.25,-1.81,2-0,38-40,56-24,25-55,54.9%,18.9%,3.6%,1.4%,40,0.5489999999999999,0.013999999999999999,dal
10,Memphis Grizzlies,40.2,39.8,.502,8.52,-0.81,2.52,0-3,40-37,57-23,25-55,55.2%,17.1%,4.9%,1.9%,40,0.552,0.019,mem
11,LA Clippers,37.1,42.9,.464,-11.67,0.94,-6.67,1-1,36-42,54-26,18-62,26.9%,2.0%,1.1%,0.3%,37,0.26899999999999996,0.003,lac
12,Portland Trail Blazers,34.1,45.9,.426,-3.99,0.57,-12.49,0-2,34-44,49-31,18-62,9.4%,0.4%,0.2%,0.1%,34,0.094,0.001,por
13,San Antonio Spurs,33.8,46.2,.422,-13.48,1.26,-14.98,1-1,33-45,50-30,18-62,8.2%,1.4%,0.2%,0,34,0.08199999999999999,0,sa
14,Utah Jazz,33.5,46.5,.419,1.17,0.60,-10.84,1-2,32-45,51-29,19-61,7.5%,0.3%,0.1%,0,34,0.075,0,uta
15,Houston Rockets,29.2,50.8,.366,-8.15,1.04,-25.15,0-2,29-49,47-33,12-68,1.0%,0.1%,,0,29,0.01,0,hou
