Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,63.9,18.1,.779,-0.36,-9.86,10.73,62-18,2-0,64-18,62-20,100.0%,100.0%,77.0%,60.7%,64,1,0.607,bos,Celtics
2,Milwaukee Bucks,49.8,32.2,.608,-0.31,3.98,2.92,49-31,1-1,51-31,49-33,100.0%,84.7%,4.4%,1.4%,50,1,0.013999999999999999,mil,Bucks
3,New York Knicks,49.5,32.5,.603,-0.17,-2.32,4.47,48-32,1-1,50-32,48-34,100.0%,,8.8%,3.7%,50,1,0.037000000000000005,ny,Knicks
4,Cleveland Cavaliers,48.4,33.6,.590,-0.36,-3.90,2.13,47-33,1-1,49-33,47-35,99.7%,15.3%,2.5%,0.7%,48,0.997,0.006999999999999999,cle,Cavaliers
5,Indiana Pacers,47.1,34.9,.575,-0.28,0.06,2.44,46-34,1-1,48-34,46-36,98.6%,,2.7%,0.7%,47,0.986,0.006999999999999999,ind,Pacers
6,Orlando Magic,46.9,35.1,.572,-0.61,2.56,1.30,46-34,1-1,48-34,46-36,95.8%,84.2%,1.5%,0.3%,47,0.958,0.003,orl,Magic
7,Philadelphia 76ers,46.3,35.7,.564,-0.52,-0.79,2.19,45-35,1-1,47-35,45-37,86.0%,,2.3%,0.6%,46,0.86,0.006,phi,76ers
8,Miami Heat,45.5,36.5,.555,-0.51,-6.18,0.83,44-36,1-1,46-36,44-38,79.6%,15.8%,0.9%,0.1%,46,0.7959999999999999,0.001,mia,Heat
9,Chicago Bulls,39.0,43.0,.475,-0.28,-2.51,-1.76,38-42,1-1,40-42,38-44,21.2%,,,0,39,0.212,0,chi,Bulls
10,Atlanta Hawks,36.5,45.5,.446,-0.34,4.58,-2.01,36-44,1-1,38-44,36-46,19.2%,,,0,36,0.192,0,atl,Hawks
11,Brooklyn Nets,32.6,49.4,.397,-0.22,3.33,-2.87,32-48,1-1,34-48,32-50,0,,,0,33,0,0,bkn,Nets
12,Toronto Raptors,25.5,56.5,.311,-0.04,0.83,-6.18,25-55,1-1,27-55,25-57,0,,,0,26,0,0,tor,Raptors
13,Charlotte Hornets,20.2,61.8,.246,-0.03,6.43,-10.24,20-60,0-2,22-60,20-62,0,,,0,20,0,0,cha,Hornets
14,Washington Wizards,15.4,66.6,.188,-0.11,4.48,-9.48,15-65,0-2,17-65,15-67,0,,,0,15,0,0,wsh,Wizards
15,Detroit Pistons,13.5,68.5,.165,0.09,-1.53,-9.13,13-67,0-2,15-67,13-69,0,,,0,14,0,0,det,Pistons
1,Denver Nuggets,57.5,24.5,.702,0.12,-6.40,5.33,56-24,2-0,58-24,56-26,100.0%,68.6%,19.3%,5.8%,58,1,0.057999999999999996,den,Nuggets
2,Oklahoma City Thunder,56.3,25.7,.687,-0.10,3.05,6.66,55-25,1-1,57-25,55-27,100.0%,17.7%,23.8%,8.9%,56,1,0.08900000000000001,okc,Thunder
3,Minnesota Timberwolves,56.4,25.6,.688,-0.09,0.39,6.73,55-25,1-1,57-25,55-27,100.0%,13.8%,27.2%,10.1%,56,1,0.10099999999999999,min,T-Wolves
4,LA Clippers,52.4,29.6,.639,0.17,-1.62,3.68,51-29,1-1,53-29,51-31,100.0%,100.0%,8.4%,1.9%,52,1,0.019,lac,Clippers
5,Dallas Mavericks,51.2,30.8,.624,0.08,-1.23,3.18,50-30,1-1,52-30,50-32,100.0%,100.0%,6.1%,1.4%,51,1,0.013999999999999999,dal,Mavericks
6,New Orleans Pelicans,49.2,32.8,.600,-0.01,1.84,4.66,48-32,1-1,50-32,48-34,96.4%,,8.1%,2.3%,49,0.9640000000000001,0.023,no,Pelicans
7,Phoenix Suns,47.8,34.2,.583,-0.10,4.34,2.79,47-33,1-1,49-33,47-35,81.8%,,3.1%,0.7%,48,0.818,0.006999999999999999,phx,Suns
8,Sacramento Kings,46.3,35.7,.565,0.64,-2.57,1.96,45-35,1-1,47-35,45-37,57.1%,,1.6%,0.3%,46,0.5710000000000001,0.003,sac,Kings
9,Golden State Warriors,46.3,35.8,.564,0.15,0.17,2.80,45-35,1-1,47-35,45-37,40.3%,,1.9%,0.3%,46,0.40299999999999997,0.003,gs,Warriors
10,Los Angeles Lakers,46.0,36.0,.561,0.51,-0.96,0.88,45-35,1-1,47-35,45-37,24.4%,,0.6%,0.1%,46,0.244,0.001,lal,Lakers
11,Houston Rockets,40.1,41.9,.489,0.18,-2.13,1.08,39-41,1-1,41-41,39-43,0,,,0,40,0,0,hou,Rockets
12,Utah Jazz,30.5,51.5,.372,0.63,3.24,-4.31,30-50,0-2,32-50,30-52,0,,,0,30,0,0,uta,Jazz
13,Memphis Grizzlies,27.5,54.5,.336,0.38,3.11,-6.57,27-53,1-1,29-53,27-55,0,,,0,28,0,0,mem,Grizzlies
14,Portland Trail Blazers,21.5,60.5,.262,0.71,1.52,-7.94,21-59,0-2,23-59,21-61,0,,,0,22,0,0,por,Blazers
15,San Antonio Spurs,20.9,61.1,.255,0.78,-1.90,-6.24,20-60,1-1,22-60,20-62,0,,,0,21,0,0,sa,Spurs
