Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,unit,wins,make_playoffs,win_finals
1,Boston Celtics,53.3,28.7,.651,-0.25,-0.09,4.99,26-12,27-17,64-18,41-41,100.0%,57.2%,25.2%,15.4%,Celtics,53,1,0.154
2,Brooklyn Nets,52.3,29.7,.638,-0.08,0.00,4.27,25-12,27-18,63-19,40-42,99.9%,34.9%,19.0%,11.0%,Nets,52,0.9990000000000001,0.11
3,Cleveland Cavaliers,51.4,30.6,.627,-0.24,-0.24,5.00,24-14,27-17,63-19,39-43,99.9%,71.7%,24.0%,14.4%,Cavaliers,51,0.9990000000000001,0.14400000000000002
4,Philadelphia 76ers,48.6,33.4,.593,-0.27,0.24,3.62,22-14,27-19,60-22,36-46,98.1%,7.5%,12.8%,6.8%,76ers,49,0.981,0.068
5,Milwaukee Bucks,48.6,33.4,.592,0.03,0.02,2.01,24-13,25-20,60-22,34-48,97.5%,27.2%,7.0%,3.0%,Bucks,49,0.975,0.03
6,New York Knicks,44.7,37.3,.546,-0.13,0.24,2.71,20-18,25-19,56-26,33-49,86.4%,0.5%,7.4%,3.7%,Knicks,45,0.8640000000000001,0.037000000000000005
7,Indiana Pacers,42.7,39.3,.521,0.09,0.15,-0.14,21-17,22-22,58-24,31-51,66.9%,1.0%,1.3%,0.4%,Pacers,43,0.669,0.004
8,Miami Heat,40.4,41.6,.492,-0.51,0.66,-0.88,20-18,20-24,53-29,29-53,43.7%,53.0%,0.8%,0.3%,Heat,40,0.43700000000000006,0.003
9,Toronto Raptors,39.4,42.6,.480,0.62,-0.35,0.49,16-21,23-22,50-32,26-56,33.7%,,1.2%,0.4%,Raptors,39,0.337,0.004
10,Washington Wizards,39.2,42.8,.478,0.57,-0.44,-0.02,17-22,22-21,51-31,28-54,32.0%,31.1%,0.8%,0.2%,Wizards,39,0.32,0.002
11,Chicago Bulls,38.5,43.5,.469,0.77,-0.38,-0.52,16-21,22-23,50-32,27-55,25.4%,,0.4%,0.2%,Bulls,38,0.254,0.002
12,Atlanta Hawks,37.6,44.4,.458,-0.33,0.32,-1.33,17-20,21-24,50-32,26-56,16.5%,15.8%,0.2%,0,Hawks,38,0.165,0
13,Orlando Magic,29.8,52.2,.364,-0.19,0.52,-4.38,13-24,17-28,44-38,19-63,0.1%,0.1%,,0,Magic,30,0.001,0
14,Charlotte Hornets,25.0,57.0,.305,0.37,0.24,-6.34,10-28,15-29,38-44,15-67,0,,,0,Hornets,25,0,0
15,Detroit Pistons,24.6,57.4,.300,0.91,-0.25,-6.41,10-30,15-27,35-47,13-69,0,,,0,Pistons,25,0,0
1,Memphis Grizzlies,51.9,30.1,.633,0.32,-0.72,4.65,23-13,29-17,63-19,37-45,99.8%,60.7%,29.2%,15.2%,Grizzlies,52,0.998,0.152
2,New Orleans Pelicans,50.4,31.6,.615,-0.14,-0.35,4.32,23-14,27-18,62-20,35-47,99.4%,33.3%,24.7%,12.5%,Pelicans,50,0.9940000000000001,0.125
3,Denver Nuggets,47.9,34.1,.584,-0.50,0.28,1.39,24-13,24-21,60-22,35-47,96.8%,83.8%,8.0%,2.9%,Nuggets,48,0.968,0.028999999999999998
4,Dallas Mavericks,46.7,35.3,.569,-0.05,-0.23,2.26,22-16,25-19,58-24,33-49,94.4%,6.0%,10.7%,4.2%,Mavericks,47,0.9440000000000001,0.042
5,Sacramento Kings,44.9,37.1,.548,0.00,-0.36,1.28,20-16,25-21,56-26,34-48,83.7%,38.4%,6.1%,2.0%,Kings,45,0.8370000000000001,0.02
6,Phoenix Suns,44.9,37.1,.548,0.07,-0.06,2.57,20-18,25-19,56-26,33-49,86.8%,45.6%,10.9%,4.7%,Suns,45,0.868,0.047
7,Portland Trail Blazers,42.8,39.2,.522,-0.39,0.16,0.56,19-17,24-22,55-27,31-51,64.3%,10.6%,3.6%,0.9%,Blazers,43,0.643,0.009000000000000001
8,Golden State Warriors,41.6,40.4,.507,0.04,0.02,-0.33,20-18,22-22,55-27,30-52,52.2%,9.5%,1.9%,0.5%,Warriors,42,0.522,0.005
9,Los Angeles Clippers,41.1,40.9,.501,-0.86,0.58,-0.81,21-18,20-23,53-29,29-53,42.5%,6.2%,1.2%,0.2%,Clippers,41,0.425,0.002
10,Utah Jazz,41.2,40.8,.502,0.09,-0.25,0.69,19-21,22-20,53-29,30-52,47.3%,4.6%,2.8%,0.7%,Jazz,41,0.473,0.006999999999999999
11,Oklahoma City Thunder,37.9,44.1,.463,0.26,-0.09,-0.45,16-21,22-23,50-32,27-55,17.0%,0.6%,0.6%,0.2%,Thunder,38,0.17,0.002
12,Minnesota Timberwolves,37.2,44.8,.454,-0.28,0.20,-1.39,17-21,20-24,49-33,26-56,10.9%,0.5%,0.2%,0,Timberwolves,37,0.109,0
13,Los Angeles Lakers,35.9,46.1,.438,-0.45,0.54,-1.97,16-21,20-25,49-33,25-57,5.0%,0.3%,0.1%,0,Lakers,36,0.05,0
14,San Antonio Spurs,23.9,58.1,.291,0.22,0.48,-9.16,12-25,12-33,36-46,14-68,0,,,0,Spurs,24,0,0
15,Houston Rockets,25.6,56.4,.312,0.29,0.18,-6.09,10-27,16-29,38-44,15-67,0,,,0,Rockets,26,0,0
