Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.5,19.5,.762,0.58,-1.67,10.14,35-11,27-9,70-12,53-29,100.0%,99.1%,58.4%,40.0%,62,1,0.4,bos,Celtics
2,Philadelphia 76ers,54.1,27.9,.659,-0.91,-0.30,6.57,29-15,25-13,63-19,43-39,100.0%,0.8%,18.5%,8.9%,54,1,0.08900000000000001,phi,76ers
3,Milwaukee Bucks,52.3,29.7,.637,-0.86,0.66,3.44,32-14,20-16,63-19,43-39,99.9%,58.5%,4.7%,1.4%,52,0.9990000000000001,0.013999999999999999,mil,Bucks
4,New York Knicks,51.8,30.2,.632,-0.25,0.06,5.31,29-17,23-13,62-20,40-42,99.9%,0.1%,10.0%,4.3%,52,0.9990000000000001,0.043,ny,Knicks
5,Cleveland Cavaliers,50.9,31.1,.621,-0.14,-0.84,4.02,27-16,24-15,61-21,39-43,99.5%,38.7%,5.6%,1.9%,51,0.995,0.019,cle,Cavaliers
6,Indiana Pacers,45.8,36.2,.558,-0.15,-0.21,1.81,26-20,20-16,57-25,35-47,93.1%,2.9%,1.6%,0.3%,46,0.9309999999999999,0.003,ind,Pacers
7,Orlando Magic,43.9,38.1,.535,0.45,-1.64,0.70,23-22,21-16,54-28,33-49,86.0%,74.5%,0.9%,0.2%,44,0.86,0.002,orl,Magic
8,Miami Heat,40.8,41.2,.498,-0.59,-0.22,-1.67,24-22,17-19,51-31,30-52,63.2%,25.3%,0.2%,0,41,0.632,0,mia,Heat
9,Chicago Bulls,37.5,44.5,.457,-0.29,-0.29,-1.90,21-25,16-20,49-33,29-53,28.1%,,,0,38,0.281,0,chi,Bulls
10,Brooklyn Nets,35.1,46.9,.428,-0.07,-0.08,-1.65,18-27,17-20,45-37,25-57,17.2%,,,0,35,0.172,0,bkn,Nets
11,Atlanta Hawks,33.7,48.3,.411,-0.09,-0.01,-3.27,18-27,16-21,45-37,24-58,7.3%,0.2%,,0,34,0.073,0,atl,Hawks
12,Toronto Raptors,32.9,49.1,.401,0.23,-0.55,-2.20,16-29,17-20,45-37,23-59,5.9%,,,0,33,0.059000000000000004,0,tor,Raptors
13,Charlotte Hornets,18.1,63.9,.221,-0.09,0.72,-11.65,10-34,8-30,29-53,10-72,0,,,0,18,0,0,cha,Hornets
14,Washington Wizards,17.6,64.4,.214,-0.43,0.75,-9.56,8-37,10-27,28-54,9-73,0,,,0,18,0,0,wsh,Wizards
15,Detroit Pistons,13.7,68.3,.168,-0.06,0.54,-10.33,5-40,9-28,25-57,6-76,0,,,0,14,0,0,det,Pistons
1,Oklahoma City Thunder,58.6,23.4,.714,0.04,-0.66,8.73,32-13,27-10,67-15,48-34,100.0%,78.6%,43.3%,22.8%,59,1,0.228,okc,Thunder
2,LA Clippers,55.3,26.7,.674,0.11,-0.36,6.61,30-14,25-13,66-16,44-38,100.0%,99.3%,21.9%,9.2%,55,1,0.092,lac,Clippers
3,Minnesota Timberwolves,55.2,26.8,.673,0.03,-0.21,5.50,32-14,23-13,64-18,45-37,100.0%,14.0%,15.5%,5.6%,55,1,0.055999999999999994,min,T-Wolves
4,Denver Nuggets,54.2,27.8,.661,0.48,-0.75,4.56,32-15,22-13,64-18,42-40,100.0%,7.4%,10.2%,3.3%,54,1,0.033,den,Nuggets
5,New Orleans Pelicans,47.6,34.4,.580,0.18,-0.27,3.88,26-20,22-14,58-24,37-45,95.3%,83.5%,5.4%,1.5%,48,0.953,0.015,no,Pelicans
6,Sacramento Kings,45.2,36.8,.552,0.21,0.73,0.93,26-18,19-19,54-28,35-47,80.7%,0.4%,1.3%,0.1%,45,0.807,0.001,sac,Kings
7,Phoenix Suns,44.4,37.6,.541,-1.08,1.22,1.23,26-19,18-19,57-25,34-48,72.3%,0.2%,1.2%,0.2%,44,0.723,0.002,phx,Suns
8,Dallas Mavericks,42.8,39.2,.522,-0.08,0.27,0.23,25-21,18-18,53-29,32-50,55.5%,12.5%,0.5%,0.1%,43,0.555,0.001,dal,Mavericks
9,Houston Rockets,40.6,41.4,.495,0.18,-0.18,1.07,21-24,20-17,51-31,30-52,33.1%,4.0%,0.4%,0.1%,41,0.331,0.001,hou,Rockets
10,Los Angeles Lakers,40.7,41.3,.497,0.43,0.43,-0.35,24-23,17-18,52-30,30-52,29.6%,,0.2%,0,41,0.29600000000000004,0,lal,Lakers
11,Golden State Warriors,39.4,42.6,.480,0.91,-0.70,0.44,19-24,20-19,51-31,27-55,18.3%,,0.2%,0,39,0.183,0,gs,Warriors
12,Utah Jazz,39.5,42.5,.482,-0.04,1.12,-1.44,24-23,15-20,50-32,29-53,15.1%,,,0,40,0.151,0,uta,Jazz
13,Memphis Grizzlies,32.8,49.2,.400,0.47,-0.11,-4.53,18-27,15-22,43-39,22-60,0.1%,,,0,33,0.001,0,mem,Grizzlies
14,Portland Trail Blazers,23.0,59.0,.281,0.38,1.11,-8.80,13-32,10-27,34-48,15-67,0,,,0,23,0,0,por,Blazers
15,San Antonio Spurs,20.0,62.0,.244,0.45,0.90,-8.12,10-36,10-26,31-51,11-71,0,,,0,20,0,0,sa,Spurs
