Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,58.1,23.9,.708,-0.02,-0.25,4.13,50-19,8-5,63-19,52-30,100.0%,99.9%,18.3%,11.1%,58,1,0.111,mil
2,Boston Celtics,55.7,26.3,.680,-0.11,-0.22,5.22,48-22,8-4,60-22,50-32,100.0%,80.0%,25.9%,17.0%,56,1,0.17,bos
3,Philadelphia 76ers,54.2,27.8,.661,-0.12,0.71,4.25,46-22,8-6,60-22,48-34,100.0%,20.0%,17.5%,10.9%,54,1,0.109,phi
4,Cleveland Cavaliers,50.9,31.1,.620,0.04,-1.70,5.34,44-28,7-3,54-28,46-36,100.0%,0.1%,25.0%,16.6%,51,1,0.166,cle
5,New York Knicks,47.7,34.3,.581,0.15,-0.63,2.99,41-30,7-4,52-30,42-40,99.4%,,7.6%,3.9%,48,0.9940000000000001,0.039,ny
6,Brooklyn Nets,46.2,35.8,.564,0.20,-0.06,0.90,39-30,7-6,52-30,40-42,96.2%,,2.6%,1.1%,46,0.9620000000000001,0.011000000000000001,bkn
7,Miami Heat,43.4,38.6,.529,0.25,-0.34,-0.23,38-33,5-6,49-33,38-44,77.2%,91.0%,1.1%,0.3%,43,0.772,0.003,mia
8,Atlanta Hawks,40.5,41.5,.494,0.03,0.16,-0.23,34-35,7-6,46-36,34-48,49.2%,7.4%,0.7%,0.2%,40,0.49200000000000005,0.002,atl
9,Toronto Raptors,39.7,42.3,.484,0.11,0.30,0.53,33-36,7-6,46-36,33-49,35.3%,,0.6%,0.2%,40,0.353,0.002,tor
10,Chicago Bulls,38.3,43.7,.467,0.11,0.07,0.77,31-37,7-7,44-38,31-51,20.5%,,0.4%,0.2%,38,0.205,0.002,chi
11,Washington Wizards,38.6,43.4,.471,0.11,0.02,-0.09,32-37,7-6,45-37,32-50,18.3%,1.6%,0.3%,0.1%,39,0.183,0.001,wsh
12,Indiana Pacers,36.1,45.9,.440,0.03,1.47,-2.35,31-38,5-8,42-40,31-51,3.9%,,,0,36,0.039,0,ind
13,Detroit Pistons,19.7,62.3,.240,0.53,-0.20,-6.83,16-54,4-8,27-55,16-66,0,,,0,20,0,0,det
14,Orlando Magic,33.0,49.0,.403,0.03,1.00,-2.93,28-41,5-8,40-42,28-54,0,,,0,33,0,0,orl
15,Charlotte Hornets,25.8,56.2,.315,0.29,0.41,-5.56,22-49,4-7,32-50,22-60,0,,,0,26,0,0,cha
1,Denver Nuggets,53.4,28.6,.652,-0.38,0.32,3.26,46-23,7-6,59-23,47-35,100.0%,100.0%,25.1%,11.0%,53,1,0.11,den
2,Memphis Grizzlies,50.0,32.0,.610,-0.08,-1.58,3.64,41-27,9-5,55-27,44-38,100.0%,100.0%,25.5%,11.6%,50,1,0.11599999999999999,mem
3,Sacramento Kings,48.8,33.2,.595,-0.38,-0.08,2.31,41-27,8-6,55-27,42-40,100.0%,94.6%,16.2%,6.1%,49,1,0.061,sac
4,Phoenix Suns,44.1,37.9,.538,-0.03,0.18,1.80,37-32,7-6,49-33,38-44,96.4%,4.8%,11.6%,3.9%,44,0.9640000000000001,0.039,phx
5,LA Clippers,42.9,39.1,.523,-0.30,0.63,-0.17,37-33,6-6,49-33,37-45,80.0%,0.4%,3.3%,0.8%,43,0.8,0.008,lac
6,Golden State Warriors,42.2,39.8,.514,-0.06,-0.26,0.47,36-34,6-6,48-34,37-45,73.0%,0.3%,4.0%,1.0%,42,0.73,0.01,gs
7,Dallas Mavericks,41.4,40.6,.505,-0.08,-1.04,0.48,35-35,6-6,47-35,35-47,60.4%,,3.4%,0.9%,41,0.604,0.009000000000000001,dal
8,Oklahoma City Thunder,41.2,40.8,.502,-0.03,-0.71,1.68,34-35,7-6,47-35,36-46,55.2%,,5.2%,1.8%,41,0.552,0.018000000000000002,okc
9,Minnesota Timberwolves,40.8,41.2,.497,-0.14,-0.14,-0.18,35-35,6-6,47-35,35-47,50.2%,,2.1%,0.4%,41,0.502,0.004,min
10,New Orleans Pelicans,40.2,41.8,.490,0.07,-1.54,0.50,33-36,7-6,46-36,33-49,36.7%,,2.0%,0.6%,40,0.36700000000000005,0.006,no
11,Los Angeles Lakers,40.1,41.9,.488,-0.04,-0.36,-0.50,34-36,6-6,46-36,34-48,29.1%,,0.9%,0.1%,40,0.29100000000000004,0.001,lal
12,Utah Jazz,39.1,42.9,.477,-0.29,1.13,-0.31,33-36,6-7,45-37,33-49,17.4%,,0.6%,0.2%,39,0.174,0.002,uta
13,Portland Trail Blazers,36.9,45.1,.449,-0.14,0.50,-1.63,31-38,6-7,44-38,31-51,1.7%,,0.1%,0,37,0.017,0,por
14,Houston Rockets,20.5,61.5,.250,0.17,0.64,-7.70,17-52,4-9,28-54,17-65,0,,,0,20,0,0,hou
15,San Antonio Spurs,20.7,61.3,.253,0.05,1.24,-9.55,18-51,3-10,27-55,18-64,0,,,0,21,0,0,sa
