Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,64.6,17.4,.788,-0.45,-1.71,10.96,59-16,6-1,66-16,61-21,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,76.6%,59.7%
2,Milwaukee Bucks,51.7,30.3,.630,-0.25,0.48,3.27,47-27,5-3,55-27,47-35,100.0%,86.2%,NA,84.5,13,1.9,0.5,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,5.6%,1.8%
3,Cleveland Cavaliers,49.2,32.8,.601,-0.29,-1.75,2.55,45-30,4-3,52-30,45-37,99.8%,13.6%,NA,12.5,34.3,31.6,15.8,4.8,0.5,0.3,NA,99.0,1,0.1,NA,NA,,NA,3.2%,1.0%
4,New York Knicks,48.7,33.3,.593,-0.30,1.02,4.36,44-30,5-3,52-30,44-38,99.8%,,NA,1.6,35.1,30.2,21.4,9.9,1.1,0.5,NA,98.2,1.7,0.1,NA,NA,,NA,7.9%,3.0%
5,Orlando Magic,47.6,34.4,.580,-0.58,0.34,1.66,44-31,4-3,51-31,44-38,98.6%,83.8%,NA,1.3,15,26.8,34.4,14.8,4,2.3,NA,92.3,5.4,2.3,NA,NA,,NA,1.8%,0.4%
6,Indiana Pacers,46.4,35.6,.566,-0.22,0.12,2.26,43-33,3-3,49-33,43-39,95.0%,0.1%,NA,0.1,1.8,6.7,18,46.8,14.2,7.6,NA,73.2,22.5,4.2,NA,NA,,NA,2.5%,0.7%
7,Miami Heat,45.2,36.8,.552,-0.65,-0.01,0.71,41-33,4-4,49-33,41-41,84.2%,16.2%,NA,NA,0.8,2.8,9.4,19,31.5,20.7,NA,32.0,46.5,21.5,NA,NA,,NA,0.8%,0.2%
8,Philadelphia 76ers,44.3,37.7,.541,-0.31,-2.10,1.88,40-35,4-3,47-35,40-42,81.1%,,NA,NA,NA,NA,0.5,4.8,48.7,27.1,NA,5.4,22.9,71.6,0.1,NA,,NA,1.5%,0.4%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Atlanta Hawks,38.2,43.8,.466,-0.19,-0.30,-1.38,35-40,3-4,42-40,35-47,21.8%,,NA,NA,NA,NA,NA,NA,NA,21.8,NA,,NA,NA,28.9,71.1,,NA,0.1%,
10,Chicago Bulls,38.7,43.3,.472,-0.25,-0.58,-1.87,36-40,3-3,42-40,36-46,19.6%,,NA,NA,NA,NA,NA,NA,NA,19.6,NA,,NA,0.1,70.9,28.9,,NA,,
11,Brooklyn Nets,31.8,50.2,.387,-0.04,-0.70,-2.67,29-47,3-3,35-47,29-53,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
12,Toronto Raptors,25.6,56.4,.312,-0.04,0.24,-5.70,23-51,3-5,31-51,23-59,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
13,Charlotte Hornets,19.4,62.6,.237,0.00,2.21,-10.60,18-57,1-6,24-58,18-64,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Washington Wizards,15.8,66.2,.192,0.00,0.84,-9.68,14-61,2-5,20-62,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,15.0,67.0,.183,0.26,-2.07,-8.55,13-62,2-5,19-63,13-69,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Oklahoma City Thunder,57.3,24.7,.699,-0.15,0.69,7.23,52-22,5-3,60-22,52-30,100.0%,51.4%,51.4,28.4,20,0.3,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,33.8%,13.2%
2,Minnesota Timberwolves,56.5,25.5,.690,-0.03,-0.60,6.59,51-23,6-2,59-23,52-30,100.0%,30.9%,30.9,36.4,31.7,1.1,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,26.6%,9.5%
3,Denver Nuggets,56.8,25.2,.692,0.16,-2.08,4.92,52-23,5-2,59-23,52-30,100.0%,17.7%,17.7,35.1,46.7,0.5,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,13.9%,4.4%
