Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,57.8,24.2,.705,-0.16,2.00,3.72,55-22,3-2,60-22,55-27,100.0%,100.0%,14.0%,8.4%,58,1,0.084,mil
2,Boston Celtics,56.4,25.6,.687,-0.23,1.27,6.26,53-24,3-2,58-24,53-29,100.0%,98.7%,34.7%,25.5%,56,1,0.255,bos
3,Philadelphia 76ers,53.4,28.6,.652,-0.10,1.93,4.53,50-26,3-3,56-26,50-32,100.0%,1.3%,17.4%,10.5%,53,1,0.105,phi
4,Cleveland Cavaliers,51.6,30.4,.629,-0.04,-2.01,5.52,48-29,4-1,53-29,48-34,100.0%,,23.2%,16.0%,52,1,0.16,cle
5,New York Knicks,46.9,35.1,.571,0.06,0.15,2.93,44-33,3-2,49-33,44-38,100.0%,,5.9%,2.8%,47,1,0.027999999999999997,ny
6,Brooklyn Nets,44.6,37.4,.543,0.27,-1.00,0.99,41-35,4-2,47-35,41-41,95.7%,,1.8%,0.7%,45,0.9570000000000001,0.006999999999999999,bkn
7,Miami Heat,42.5,39.5,.518,0.30,-1.04,-0.75,40-37,3-2,45-37,40-42,72.7%,92.7%,0.5%,0.1%,42,0.727,0.001,mia
8,Atlanta Hawks,40.7,41.3,.496,-0.12,2.09,0.07,38-38,3-3,44-38,38-44,47.9%,7.3%,0.6%,0.2%,41,0.479,0.002,atl
9,Toronto Raptors,40.8,41.2,.497,0.02,1.63,1.27,38-38,3-3,44-38,38-44,50.1%,,1.3%,0.6%,41,0.501,0.006,tor
10,Chicago Bulls,39.3,42.7,.479,0.18,-0.81,0.98,36-40,3-3,42-40,36-46,32.0%,,0.7%,0.3%,39,0.32,0.003,chi
11,Washington Wizards,37.1,44.9,.453,0.19,-0.74,-0.52,34-42,3-3,40-42,34-48,1.6%,,,0,37,0.016,0,wsh
12,Indiana Pacers,35.0,47.0,.427,0.24,1.01,-2.93,33-44,2-3,38-44,33-49,0.1%,,,0,35,0.001,0,ind
13,Orlando Magic,34.5,47.5,.421,0.15,0.59,-2.29,32-44,3-3,38-44,32-50,0,,,0,34,0,0,orl
14,Charlotte Hornets,27.9,54.1,.340,0.35,0.19,-5.50,26-51,2-3,31-51,26-56,0,,,0,28,0,0,cha
15,Detroit Pistons,18.0,64.0,.220,0.67,-2.02,-7.21,16-60,2-4,22-60,16-66,0,,,0,18,0,0,det
1,Denver Nuggets,54.6,27.4,.666,-0.31,-0.30,3.55,51-25,4-2,57-25,51-31,100.0%,100.0%,26.2%,11.0%,55,1,0.11,den
2,Memphis Grizzlies,51.4,30.6,.627,-0.45,0.75,3.74,48-28,3-3,54-28,48-34,100.0%,100.0%,25.0%,10.1%,51,1,0.10099999999999999,mem
3,Sacramento Kings,49.5,32.5,.604,-0.32,-1.20,2.62,46-30,4-2,52-30,46-36,100.0%,99.9%,15.7%,5.1%,50,1,0.051,sac
4,Phoenix Suns,44.5,37.5,.542,0.03,-0.36,1.96,41-35,3-3,47-35,41-41,99.4%,0.1%,13.2%,4.2%,44,0.9940000000000001,0.042,phx
5,LA Clippers,43.4,38.6,.529,-0.28,0.84,0.24,41-36,2-3,46-36,41-41,91.0%,,3.9%,0.9%,43,0.91,0.009000000000000001,lac
6,Golden State Warriors,42.7,39.3,.521,-0.04,-1.23,0.56,40-37,3-2,45-37,40-42,82.4%,,4.2%,1.0%,43,0.8240000000000001,0.01,gs
7,New Orleans Pelicans,41.6,40.4,.507,-0.41,1.85,1.60,39-38,3-2,44-38,39-43,63.6%,,5.5%,1.5%,42,0.636,0.015,no
8,Minnesota Timberwolves,41.8,40.2,.510,-0.06,-2.16,-0.30,39-38,3-2,44-38,39-43,72.5%,,2.2%,0.5%,42,0.725,0.005,min
9,Los Angeles Lakers,41.1,40.9,.501,-0.03,-1.30,-0.16,38-38,3-3,44-38,38-44,44.7%,,1.4%,0.2%,41,0.447,0.002,lal
10,Oklahoma City Thunder,40.5,41.5,.494,-0.17,0.50,0.91,38-39,3-2,43-39,38-44,28.4%,,1.6%,0.4%,40,0.284,0.004,okc
11,Dallas Mavericks,39.8,42.2,.485,-0.16,-1.47,0.30,37-40,3-2,42-40,37-45,14.9%,,0.9%,0.1%,40,0.149,0.001,dal
12,Utah Jazz,38.5,43.5,.470,-0.24,1.90,-0.81,36-40,3-3,42-40,36-46,3.2%,,0.1%,0,38,0.032,0,uta
13,Portland Trail Blazers,34.5,47.5,.421,0.04,-0.57,-2.96,32-44,2-4,38-44,32-50,0,,,0,34,0,0,por
14,San Antonio Spurs,20.2,61.8,.247,0.23,0.36,-10.27,19-57,1-5,25-57,19-63,0,,,0,20,0,0,sa
15,Houston Rockets,19.7,62.3,.240,0.39,-1.97,-8.11,18-59,2-3,23-59,18-64,0,,,0,20,0,0,hou
