Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,58.3,23.7,.711,-0.17,1.08,4.50,53-20,5-4,62-20,53-29,100.0%,99.9%,18.2%,11.2%,58,1,0.11199999999999999,mil
2,Boston Celtics,56.3,25.7,.687,-0.12,0.01,5.74,51-23,5-3,59-23,51-31,100.0%,90.8%,28.3%,19.7%,56,1,0.19699999999999998,bos
3,Philadelphia 76ers,54.2,27.8,.661,-0.18,1.88,4.87,49-24,5-4,58-24,49-33,100.0%,9.2%,18.6%,11.7%,54,1,0.11699999999999999,phi
4,Cleveland Cavaliers,52.1,29.9,.635,0.09,-2.65,5.60,47-28,5-2,54-28,48-34,100.0%,0.1%,24.5%,16.8%,52,1,0.168,cle
5,New York Knicks,46.3,35.7,.564,0.19,-1.03,2.72,42-33,4-3,49-33,42-40,98.9%,,5.3%,2.7%,46,0.9890000000000001,0.027000000000000003,ny
6,Miami Heat,43.9,38.1,.535,0.23,-0.11,-0.16,40-34,4-4,48-34,40-42,86.6%,98.6%,0.8%,0.3%,44,0.866,0.003,mia
7,Brooklyn Nets,44.4,37.6,.541,0.45,-1.85,0.85,39-34,5-4,48-34,40-42,87.9%,,1.7%,0.7%,44,0.879,0.006999999999999999,bkn
8,Atlanta Hawks,40.1,41.9,.489,-0.18,2.14,-0.14,36-37,4-5,45-37,36-46,39.7%,1.4%,0.5%,0.2%,40,0.397,0.002,atl
9,Chicago Bulls,39.9,42.1,.487,0.20,-0.54,1.21,35-38,5-4,44-38,35-47,42.4%,,1.2%,0.5%,40,0.424,0.005,chi
10,Toronto Raptors,39.9,42.1,.487,0.07,1.06,1.03,36-38,4-4,44-38,36-46,39.9%,,0.8%,0.4%,40,0.39899999999999997,0.004,tor
11,Washington Wizards,36.8,45.2,.449,0.13,0.41,-0.72,33-41,4-4,41-41,33-49,2.4%,,,0,37,0.024,0,wsh
12,Indiana Pacers,36.3,45.7,.443,0.20,1.17,-2.43,33-41,3-5,41-41,33-49,2.2%,,,0,36,0.022000000000000002,0,ind
13,Orlando Magic,34.2,47.8,.417,0.10,1.07,-2.51,31-43,3-5,39-43,31-51,0.1%,,,0,34,0.001,0,orl
14,Charlotte Hornets,26.5,55.5,.323,0.35,0.33,-5.77,24-51,2-5,31-51,24-58,0,,,0,26,0,0,cha
15,Detroit Pistons,18.4,63.6,.224,0.61,-0.67,-7.35,16-58,2-6,23-59,16-66,0,,,0,18,0,0,det
1,Denver Nuggets,54.3,27.7,.662,-0.43,0.81,3.46,49-24,5-4,58-24,49-33,100.0%,100.0%,27.1%,11.0%,54,1,0.11,den
2,Memphis Grizzlies,51.3,30.7,.626,-0.47,0.37,3.90,46-27,5-4,55-27,46-36,100.0%,100.0%,27.6%,12.2%,51,1,0.122,mem
3,Sacramento Kings,49.3,32.7,.601,-0.25,-1.11,2.20,44-29,5-4,53-29,44-38,100.0%,99.8%,14.2%,4.7%,49,1,0.047,sac
4,Phoenix Suns,42.9,39.1,.524,-0.02,0.22,1.44,38-35,5-4,47-35,38-44,91.8%,0.2%,9.6%,2.8%,43,0.9179999999999999,0.027999999999999997,phx
5,LA Clippers,42.7,39.3,.521,-0.36,1.23,0.18,39-35,4-4,47-35,39-43,84.6%,,4.2%,1.1%,43,0.846,0.011000000000000001,lac
6,Golden State Warriors,42.7,39.3,.521,-0.06,-0.67,0.45,39-36,4-3,46-36,39-43,87.6%,,5.4%,1.4%,43,0.8759999999999999,0.013999999999999999,gs
7,Minnesota Timberwolves,41.0,41.0,.500,-0.10,-0.80,-0.35,37-37,4-4,45-37,37-45,57.8%,,2.3%,0.5%,41,0.578,0.005,min
8,New Orleans Pelicans,40.4,41.6,.493,-0.40,1.18,0.86,36-37,4-5,45-37,36-46,39.6%,,2.6%,0.7%,40,0.396,0.006999999999999999,no
9,Los Angeles Lakers,41.0,41.0,.500,-0.06,-0.68,-0.21,37-37,4-4,45-37,37-45,47.6%,,1.8%,0.3%,41,0.47600000000000003,0.003,lal
10,Oklahoma City Thunder,40.6,41.4,.495,0.02,-1.55,1.09,36-38,5-3,44-38,36-46,40.3%,,3.0%,0.9%,41,0.40299999999999997,0.009000000000000001,okc
11,Dallas Mavericks,40.2,41.8,.491,-0.11,-1.26,0.24,36-38,4-4,44-38,36-46,34.7%,,1.8%,0.3%,40,0.34700000000000003,0.003,dal
12,Utah Jazz,39.2,42.8,.478,-0.15,0.50,-0.59,35-38,4-5,44-38,35-47,15.9%,,0.4%,0.1%,39,0.159,0.001,uta
13,Portland Trail Blazers,36.0,46.0,.439,-0.05,0.07,-2.08,32-41,4-5,41-41,32-50,0.2%,,,0,36,0.002,0,por
14,San Antonio Spurs,20.6,61.4,.252,0.16,0.88,-9.88,19-55,2-6,26-56,19-63,0,,,0,21,0,0,sa
15,Houston Rockets,20.3,61.7,.247,0.28,-0.18,-7.91,18-56,2-6,26-56,18-64,0,,,0,20,0,0,hou
