Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,63.1,18.9,.769,0.66,-1.85,10.05,37-11,26-8,70-12,53-29,100.0%,99.8%,59.8%,42.0%,63,1,0.42,bos,Celtics
2,New York Knicks,52.5,29.5,.641,-0.51,0.41,5.58,31-17,22-12,62-20,40-42,99.9%,0.1%,13.5%,6.2%,52,0.9990000000000001,0.062,ny,Knicks
3,Cleveland Cavaliers,51.9,30.1,.633,-0.15,-0.83,4.21,29-16,23-14,62-20,41-41,99.8%,60.7%,7.5%,2.9%,52,0.998,0.028999999999999998,cle,Cavaliers
4,Milwaukee Bucks,51.0,31.0,.622,-0.76,0.71,3.18,32-16,19-15,61-21,41-41,99.7%,36.5%,4.4%,1.4%,51,0.997,0.013999999999999999,mil,Bucks
5,Philadelphia 76ers,51.8,30.2,.632,-0.91,-0.07,5.42,29-17,23-13,62-20,41-41,99.9%,,11.4%,4.9%,52,0.9990000000000001,0.049,phi,76ers
6,Indiana Pacers,45.9,36.1,.559,-0.03,-0.33,1.87,27-21,19-15,56-26,34-48,92.9%,2.8%,1.9%,0.6%,46,0.929,0.006,ind,Pacers
7,Orlando Magic,44.3,37.7,.541,0.27,-1.50,0.98,25-23,19-15,53-29,34-48,87.2%,76.9%,1.3%,0.3%,44,0.872,0.003,orl,Magic
8,Miami Heat,40.9,41.1,.499,-0.48,-0.28,-1.61,25-23,16-18,52-30,31-51,63.3%,22.7%,0.2%,0,41,0.633,0,mia,Heat
9,Chicago Bulls,37.1,44.9,.452,-0.78,0.54,-2.20,23-26,14-19,46-36,28-54,22.9%,,0.1%,0,37,0.22899999999999998,0,chi,Bulls
10,Brooklyn Nets,35.5,46.5,.433,-0.05,-0.07,-1.20,19-28,16-19,47-35,25-57,18.3%,,,0,36,0.183,0,bkn,Nets
11,Atlanta Hawks,35.0,47.0,.427,-0.15,0.07,-2.83,20-27,15-20,46-36,26-56,11.1%,0.4%,,0,35,0.111,0,atl,Hawks
12,Toronto Raptors,33.0,49.0,.403,0.07,-0.37,-2.03,17-30,16-19,44-38,23-59,5.0%,,,0,33,0.05,0,tor,Raptors
13,Washington Wizards,18.1,63.9,.221,-0.37,0.79,-9.34,9-38,9-26,29-53,10-72,0,,,0,18,0,0,wsh,Wizards
14,Charlotte Hornets,17.6,64.4,.215,0.01,0.67,-11.67,10-36,8-28,27-55,10-72,0,,,0,18,0,0,cha,Hornets
15,Detroit Pistons,15.1,66.9,.184,0.16,0.23,-9.48,6-41,9-26,24-58,6-76,0,,,0,15,0,0,det,Pistons
1,Oklahoma City Thunder,57.1,24.9,.696,0.14,-0.82,7.93,33-15,24-10,65-17,47-35,100.0%,50.6%,37.5%,19.0%,57,1,0.19,okc,Thunder
2,Minnesota Timberwolves,56.7,25.3,.691,0.08,-0.45,6.16,34-14,23-11,66-16,46-36,100.0%,40.0%,21.8%,8.7%,57,1,0.087,min,T-Wolves
3,LA Clippers,54.7,27.3,.667,-0.04,-0.19,6.31,31-15,24-12,64-18,42-40,100.0%,98.8%,20.7%,8.3%,55,1,0.083,lac,Clippers
4,Denver Nuggets,54.3,27.7,.663,0.63,-1.08,4.57,33-16,21-12,64-18,43-39,100.0%,9.4%,11.0%,3.5%,54,1,0.035,den,Nuggets
5,New Orleans Pelicans,47.8,34.2,.583,0.30,-0.55,3.94,27-21,21-13,57-25,37-45,96.2%,87.2%,5.5%,1.6%,48,0.9620000000000001,0.016,no,Pelicans
6,Sacramento Kings,45.0,37.0,.549,0.09,0.87,0.78,27-19,18-18,55-27,34-48,80.0%,0.6%,0.9%,0.1%,45,0.8,0.001,sac,Kings
7,Phoenix Suns,45.0,37.0,.549,-1.08,1.35,1.38,28-20,17-17,55-27,34-48,79.5%,0.6%,1.5%,0.3%,45,0.795,0.003,phx,Suns
8,Dallas Mavericks,42.7,39.4,.520,0.12,0.04,-0.25,26-22,17-17,54-28,33-49,53.8%,9.7%,0.3%,0.1%,43,0.5379999999999999,0.001,dal,Mavericks
9,Houston Rockets,40.6,41.4,.495,0.19,-0.29,1.14,22-25,19-16,50-32,30-52,34.4%,3.1%,0.5%,0.1%,41,0.344,0.001,hou,Rockets
10,Golden State Warriors,40.5,41.5,.494,1.05,-1.03,0.87,20-24,21-17,51-31,29-53,32.1%,,0.4%,0.1%,40,0.321,0.001,gs,Warriors
11,Los Angeles Lakers,39.2,42.8,.479,0.37,0.57,-1.04,24-25,15-18,49-33,30-52,16.8%,,,0,39,0.168,0,lal,Lakers
12,Utah Jazz,38.1,43.9,.464,0.10,1.04,-2.22,24-25,14-19,48-34,28-54,7.2%,,,0,38,0.07200000000000001,0,uta,Jazz
13,Memphis Grizzlies,32.0,50.0,.390,0.50,-0.17,-4.61,18-29,14-21,42-40,23-59,0.1%,,,0,32,0.001,0,mem,Grizzlies
14,Portland Trail Blazers,24.7,57.3,.302,0.35,1.07,-7.82,15-33,10-24,36-46,15-67,0,,,0,25,0,0,por,Blazers
15,San Antonio Spurs,18.9,63.1,.231,0.25,1.18,-8.27,10-38,9-25,29-53,10-72,0,,,0,19,0,0,sa,Spurs
