Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,54.6,27.4,.666,-0.17,-0.20,5.68,27-12,28-15,66-16,41-41,100.0%,71.5%,33.2%,21.7%,55,1,0.217,bos
2,Brooklyn Nets,52.0,30.0,.634,-0.03,-0.03,4.02,26-13,26-17,63-19,40-42,99.8%,24.6%,17.3%,9.2%,52,0.998,0.092,bkn
3,Cleveland Cavaliers,50.9,31.1,.620,-0.11,-0.29,4.60,25-15,26-16,62-20,40-42,99.7%,76.2%,21.2%,12.1%,51,0.997,0.121,cle
4,Philadelphia 76ers,47.8,34.2,.583,-0.29,0.32,3.10,23-15,25-19,61-21,36-46,97.0%,3.6%,11.0%,5.2%,48,0.97,0.052000000000000005,phi
5,Milwaukee Bucks,47.3,34.7,.576,-0.15,0.23,1.06,25-14,22-21,58-24,35-47,94.5%,21.4%,4.4%,1.7%,47,0.945,0.017,mil
6,New York Knicks,45.3,36.7,.552,-0.33,0.44,2.54,22-18,23-19,57-25,34-48,89.0%,0.4%,7.2%,3.4%,45,0.89,0.034,ny
7,Indiana Pacers,43.0,39.0,.524,0.16,0.03,0.09,22-18,21-21,54-28,31-51,68.1%,2.1%,2.0%,0.6%,43,0.6809999999999999,0.006,ind
8,Miami Heat,40.9,41.1,.498,-0.37,0.55,-0.59,21-19,20-22,52-30,30-52,48.8%,63.1%,1.0%,0.3%,41,0.488,0.003,mia
9,Chicago Bulls,40.6,41.4,.495,0.88,-0.62,0.24,18-21,23-20,51-31,29-53,44.5%,0.3%,1.5%,0.6%,41,0.445,0.006,chi
10,Washington Wizards,38.4,43.6,.468,0.61,-0.47,-0.39,17-23,21-21,52-30,26-56,23.3%,22.2%,0.4%,0.1%,38,0.233,0.001,wsh
11,Atlanta Hawks,37.4,44.6,.456,-0.32,0.35,-1.60,18-21,19-24,50-32,26-56,14.3%,14.7%,0.1%,0,37,0.14300000000000002,0,atl
12,Toronto Raptors,38.2,43.8,.465,0.64,-0.41,0.33,16-23,22-21,49-33,27-55,20.8%,,0.6%,0.2%,38,0.20800000000000002,0.002,tor
13,Orlando Magic,30.3,51.7,.370,-0.13,0.47,-4.03,14-25,16-27,41-41,19-63,0.1%,0.1%,,0,30,0.001,0,orl
14,Charlotte Hornets,25.8,56.2,.315,0.46,0.12,-5.79,11-29,15-27,39-43,15-67,0,,,0,26,0,0,cha
15,Detroit Pistons,24.6,57.4,.300,0.63,0.02,-6.56,11-31,14-26,36-46,15-67,0,,,0,25,0,0,det
1,Memphis Grizzlies,52.9,29.1,.645,0.01,-0.50,4.96,25-13,28-16,65-17,41-41,100.0%,73.4%,31.7%,17.1%,53,1,0.171,mem
2,Denver Nuggets,50.2,31.8,.613,-0.36,0.11,2.56,26-13,24-19,61-21,37-45,99.7%,95.4%,13.4%,5.1%,50,0.997,0.051,den
3,New Orleans Pelicans,50.1,31.9,.611,-0.13,-0.32,4.23,24-15,26-17,63-19,38-44,99.6%,24.1%,23.9%,12.1%,50,0.996,0.121,no
4,Dallas Mavericks,45.4,36.6,.553,0.10,-0.29,1.62,22-17,23-20,58-24,33-49,91.5%,2.5%,7.6%,2.8%,45,0.915,0.027999999999999997,dal
5,Sacramento Kings,44.2,37.8,.539,0.01,-0.35,1.18,20-17,24-21,56-26,33-49,82.7%,43.9%,6.1%,2.0%,44,0.8270000000000001,0.02,sac
6,Phoenix Suns,43.5,38.5,.531,0.14,-0.08,2.27,20-20,24-18,54-28,32-50,81.5%,41.2%,8.6%,3.3%,44,0.815,0.033,phx
7,Portland Trail Blazers,41.4,40.6,.505,-0.30,0.21,0.18,19-19,22-22,54-28,30-52,54.9%,2.0%,2.0%,0.7%,41,0.5489999999999999,0.006999999999999999,por
8,Utah Jazz,41.6,40.4,.508,-0.11,-0.02,0.89,20-21,22-19,52-30,30-52,58.8%,2.0%,3.4%,0.9%,42,0.588,0.009000000000000001,uta
9,Golden State Warriors,40.6,41.4,.495,-0.11,0.17,-0.54,20-19,21-22,52-30,30-52,45.7%,10.1%,1.5%,0.5%,41,0.457,0.005,gs
10,LA Clippers,39.2,42.8,.479,-0.69,0.60,-1.72,21-20,18-23,51-31,29-53,27.0%,3.6%,0.4%,0.1%,39,0.27,0.001,lac
11,Minnesota Timberwolves,38.8,43.2,.473,-0.28,0.23,-0.83,19-21,20-22,51-31,28-54,25.1%,0.4%,0.7%,0.2%,39,0.251,0.002,min
12,Oklahoma City Thunder,38.1,43.9,.464,0.20,-0.04,-0.31,17-22,21-22,50-32,25-57,21.2%,0.3%,0.8%,0.2%,38,0.212,0.002,okc
13,Los Angeles Lakers,37.5,44.5,.457,-0.47,0.56,-1.42,18-21,19-24,50-32,26-56,12.5%,1.3%,0.2%,0.1%,38,0.125,0.001,lal
14,San Antonio Spurs,24.8,57.2,.303,0.15,0.51,-8.52,13-26,12-31,36-46,15-67,0,,,0,25,0,0,sa
15,Houston Rockets,24.4,57.6,.297,0.33,0.21,-6.45,10-29,14-29,37-45,13-69,0,,,0,24,0,0,hou
