Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,59.4,21.6,.733,1.70,-0.62,11.07,15-4,44-18,72-9,46-35,100.0%,83.3%,82.2,15.2,2,0.4,0.1,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,48.5%,34.6%
2,Philadelphia 76ers,55.0,27.0,.670,1.85,-0.85,8.85,12-7,43-20,68-14,41-41,99.9%,15.8%,15.4,58.3,16.2,5.9,2.6,1,0.4,0.2,NA,99.3,0.4,0.2,NA,NA,,NA,28.2%,17.1%
3,Orlando Magic,49.0,33.0,.598,-0.95,0.07,3.35,14-6,35-27,63-19,37-45,94.7%,80.2%,1.2,10.3,23.8,22.1,16.2,11.1,6.2,3.8,NA,84.7,6.6,4.4,2.5,1.4,0.4,NA,4.5%,1.9%
4,New York Knicks,48.5,32.5,.599,-0.57,0.43,4.85,12-7,36-26,63-18,35-46,94.8%,0.8%,0.8,8.3,23.8,22.2,16.8,12,6.8,4.2,NA,83.8,7.2,4.5,2.6,1.4,0.6,NA,7.5%,3.2%
5,Milwaukee Bucks,47.1,33.9,.582,-0.61,0.36,2.39,14-6,33-28,61-20,33-48,88.9%,65.8%,0.4,4.9,17.8,17.9,18.1,13.7,9.1,7,NA,72.8,10.7,7.4,4.8,3.1,1.2,NA,3.1%,1.1%
6,Brooklyn Nets,45.6,36.4,.556,0.71,0.01,3.40,10-9,36-27,62-20,31-51,78.4%,0.1%,0.1,1.4,6.7,11.8,15.2,17.1,14.5,11.7,NA,52.2,14.8,12.4,10,6.9,3.8,NA,3.8%,1.4%
7,Indiana Pacers,43.3,37.7,.534,-0.92,0.43,1.91,10-8,33-30,57-24,29-52,63.1%,21.2%,NA,0.6,3.7,6.7,9.6,13,14.6,15,NA,33.6,14.8,15.2,14.5,12.7,9.3,NA,1.4%,0.4%
8,Miami Heat,43.0,39.0,.524,-0.42,0.09,0.69,11-9,32-30,57-25,30-52,54.4%,11.3%,NA,0.5,2.3,4.6,7,10.3,14.4,15.4,NA,24.6,14.3,16.2,16.4,15.7,12.8,NA,1.0%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Cleveland Cavaliers,42.7,39.3,.521,0.84,-0.11,0.49,11-9,32-30,57-25,28-54,52.5%,13.0%,NA,0.3,1.8,4.4,6.9,10.2,13.7,15.3,NA,23.5,13.3,15.7,17.1,16.2,14.2,NA,0.8%,0.2%
10,Atlanta Hawks,42.2,39.8,.515,0.91,0.06,1.28,9-10,33-30,56-26,28-54,48.7%,8.5%,NA,0.3,1.5,3.3,5.8,8.4,13.7,15.8,NA,19.2,12.3,14.7,17.2,19.1,17.5,NA,1.0%,0.3%
11,Toronto Raptors,39.7,42.3,.484,1.09,0.03,-0.21,9-11,31-31,53-29,26-56,23.7%,,NA,NA,0.4,0.8,1.8,3.3,6.5,11,NA,6.2,5.6,9,13.9,20.7,44.6,NA,0.2%,0.1%
12,Chicago Bulls,32.5,49.5,.397,1.31,-0.30,-4.12,7-14,26-35,47-35,18-64,0.9%,,NA,NA,NA,NA,NA,NA,0.2,0.7,NA,,0.1,0.3,1.1,2.5,95.9,NA,,
13,Charlotte Hornets,28.3,53.7,.345,0.99,0.40,-7.34,6-12,22-42,42-40,16-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0.3,99.7,NA,,
14,Washington Wizards,24.0,58.0,.292,0.28,0.67,-8.03,3-16,21-42,39-43,12-70,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,21.5,60.5,.262,0.17,0.56,-8.78,2-18,20-42,37-45,10-72,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Minnesota Timberwolves,56.1,25.9,.685,0.20,-0.88,7.15,15-4,41-22,70-12,41-41,100.0%,60.4%,59.9,30.1,7.5,1.7,0.5,0.2,NA,NA,NA,99.9,NA,NA,NA,NA,,NA,32.3%,14.3%
2,Oklahoma City Thunder,54.7,27.3,.667,-0.42,-0.59,7.95,13-6,42-21,68-14,39-43,100.0%,34.5%,34.1,45.5,14.9,3.6,1.3,0.4,0.1,0.1,NA,99.8,0.1,0.1,0.1,NA,,NA,37.2%,17.7%
3,Denver Nuggets,49.9,32.1,.609,-0.34,-0.42,3.75,14-7,36-25,66-16,33-49,98.2%,5.2%,5.1,17.5,40.4,17.6,8.9,5,2.5,1.4,NA,94.3,2.7,1.6,0.9,0.4,0.2,NA,11.2%,3.5%
4,Houston Rockets,44.1,37.9,.537,-0.50,-0.45,2.32,8-9,36-29,58-24,27-55,73.1%,45.3%,0.2,1.6,8.1,13.1,15.1,12.4,11.5,11.1,NA,50.5,11.7,10.4,10.6,8.9,8.0,NA,4.2%,1.0%
5,Golden State Warriors,43.9,38.1,.535,1.66,-1.00,2.01,9-11,35-27,58-24,29-53,73.3%,27.8%,0.2,1.5,6.8,13.1,12.9,13.9,13.1,11.9,NA,48.3,12.8,12.1,10.7,8.8,7.3,NA,4.4%,1.1%
6,Phoenix Suns,43.0,38.0,.531,-2.31,0.22,0.59,12-8,31-30,58-23,29-52,67.5%,23.3%,0.1,0.8,5.3,11.5,12.3,13.2,12.6,11.7,NA,43.2,13.4,12.7,11.7,9.9,9.1,NA,2.1%,0.4%
7,Sacramento Kings,42.7,38.3,.527,0.24,0.05,0.02,11-7,32-31,57-24,28-53,64.7%,22.3%,0.1,0.8,4.7,10.8,11.7,12.6,12.4,11.7,NA,40.7,12.8,12.5,12.5,11.6,10.0,NA,1.7%,0.2%
