Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.4,19.6,.761,0.45,-1.79,10.09,38-12,24-8,70-12,54-28,100.0%,99.8%,62.0%,44.1%,62,1,0.441,bos,Celtics
2,Cleveland Cavaliers,52.5,29.5,.640,-0.42,-0.55,4.24,31-16,21-14,62-20,42-40,99.9%,70.1%,8.5%,2.9%,52,0.9990000000000001,0.028999999999999998,cle,Cavaliers
3,New York Knicks,52.1,29.9,.635,-0.48,0.39,5.28,32-18,20-12,63-19,42-40,99.9%,0.1%,12.4%,5.4%,52,0.9990000000000001,0.054000000000000006,ny,Knicks
4,Philadelphia 76ers,51.1,30.9,.624,-0.91,-0.01,4.90,30-18,21-13,61-21,41-41,99.8%,,10.0%,3.9%,51,0.998,0.039,phi,76ers
5,Milwaukee Bucks,50.7,31.3,.618,-0.80,0.82,2.92,33-17,18-14,59-23,42-40,99.5%,28.7%,4.1%,1.2%,51,0.995,0.012,mil,Bucks
6,Orlando Magic,45.5,36.5,.555,0.20,-1.55,1.16,27-23,19-13,55-27,36-46,92.3%,85.4%,1.3%,0.3%,46,0.9229999999999999,0.003,orl,Magic
7,Indiana Pacers,44.9,37.1,.548,-0.18,-0.14,1.62,28-23,17-14,56-26,35-47,88.5%,1.2%,1.5%,0.3%,45,0.885,0.003,ind,Pacers
8,Miami Heat,41.0,41.0,.500,-0.51,-0.28,-1.59,26-24,15-17,52-30,32-50,60.5%,14.1%,0.2%,0,41,0.605,0,mia,Heat
9,Brooklyn Nets,36.6,45.4,.447,0.06,-0.33,-0.75,20-28,17-17,47-35,26-56,23.6%,,0.1%,0,37,0.23600000000000002,0,bkn,Nets
10,Atlanta Hawks,36.5,45.5,.445,-0.16,0.01,-2.41,22-27,14-19,48-34,27-55,16.8%,0.5%,,0,36,0.168,0,atl,Hawks
11,Chicago Bulls,36.6,45.4,.446,-0.77,0.52,-2.33,23-27,14-18,46-36,26-56,17.7%,,,0,37,0.177,0,chi,Bulls
12,Toronto Raptors,32.0,50.0,.391,0.23,-0.63,-2.55,17-32,15-18,41-41,21-61,1.6%,,,0,32,0.016,0,tor,Raptors
13,Charlotte Hornets,17.2,64.8,.209,0.18,0.40,-11.76,10-38,7-27,27-55,10-72,0,,,0,17,0,0,cha,Hornets
14,Washington Wizards,17.2,64.8,.210,-0.37,0.86,-9.71,9-40,8-25,26-56,9-73,0,,,0,17,0,0,wsh,Wizards
15,Detroit Pistons,14.6,67.4,.178,0.27,-0.01,-9.44,6-43,9-24,25-57,7-75,0,,,0,15,0,0,det,Pistons
1,Oklahoma City Thunder,57.4,24.6,.700,-0.06,-0.48,7.99,35-15,22-10,66-16,48-34,100.0%,56.0%,37.6%,18.9%,57,1,0.18899999999999997,okc,Thunder
2,Minnesota Timberwolves,56.4,25.6,.688,0.11,-0.49,6.33,35-15,21-11,64-18,46-36,100.0%,34.2%,22.5%,9.3%,56,1,0.09300000000000001,min,T-Wolves
3,LA Clippers,55.2,26.8,.673,-0.24,0.17,6.24,33-15,22-12,65-17,46-36,100.0%,99.0%,20.1%,8.1%,55,1,0.081,lac,Clippers
4,Denver Nuggets,54.6,27.4,.665,0.30,-0.57,4.49,35-16,20-11,64-18,44-38,100.0%,9.8%,10.4%,3.5%,55,1,0.035,den,Nuggets
5,New Orleans Pelicans,47.9,34.1,.584,0.18,-0.31,3.78,28-21,20-13,58-24,36-46,95.8%,90.1%,5.4%,1.5%,48,0.958,0.015,no,Pelicans
6,Sacramento Kings,46.5,35.5,.567,0.10,0.92,1.16,29-19,17-17,57-25,37-45,87.6%,0.7%,1.3%,0.2%,46,0.8759999999999999,0.002,sac,Kings
7,Phoenix Suns,44.7,37.3,.546,-1.23,1.86,1.51,29-21,16-16,55-27,32-50,75.3%,0.3%,1.2%,0.3%,45,0.753,0.003,phx,Suns
8,Dallas Mavericks,42.0,40.0,.512,0.22,-0.02,-0.40,26-23,16-17,52-30,32-50,41.8%,6.6%,0.2%,0,42,0.418,0,dal,Mavericks
9,Houston Rockets,40.8,41.2,.498,0.28,-0.41,1.36,23-26,18-15,50-32,31-51,32.7%,3.4%,0.6%,0.1%,41,0.327,0.001,hou,Rockets
10,Los Angeles Lakers,41.3,40.7,.504,0.68,0.05,-0.34,26-25,15-16,50-32,31-51,31.9%,,0.2%,0,41,0.319,0,lal,Lakers
11,Golden State Warriors,40.5,41.5,.493,0.88,-0.85,0.99,21-25,19-17,52-30,29-53,27.1%,,0.4%,0,40,0.271,0,gs,Warriors
12,Utah Jazz,38.6,43.4,.471,0.22,0.93,-1.78,25-26,14-17,49-33,30-52,7.9%,,,0,39,0.079,0,uta,Jazz
13,Memphis Grizzlies,30.5,51.5,.372,0.83,-0.61,-5.31,18-32,13-19,40-42,22-60,0,,,0,30,0,0,mem,Grizzlies
14,Portland Trail Blazers,24.5,57.5,.299,0.56,0.83,-7.70,15-35,10-22,36-46,16-66,0,,,0,24,0,0,por,Blazers
15,San Antonio Spurs,18.4,63.6,.225,0.39,1.04,-8.13,10-40,8-24,29-53,11-71,0,,,0,18,0,0,sa,Spurs
