Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,54.6,27.4,.666,-0.18,-0.16,5.67,27-12,28-15,66-16,43-39,100.0%,74.2%,57,24.2,11.3,5.2,2,0.4,0.1,NA,NA,99.9,0.1,NA,NA,NA,,NA,31.0%,19.2%
2,Cleveland Cavaliers,51.8,30.2,.632,-0.15,-0.26,5.01,25-14,27-16,63-19,39-43,99.8%,71.7%,20.3,30.7,22,15,8.5,2.7,0.5,0.2,NA,99.1,0.6,0.2,NA,NA,,NA,23.4%,13.9%
3,Brooklyn Nets,51.2,30.8,.625,-0.12,0.10,3.88,25-13,26-18,63-19,39-43,99.6%,18.9%,14.1,21.5,27.4,19.6,12.4,3.5,0.8,0.3,NA,98.6,1,0.3,0.1,NA,,NA,15.1%,7.9%
4,Milwaukee Bucks,49.0,33.0,.598,0.04,0.05,2.04,25-13,24-20,60-22,37-45,98.3%,27.5%,4.5,13.3,17.1,23.9,25.1,10.4,2.6,1.5,NA,94.3,3.4,1.4,0.6,0.2,0.1,NA,6.8%,2.8%
5,Philadelphia 76ers,49.0,33.0,.597,-0.25,0.29,3.61,23-14,26-19,61-21,36-46,98.5%,6.5%,4,9.5,18.4,25.5,25.3,11.4,3.1,1.4,NA,94.1,3.7,1.5,0.5,0.2,0.1,NA,12.9%,6.8%
6,New York Knicks,44.8,37.2,.546,-0.33,0.48,2.52,21-18,24-19,55-27,31-51,86.9%,0.4%,0.2,0.7,2.7,7.3,15,34,17.4,9.7,NA,59.8,19.3,10.3,5.2,3.1,2.3,NA,6.2%,3.0%
7,Indiana Pacers,42.2,39.8,.515,0.16,0.12,-0.15,21-18,21-22,55-27,31-51,62.0%,0.7%,NA,0.1,0.7,2.1,5.4,14.6,21.6,17.5,NA,22.9,23.3,21.1,14.9,9.3,8.5,NA,1.3%,0.4%
8,Miami Heat,39.7,42.3,.484,-0.51,0.74,-0.95,20-19,20-23,52-30,28-54,36.4%,44.1%,NA,NA,0.1,0.5,2.1,6.7,12.8,14.1,NA,9.5,13.1,15.3,15.3,15.4,31.4,NA,0.5%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Washington Wizards,39.3,42.7,.479,0.57,-0.42,-0.02,17-22,22-21,52-30,28-54,32.1%,32.0%,NA,NA,0.1,0.4,1.4,5.1,10.7,14.5,NA,6.9,10.3,12.9,15.2,17.7,37.0,NA,0.9%,0.2%
