Rk,TEAM,W,L,W/L%,SOS,SRS,Current,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,Win 1st Rd,Win Semi,Win Conf,Win Finals
1,Boston Celtics,64.0,18.0,.780,-0.60,10.75,64-18,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,94.5%,87.3%,77.9%,60.9%
2,New York Knicks,50.0,32.0,.610,-0.23,4.36,50-32,100.0%,,NA,100,NA,NA,NA,NA,NA,NA,66.1%,41.3%,8.5%,3.5%
3,Milwaukee Bucks,49.0,33.0,.598,-0.18,2.44,49-33,100.0%,100.0%,NA,NA,100,NA,NA,NA,NA,NA,49.5%,20.5%,2.8%,0.7%
4,Cleveland Cavaliers,48.0,34.0,.585,-0.44,1.98,48-34,100.0%,,NA,NA,NA,100,NA,NA,NA,NA,55.0%,5.9%,2.7%,0.6%
5,Orlando Magic,47.0,35.0,.573,-0.55,1.48,47-35,100.0%,100.0%,NA,NA,NA,NA,100,NA,NA,NA,45.0%,4.0%,1.6%,0.4%
6,Indiana Pacers,47.0,35.0,.573,-0.30,2.75,47-35,100.0%,,NA,NA,NA,NA,NA,100,NA,NA,50.5%,22.0%,3.2%,1.0%
7,Philadelphia 76ers,47.0,35.0,.573,-0.54,2.51,47-35,83.8%,,NA,NA,NA,NA,NA,NA,54.7,29.1,23.4%,12.1%,2.3%,0.7%
8,Miami Heat,46.0,36.0,.561,-0.66,1.10,46-36,77.9%,,NA,NA,NA,NA,NA,NA,45.3,32.6,15.3%,6.7%,1.0%,0.3%
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
9,Chicago Bulls,39.0,43.0,.476,-0.33,-1.77,39-43,20.2%,,NA,NA,NA,NA,NA,NA,NA,20.2,0.4%,0.1%,,
10,Atlanta Hawks,36.0,46.0,.439,-0.19,-2.38,36-46,18.1%,,NA,NA,NA,NA,NA,NA,NA,18.1,0.4%,0.1%,,
11,Brooklyn Nets,32.0,50.0,.390,-0.13,-3.02,32-50,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
12,Toronto Raptors,25.0,57.0,.305,-0.01,-6.45,25-57,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
13,Charlotte Hornets,21.0,61.0,.256,0.13,-10.12,21-61,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
14,Washington Wizards,15.0,67.0,.183,0.00,-9.29,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
15,Detroit Pistons,14.0,68.0,.171,0.05,-9.06,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
1,Oklahoma City Thunder,57.0,25.0,.695,-0.05,7.36,57-25,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,72.6%,56.1%,35.8%,14.2%
2,Denver Nuggets,57.0,25.0,.695,-0.03,5.23,57-25,100.0%,,NA,100,NA,NA,NA,NA,NA,NA,76.0%,37.5%,17.4%,5.2%
3,Minnesota Timberwolves,56.0,26.0,.683,-0.07,6.39,56-26,100.0%,,NA,NA,100,NA,NA,NA,NA,NA,71.7%,44.8%,24.0%,7.9%
4,Los Angeles Clippers,51.0,31.0,.622,0.13,3.41,51-31,100.0%,100.0%,NA,NA,NA,100,NA,NA,NA,NA,58.8%,18.0%,7.5%,1.7%
5,Dallas Mavericks,50.0,32.0,.610,0.09,2.30,50-32,100.0%,100.0%,NA,NA,NA,NA,100,NA,NA,NA,41.2%,10.6%,3.7%,0.7%
6,Phoenix Suns,49.0,33.0,.598,0.02,3.08,49-33,100.0%,,NA,NA,NA,NA,NA,100,NA,NA,28.3%,11.7%,3.9%,0.8%
7,Los Angeles Lakers,47.0,35.0,.573,0.48,1.07,47-35,100.0%,,NA,NA,NA,NA,NA,NA,100,NA,24.1%,6.0%,1.3%,0.1%
8,New Orleans Pelicans,49.0,33.0,.598,0.05,4.46,49-33,56.7%,,NA,NA,NA,NA,NA,NA,NA,56.7,18.5%,11.2%,5.2%,1.2%
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
9,Sacramento Kings,46.0,36.0,.561,0.55,2.29,46-36,43.4%,,NA,NA,NA,NA,NA,NA,NA,43.4,9.0%,4.2%,1.4%,0.2%
10,Golden State Warriors,46.0,36.0,.561,0.16,2.77,46-36,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11,Houston Rockets,41.0,41.0,.500,0.12,1.24,41-41,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
12,Utah Jazz,31.0,51.0,.378,0.68,-4.22,31-51,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
13,Memphis Grizzlies,27.0,55.0,.329,0.43,-6.57,27-55,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
14,San Antonio Spurs,22.0,60.0,.268,0.69,-5.80,22-60,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
15,Portland Trail Blazers,21.0,61.0,.256,0.74,-8.29,21-61,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
