Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.4,19.6,.761,0.09,-1.35,9.59,40-12,22-8,69-13,53-29,100.0%,100.0%,61.7%,43.8%,62,1,0.43799999999999994,bos,Celtics
2,Cleveland Cavaliers,54.6,27.4,.666,-0.65,-0.25,5.23,35-16,20-11,64-18,44-38,100.0%,91.1%,15.6%,7.0%,55,1,0.07,cle,Cavaliers
3,New York Knicks,50.5,31.5,.616,-0.51,0.48,4.59,33-20,17-12,60-22,40-42,99.8%,,9.8%,4.4%,50,0.998,0.044000000000000004,ny,Knicks
4,Milwaukee Bucks,49.9,32.1,.609,-0.72,0.85,2.87,34-19,16-13,60-22,40-42,99.3%,8.4%,4.2%,1.4%,50,0.993,0.013999999999999999,mil,Bucks
5,Philadelphia 76ers,48.3,33.7,.589,-0.98,0.40,3.64,31-21,17-13,58-24,38-44,98.3%,,5.4%,1.9%,48,0.983,0.019,phi,76ers
6,Indiana Pacers,45.3,36.7,.552,-0.08,-0.28,1.53,30-24,15-13,55-27,37-45,90.7%,0.5%,1.6%,0.4%,45,0.907,0.004,ind,Pacers
7,Orlando Magic,45.4,36.6,.554,0.07,-1.36,0.90,29-24,16-13,55-27,36-46,90.4%,77.6%,1.2%,0.3%,45,0.904,0.003,orl,Magic
8,Miami Heat,42.2,39.8,.514,-0.68,-0.01,-0.99,28-24,14-16,52-30,33-49,68.1%,21.6%,0.3%,0,42,0.6809999999999999,0,mia,Heat
9,Chicago Bulls,37.4,44.6,.457,-0.77,0.65,-2.09,25-28,12-17,48-34,28-54,20.0%,,,0,37,0.2,0,chi,Bulls
10,Atlanta Hawks,37.6,44.4,.459,0.21,-0.74,-1.83,24-29,14-15,47-35,29-53,21.3%,0.8%,0.1%,0,38,0.213,0,atl,Hawks
11,Brooklyn Nets,35.2,46.8,.429,0.10,-0.41,-1.15,21-31,14-16,44-38,24-58,11.6%,,,0,35,0.11599999999999999,0,bkn,Nets
12,Toronto Raptors,31.5,50.5,.384,0.18,-0.59,-3.39,19-34,12-17,43-39,22-60,0.7%,,,0,32,0.006999999999999999,0,tor,Raptors
13,Charlotte Hornets,17.0,65.0,.207,-0.01,0.73,-11.78,11-41,6-24,24-58,11-71,0,,,0,17,0,0,cha,Hornets
14,Washington Wizards,17.0,65.0,.207,-0.02,0.33,-9.18,9-43,8-22,26-56,10-72,0,,,0,17,0,0,wsh,Wizards
15,Detroit Pistons,16.2,65.8,.198,0.18,0.07,-8.73,8-44,8-22,25-57,9-73,0,,,0,16,0,0,det,Pistons
1,Minnesota Timberwolves,56.3,25.7,.686,0.12,-0.51,6.45,36-16,20-10,64-18,47-35,100.0%,53.0%,26.7%,11.8%,56,1,0.11800000000000001,min,T-Wolves
2,Oklahoma City Thunder,55.5,26.5,.677,0.05,-0.47,6.97,35-17,21-9,64-18,46-36,100.0%,35.8%,30.3%,14.3%,56,1,0.14300000000000002,okc,Thunder
3,LA Clippers,54.7,27.3,.667,-0.29,0.44,5.81,35-16,20-11,63-19,45-37,100.0%,98.8%,19.5%,8.0%,55,1,0.08,lac,Clippers
4,Denver Nuggets,53.9,28.1,.657,0.28,-0.52,3.92,36-17,18-11,62-20,44-38,100.0%,11.2%,9.2%,2.9%,54,1,0.028999999999999998,den,Nuggets
5,New Orleans Pelicans,48.9,33.1,.596,0.12,-0.22,4.21,31-22,18-11,57-25,40-42,96.2%,79.0%,7.9%,2.6%,49,0.9620000000000001,0.026000000000000002,no,Pelicans
6,Sacramento Kings,45.8,36.2,.558,0.24,0.92,1.05,30-21,16-15,55-27,36-46,74.4%,0.7%,1.4%,0.3%,46,0.7440000000000001,0.003,sac,Kings
7,Dallas Mavericks,45.8,36.2,.559,0.43,-0.57,1.31,30-23,16-13,56-26,36-46,73.3%,20.8%,1.3%,0.2%,46,0.733,0.002,dal,Mavericks
8,Phoenix Suns,45.5,36.5,.554,-1.05,1.87,1.93,31-22,14-15,55-27,37-45,71.3%,0.4%,2.0%,0.4%,46,0.713,0.004,phx,Suns
9,Golden State Warriors,43.5,38.5,.531,0.89,-1.12,2.13,25-25,19-13,53-29,34-48,47.4%,0.1%,1.3%,0.3%,44,0.474,0.003,gs,Warriors
10,Los Angeles Lakers,41.8,40.2,.510,0.57,0.25,-0.11,28-26,14-14,51-31,32-50,25.3%,,0.3%,0,42,0.253,0,lal,Lakers
11,Houston Rockets,38.9,43.1,.474,0.20,-0.23,0.93,23-29,16-14,48-34,29-53,7.8%,0.1%,0.1%,0,39,0.078,0,hou,Rockets
12,Utah Jazz,38.8,43.2,.473,0.33,0.87,-1.72,26-27,13-16,48-34,30-52,4.5%,,,0,39,0.045,0,uta,Jazz
13,Memphis Grizzlies,29.0,53.0,.354,0.75,-0.47,-5.55,18-35,11-18,38-44,20-62,0,,,0,29,0,0,mem,Grizzlies
14,Portland Trail Blazers,23.6,58.4,.288,0.52,1.00,-7.71,15-37,9-21,34-48,16-66,0,,,0,24,0,0,por,Blazers
15,San Antonio Spurs,17.4,64.6,.212,0.42,1.21,-8.52,10-43,7-22,27-55,10-72,0,,,0,17,0,0,sa,Spurs
