Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,57.8,24.2,.705,-0.16,2.07,3.72,55-22,3-2,60-22,55-27,100.0%,100.0%,14.2%,8.0%,58,1,0.08,mil
2,Boston Celtics,56.6,25.4,.690,-0.23,1.73,6.28,54-24,3-1,58-24,54-28,100.0%,99.2%,34.9%,25.2%,57,1,0.252,bos
3,Philadelphia 76ers,53.8,28.2,.656,-0.08,2.06,4.59,51-26,3-2,56-26,51-31,100.0%,0.8%,17.7%,11.1%,54,1,0.111,phi
4,Cleveland Cavaliers,50.9,31.1,.621,0.01,-3.24,5.32,48-30,3-1,52-30,48-34,100.0%,,20.7%,13.7%,51,1,0.13699999999999998,cle
5,New York Knicks,47.5,34.5,.579,0.12,-1.17,3.13,45-33,2-2,49-33,45-37,100.0%,,6.5%,3.6%,48,1,0.036000000000000004,ny
6,Brooklyn Nets,45.0,37.0,.549,0.27,-1.23,1.19,42-35,3-2,47-35,42-40,98.0%,,2.4%,1.0%,45,0.98,0.01,bkn
7,Miami Heat,42.5,39.5,.518,0.30,-1.04,-0.76,40-37,3-2,45-37,40-42,71.6%,96.6%,0.6%,0.2%,42,0.716,0.002,mia
8,Atlanta Hawks,40.2,41.8,.490,-0.09,2.36,-0.13,38-39,2-3,43-39,38-44,41.7%,3.4%,0.4%,0.1%,40,0.41700000000000004,0.001,atl
9,Toronto Raptors,40.4,41.6,.493,0.09,0.95,1.23,38-39,2-3,43-39,38-44,48.6%,,1.4%,0.5%,40,0.486,0.005,tor
10,Chicago Bulls,39.7,42.3,.484,0.10,0.09,1.28,37-40,3-2,42-40,37-45,39.7%,,1.2%,0.5%,40,0.397,0.005,chi
11,Washington Wizards,36.5,45.5,.445,0.17,-0.41,-0.62,34-43,3-2,39-43,34-48,0.4%,,,0,36,0.004,0,wsh
12,Indiana Pacers,35.6,46.4,.434,0.25,1.07,-2.82,34-44,2-2,38-44,34-48,0,,,0,36,0,0,ind
13,Orlando Magic,35.1,46.9,.428,0.13,0.75,-2.18,33-44,2-3,38-44,33-49,0,,,0,35,0,0,orl
14,Charlotte Hornets,27.5,54.5,.335,0.37,-0.06,-5.78,26-52,2-2,30-52,26-56,0,,,0,28,0,0,cha
15,Detroit Pistons,17.5,64.5,.213,0.55,-0.66,-7.31,16-61,1-4,21-61,16-66,0,,,0,18,0,0,det
1,Denver Nuggets,54.0,28.0,.659,-0.28,-0.66,3.43,51-26,3-2,56-26,51-31,100.0%,100.0%,24.3%,9.6%,54,1,0.096,den
2,Memphis Grizzlies,51.8,30.2,.632,-0.45,0.84,3.88,49-28,3-2,54-28,49-33,100.0%,100.0%,27.2%,11.5%,52,1,0.115,mem
3,Sacramento Kings,49.9,32.1,.609,-0.36,-0.88,2.85,47-30,3-2,52-30,47-35,100.0%,99.9%,16.8%,6.2%,50,1,0.062,sac
4,Phoenix Suns,45.0,37.0,.548,0.08,-1.20,2.08,42-35,3-2,47-35,42-40,99.9%,0.1%,13.0%,4.2%,45,0.9990000000000001,0.042,phx
5,LA Clippers,43.0,39.0,.524,-0.22,0.12,0.12,41-37,2-2,45-37,41-41,89.6%,,3.7%,0.8%,43,0.8959999999999999,0.008,lac
6,Golden State Warriors,42.9,39.1,.523,-0.17,0.98,0.61,41-37,2-2,45-37,41-41,86.5%,,4.2%,1.1%,43,0.865,0.011000000000000001,gs
7,New Orleans Pelicans,41.6,40.4,.508,-0.41,1.91,1.60,39-38,3-2,44-38,39-43,64.4%,,5.0%,1.6%,42,0.644,0.016,no
8,Los Angeles Lakers,41.7,40.3,.508,-0.04,-1.50,-0.01,39-38,3-2,44-38,39-43,62.5%,,2.2%,0.5%,42,0.625,0.005,lal
9,Minnesota Timberwolves,41.3,40.7,.503,-0.05,-2.68,-0.45,39-39,2-2,43-39,39-43,59.9%,,1.9%,0.3%,41,0.599,0.003,min
10,Dallas Mavericks,39.8,42.2,.485,-0.16,-1.42,0.30,37-40,3-2,42-40,37-45,16.2%,,0.7%,0.1%,40,0.162,0.001,dal
11,Oklahoma City Thunder,39.9,42.1,.487,-0.21,1.44,0.81,38-40,2-2,42-40,38-44,19.1%,,1.0%,0.3%,40,0.191,0.003,okc
12,Utah Jazz,38.3,43.7,.467,-0.16,1.08,-0.83,36-41,2-3,41-41,36-46,1.8%,,0.1%,0,38,0.018000000000000002,0,uta
13,Portland Trail Blazers,34.1,47.9,.416,0.09,-1.23,-3.19,32-45,2-3,37-45,32-50,0,,,0,34,0,0,por
14,Houston Rockets,20.2,61.8,.246,0.29,-0.75,-8.02,19-59,1-3,23-59,19-63,0,,,0,20,0,0,hou
15,San Antonio Spurs,20.1,61.9,.245,0.24,0.32,-10.32,19-58,1-4,24-58,19-63,0,,,0,20,0,0,sa
