Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.5,25.5,.689,-0.10,-0.28,6.02,31-12,26-13,67-15,44-38,100.0%,88.3%,36.1%,23.7%,56,1,0.237,bos
2,Cleveland Cavaliers,51.5,30.5,.628,0.00,-0.41,4.79,27-16,24-15,61-21,41-41,99.8%,77.9%,22.0%,12.8%,52,0.998,0.128,cle
3,Brooklyn Nets,51.6,30.4,.630,0.08,-0.11,3.69,27-14,25-16,65-17,40-42,99.9%,10.4%,14.7%,8.2%,52,0.9990000000000001,0.08199999999999999,bkn
4,Milwaukee Bucks,47.9,34.1,.584,-0.16,0.28,1.13,27-15,21-19,60-22,37-45,96.0%,20.9%,4.5%,1.7%,48,0.96,0.017,mil
5,Philadelphia 76ers,47.7,34.3,.582,-0.59,0.67,3.14,25-16,23-18,58-24,35-47,96.5%,1.1%,10.7%,5.3%,48,0.965,0.053,phi
6,New York Knicks,45.0,37.0,.549,-0.30,0.47,2.49,23-19,22-18,56-26,33-49,87.3%,0.2%,6.7%,2.7%,45,0.873,0.027000000000000003,ny
7,Indiana Pacers,42.7,39.3,.521,0.04,0.17,-0.06,23-19,20-20,55-27,33-49,62.3%,1.2%,1.6%,0.5%,43,0.623,0.005,ind
8,Miami Heat,41.7,40.3,.508,-0.23,0.46,-0.29,23-20,19-20,53-29,30-52,54.8%,72.0%,1.0%,0.3%,42,0.5479999999999999,0.003,mia
9,Chicago Bulls,40.4,41.6,.493,0.99,-0.86,0.32,19-23,21-19,52-30,29-53,40.1%,0.1%,1.2%,0.4%,40,0.401,0.004,chi
10,Toronto Raptors,39.7,42.3,.484,0.30,-0.15,0.82,19-23,21-19,51-31,29-53,32.2%,,1.2%,0.4%,40,0.322,0.004,tor
11,Washington Wizards,38.1,43.9,.465,0.69,-0.60,-0.66,18-24,20-20,49-33,26-56,18.3%,15.9%,0.3%,0.1%,38,0.183,0.001,wsh
12,Atlanta Hawks,37.5,44.5,.458,-0.26,0.32,-1.60,19-22,19-22,49-33,25-57,12.6%,12.0%,0.1%,0,38,0.126,0,atl
13,Orlando Magic,31.4,50.6,.383,-0.09,0.48,-3.90,16-26,15-25,43-39,21-61,0.3%,0.2%,,0,31,0.003,0,orl
14,Charlotte Hornets,24.7,57.3,.301,0.46,0.13,-5.99,11-32,14-25,36-46,15-67,0,,,0,25,0,0,cha
15,Detroit Pistons,24.5,57.5,.299,0.71,-0.10,-6.58,12-33,12-25,35-47,14-68,0,,,0,24,0,0,det
1,Memphis Grizzlies,53.4,28.6,.652,-0.37,-0.20,4.68,28-13,25-16,64-18,42-40,100.0%,82.9%,29.9%,15.6%,53,1,0.156,mem
2,Denver Nuggets,52.1,29.9,.635,-0.36,-0.02,3.44,28-13,24-17,63-19,40-42,100.0%,99.3%,20.2%,9.5%,52,1,0.095,den
3,New Orleans Pelicans,49.4,32.6,.602,-0.06,-0.45,3.97,25-17,24-16,60-22,38-44,99.6%,15.2%,21.6%,10.1%,49,0.996,0.10099999999999999,no
4,Sacramento Kings,45.0,37.0,.548,-0.32,-0.20,1.83,22-18,23-19,57-25,32-50,90.9%,63.2%,8.1%,2.8%,45,0.909,0.027999999999999997,sac
5,Dallas Mavericks,45.2,36.8,.551,0.13,-0.38,1.29,24-19,21-18,56-26,34-48,93.2%,1.9%,6.7%,2.0%,45,0.932,0.02,dal
6,Phoenix Suns,42.2,39.8,.515,0.20,-0.12,1.46,21-22,21-18,54-28,29-53,74.9%,26.6%,5.3%,1.8%,42,0.7490000000000001,0.018000000000000002,phx
7,Utah Jazz,41.1,40.9,.502,0.04,-0.17,0.72,21-23,20-18,52-30,29-53,60.0%,0.4%,3.2%,0.8%,41,0.6,0.008,uta
8,Oklahoma City Thunder,39.7,42.3,.484,0.29,-0.31,0.50,19-23,21-19,51-31,27-55,43.1%,0.2%,2.1%,0.6%,40,0.431,0.006,okc
9,LA Clippers,39.5,42.5,.482,-0.67,0.59,-1.46,22-21,18-21,50-32,29-53,34.7%,4.9%,0.5%,0.1%,40,0.34700000000000003,0.001,lac
10,Portland Trail Blazers,39.3,42.7,.479,-0.27,0.24,-0.34,19-22,20-21,50-32,27-55,35.8%,0.1%,1.3%,0.3%,39,0.358,0.003,por
11,Golden State Warriors,38.8,43.2,.473,-0.18,0.25,-1.23,20-21,19-22,51-31,28-54,31.1%,4.2%,0.6%,0.1%,39,0.311,0.001,gs
12,Minnesota Timberwolves,38.0,44.0,.464,-0.58,0.56,-1.31,20-22,18-22,51-31,27-55,22.5%,,0.4%,0.1%,38,0.225,0.001,min
13,Los Angeles Lakers,37.3,44.7,.455,-0.24,0.35,-1.47,19-23,18-22,49-33,26-56,14.2%,1.1%,0.2%,0.1%,37,0.142,0.001,lal
14,San Antonio Spurs,24.7,57.3,.302,0.48,0.08,-8.02,13-29,12-28,36-46,15-67,0,,,0,25,0,0,sa
15,Houston Rockets,23.2,58.8,.283,0.27,0.28,-6.85,10-31,13-28,35-47,13-69,0,,,0,23,0,0,hou
