Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.6,25.4,.690,-0.35,0.34,5.78,42-17,15-8,64-18,49-33,100.0%,93.8%,32.2%,22.1%,57,1,0.221,bos
2,Milwaukee Bucks,54.9,27.1,.669,-0.11,0.23,3.12,41-17,14-10,64-18,46-36,100.0%,77.7%,12.7%,6.6%,55,1,0.066,mil
3,Cleveland Cavaliers,51.9,30.1,.633,-0.02,-0.72,5.60,38-23,14-7,59-23,44-38,100.0%,22.3%,29.4%,19.9%,52,1,0.19899999999999998,cle
4,Philadelphia 76ers,52.0,30.0,.634,-0.37,1.02,3.52,38-19,14-11,60-22,43-39,100.0%,6.2%,12.5%,6.9%,52,1,0.069,phi
5,Brooklyn Nets,47.0,35.0,.574,0.05,0.21,1.77,34-24,13-11,56-26,37-45,97.7%,,4.8%,2.1%,47,0.977,0.021,bkn
6,New York Knicks,45.1,36.9,.550,0.04,0.24,2.27,33-27,12-10,54-28,36-46,91.4%,,4.6%,2.0%,45,0.914,0.02,ny
7,Miami Heat,43.2,38.8,.527,-0.02,0.60,0.01,32-27,11-12,53-29,33-49,74.7%,69.8%,1.2%,0.5%,43,0.747,0.005,mia
8,Washington Wizards,40.7,41.3,.497,0.15,-0.21,0.45,28-30,13-11,50-32,32-50,47.5%,19.3%,0.9%,0.4%,41,0.475,0.004,wsh
9,Atlanta Hawks,39.9,42.1,.487,-0.22,0.72,-0.58,29-30,11-12,48-34,30-52,34.2%,10.9%,0.5%,0.2%,40,0.342,0.002,atl
10,Toronto Raptors,39.7,42.3,.484,0.00,0.42,0.87,28-31,12-11,47-35,32-50,34.4%,,0.9%,0.3%,40,0.344,0.003,tor
11,Chicago Bulls,37.9,44.1,.462,0.33,-0.40,0.04,26-33,12-11,46-36,29-53,15.9%,,0.2%,0.1%,38,0.159,0.001,chi
12,Indiana Pacers,35.7,46.3,.436,0.47,-0.39,-2.16,26-34,10-12,45-37,28-54,3.7%,,,0,36,0.037000000000000005,0,ind
13,Orlando Magic,34.1,47.9,.415,0.28,-0.11,-2.49,24-35,10-13,43-39,26-56,0.5%,,,0,34,0.005,0,orl
14,Detroit Pistons,22.6,59.4,.276,0.78,-0.59,-6.81,15-44,8-15,33-49,15-67,0,,,0,23,0,0,det
15,Charlotte Hornets,24.5,57.5,.299,0.38,0.26,-6.04,17-43,8-14,34-48,17-65,0,,,0,24,0,0,cha
1,Denver Nuggets,54.8,27.2,.668,-0.38,0.03,3.98,41-18,14-9,63-19,46-36,100.0%,100.0%,30.1%,14.1%,55,1,0.141,den
2,Memphis Grizzlies,50.5,31.5,.616,-0.11,-0.84,3.80,35-22,15-10,59-23,41-41,99.9%,97.4%,27.3%,12.4%,50,0.9990000000000001,0.124,mem
3,Sacramento Kings,45.1,36.9,.549,-0.70,0.63,1.58,32-25,13-12,53-29,36-46,90.7%,49.8%,9.1%,2.9%,45,0.907,0.028999999999999998,sac
4,Phoenix Suns,43.6,38.4,.531,-0.08,0.34,1.29,32-28,12-10,51-31,36-46,82.2%,30.5%,7.2%,2.4%,44,0.8220000000000001,0.024,phx
5,Dallas Mavericks,43.2,38.8,.526,0.17,-1.17,0.65,31-29,12-10,51-31,34-48,77.0%,1.7%,4.8%,1.3%,43,0.77,0.013000000000000001,dal
6,LA Clippers,42.9,39.1,.523,-0.63,1.18,-0.31,33-28,10-11,51-31,36-46,68.0%,14.8%,2.5%,0.5%,43,0.68,0.005,lac
7,New Orleans Pelicans,42.8,39.2,.522,0.03,-0.81,1.44,30-29,13-10,50-32,34-48,72.7%,0.9%,6.4%,1.7%,43,0.727,0.017,no
8,Oklahoma City Thunder,41.9,40.1,.511,0.05,-0.42,1.70,28-29,14-11,50-32,32-50,58.0%,,5.9%,2.0%,42,0.58,0.02,okc
9,Golden State Warriors,41.1,40.9,.501,-0.04,-0.11,0.04,29-29,12-12,49-33,32-50,44.1%,4.8%,2.2%,0.5%,41,0.441,0.005,gs
10,Minnesota Timberwolves,41.0,41.0,.500,-0.19,0.09,-0.25,31-30,10-11,49-33,33-49,42.4%,,1.8%,0.5%,41,0.424,0.005,min
11,Utah Jazz,40.4,41.6,.493,0.04,-0.39,0.37,29-31,11-11,48-34,32-50,34.6%,,1.9%,0.4%,40,0.34600000000000003,0.004,uta
12,Portland Trail Blazers,39.7,42.3,.484,-0.16,0.16,-0.31,28-30,12-12,48-34,32-50,24.7%,,0.9%,0.2%,40,0.247,0.002,por
13,Los Angeles Lakers,37.9,44.1,.462,-0.05,0.04,-1.21,27-32,11-12,48-34,30-52,5.7%,0.2%,0.1%,0,38,0.057,0,lal
14,Houston Rockets,20.0,62.0,.244,0.34,0.11,-8.06,13-45,7-17,29-53,13-69,0,,,0,20,0,0,hou
15,San Antonio Spurs,19.5,62.5,.238,0.31,0.19,-9.86,14-45,5-18,28-54,14-68,0,,,0,20,0,0,sa
