Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,62.4,19.6,.760,0.39,-1.77,10.03,38-12,24-8,70-12,53-29,100.0%,99.9%,99.4,0.6,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,62.1%,43.7%
2,Cleveland Cavaliers,53.3,28.7,.649,-0.43,-0.64,4.68,32-16,21-13,63-19,43-39,100.0%,76.6%,0.5,54.2,23.4,13.5,6.5,1.7,0.2,0.1,NA,99.7,0.3,NA,NA,NA,,NA,10.9%,4.4%
3,New York Knicks,52.1,29.9,.635,-0.50,0.34,5.26,32-18,20-12,61-21,41-41,99.9%,0.1%,0.1,24,33.2,24.6,13.7,3.7,0.5,0.2,NA,99.2,0.7,NA,NA,NA,,NA,11.6%,5.1%
4,Milwaukee Bucks,50.7,31.3,.618,-0.79,0.78,2.93,33-17,18-14,61-21,41-41,99.6%,22.7%,0.1,13.8,25.1,27.6,22.5,8.2,1.6,0.8,NA,97.2,2.6,0.2,NA,NA,,NA,4.3%,1.3%
5,Philadelphia 76ers,50.1,31.9,.611,-0.92,0.04,4.44,30-19,20-13,60-22,38-44,99.5%,,NA,6.9,16.1,26.5,33.1,12.7,3.1,1.1,NA,95.3,4.3,0.3,NA,NA,,NA,7.7%,2.9%
6,Orlando Magic,45.5,36.5,.555,0.19,-1.57,1.15,27-23,19-13,54-28,35-47,92.4%,86.3%,NA,0.2,1.3,4.9,14.4,40.6,21,10,NA,61.4,28.4,8.7,1.3,0.2,,NA,1.5%,0.3%
7,Indiana Pacers,44.9,37.1,.547,-0.22,-0.12,1.58,28-23,17-14,54-28,34-48,88.8%,0.7%,NA,0.2,0.9,2.9,9,27.8,33.6,14.6,NA,40.7,46.3,11.3,1.4,0.3,,NA,1.7%,0.4%
8,Miami Heat,40.9,41.1,.498,-0.55,-0.28,-1.63,26-24,15-17,51-31,30-52,62.6%,13.3%,NA,NA,NA,0.1,0.9,5.1,29.8,26.7,NA,6.1,15.4,56.8,15,5.1,1.7,NA,0.2%,
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Brooklyn Nets,36.0,46.0,.439,0.08,-0.42,-0.94,20-29,16-17,47-35,26-56,21.1%,,NA,NA,NA,NA,NA,0.1,4.1,16.9,NA,0.1,0.7,8.4,27.3,28.7,34.8,NA,0.1%,
10,Chicago Bulls,36.5,45.5,.445,-0.82,0.56,-2.38,23-27,14-18,46-36,27-55,18.5%,,NA,NA,NA,NA,NA,0.1,3.5,15,NA,0.1,0.7,8.1,29.9,31.2,30.0,NA,,
11,Atlanta Hawks,36.2,45.8,.441,-0.08,-0.19,-2.38,22-28,14-18,46-36,26-56,16.4%,0.4%,NA,NA,NA,NA,NA,0.1,2.5,13.8,NA,0.1,0.6,6,23.6,30.7,39.1,NA,,
12,Toronto Raptors,31.2,50.8,.380,0.30,-0.76,-3.18,17-33,14-18,41-41,22-60,1.1%,,NA,NA,NA,NA,NA,NA,0.1,1.1,NA,,NA,0.1,1.6,3.9,94.4,NA,,
13,Washington Wizards,17.2,64.8,.210,-0.39,0.84,-9.74,9-40,8-25,27-55,10-72,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Charlotte Hornets,17.0,65.0,.207,0.12,0.41,-11.70,10-39,7-26,27-55,10-72,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,14.6,67.4,.178,0.25,-0.02,-9.46,6-43,9-24,23-59,6-76,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Oklahoma City Thunder,57.5,24.5,.701,-0.03,-0.48,8.01,35-15,22-10,66-16,47-35,100.0%,56.7%,48,25.4,17.8,8.1,0.7,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,37.4%,18.7%
2,Minnesota Timberwolves,56.4,25.6,.688,0.15,-0.50,6.37,35-15,21-11,65-17,45-37,100.0%,33.6%,28.6,27.2,26,16.4,1.7,0.2,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,21.7%,9.0%
3,Los Angeles Clippers,55.5,26.5,.677,-0.26,0.26,6.19,34-15,22-11,65-17,45-37,100.0%,99.5%,15.4,32.2,27.4,22,2.8,0.2,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,20.1%,8.0%
4,Denver Nuggets,54.6,27.4,.666,0.33,-0.59,4.52,35-16,20-11,64-18,45-37,100.0%,9.8%,7.9,14.8,26.8,43.2,6.8,0.5,NA,NA,NA,99.9,0.1,NA,NA,NA,,NA,10.6%,3.3%
5,New Orleans Pelicans,48.7,33.3,.594,0.13,-0.28,4.41,29-21,20-12,58-24,38-44,97.5%,90.7%,NA,0.5,1.9,8.8,60.7,17.5,5.2,2.9,NA,89.4,6.3,2.5,1.3,0.3,0.2,NA,6.8%,2.1%
