Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,54.6,27.4,.666,-0.18,-0.16,5.67,27-12,28-15,66-16,43-39,100.0%,74.2%,31.0%,19.2%,55,1,0.192,bos
2,Cleveland Cavaliers,51.8,30.2,.632,-0.15,-0.26,5.01,25-14,27-16,63-19,39-43,99.8%,71.7%,23.4%,13.9%,52,0.998,0.139,cle
3,Brooklyn Nets,51.2,30.8,.625,-0.12,0.10,3.88,25-13,26-18,63-19,39-43,99.6%,18.9%,15.1%,7.9%,51,0.996,0.079,bkn
4,Milwaukee Bucks,49.0,33.0,.598,0.04,0.05,2.04,25-13,24-20,60-22,37-45,98.3%,27.5%,6.8%,2.8%,49,0.983,0.027999999999999997,mil
5,Philadelphia 76ers,49.0,33.0,.597,-0.25,0.29,3.61,23-14,26-19,61-21,36-46,98.5%,6.5%,12.9%,6.8%,49,0.985,0.068,phi
6,New York Knicks,44.8,37.2,.546,-0.33,0.48,2.52,21-18,24-19,55-27,31-51,86.9%,0.4%,6.2%,3.0%,45,0.8690000000000001,0.03,ny
7,Indiana Pacers,42.2,39.8,.515,0.16,0.12,-0.15,21-18,21-22,55-27,31-51,62.0%,0.7%,1.3%,0.4%,42,0.62,0.004,ind
8,Miami Heat,39.7,42.3,.484,-0.51,0.74,-0.95,20-19,20-23,52-30,28-54,36.4%,44.1%,0.5%,0.1%,40,0.364,0.001,mia
9,Washington Wizards,39.3,42.7,.479,0.57,-0.42,-0.02,17-22,22-21,52-30,28-54,32.1%,32.0%,0.9%,0.2%,39,0.321,0.002,wsh
10,Chicago Bulls,39.4,42.6,.480,0.89,-0.50,-0.13,17-21,22-22,52-30,29-53,34.3%,0.1%,0.7%,0.2%,39,0.34299999999999997,0.002,chi
11,Atlanta Hawks,38.5,43.5,.469,-0.24,0.27,-1.14,18-20,20-24,51-31,26-56,23.5%,23.8%,0.3%,0.1%,38,0.235,0.001,atl
12,Toronto Raptors,38.8,43.2,.473,0.63,-0.34,0.42,16-22,23-21,51-31,27-55,28.3%,,1.0%,0.3%,39,0.28300000000000003,0.003,tor
13,Orlando Magic,30.4,51.6,.371,-0.08,0.47,-3.98,14-25,16-27,41-41,20-62,0.1%,0.1%,,0,30,0.001,0,orl
14,Charlotte Hornets,24.2,57.8,.295,0.48,0.22,-6.68,10-29,14-29,36-46,14-68,0,,,0,24,0,0,cha
15,Detroit Pistons,25.5,56.5,.311,0.90,-0.23,-6.17,11-30,15-26,41-41,15-67,0,,,0,26,0,0,det
1,Memphis Grizzlies,52.9,29.1,.645,-0.01,-0.54,4.94,25-13,28-16,64-18,42-40,100.0%,67.8%,31.2%,17.2%,53,1,0.172,mem
2,New Orleans Pelicans,50.8,31.2,.620,-0.27,-0.26,4.36,24-14,27-17,62-20,39-43,99.8%,30.3%,25.4%,12.8%,51,0.998,0.128,no
3,Denver Nuggets,49.2,32.8,.600,-0.58,0.27,2.08,25-13,24-20,60-22,37-45,99.1%,91.2%,10.4%,3.7%,49,0.991,0.037000000000000005,den
4,Dallas Mavericks,45.5,36.5,.555,0.12,-0.35,1.63,22-17,24-19,56-26,33-49,91.0%,2.0%,7.7%,2.5%,46,0.91,0.025,dal
5,Phoenix Suns,44.5,37.5,.543,0.17,-0.18,2.56,20-19,25-18,57-25,33-49,87.1%,49.9%,10.1%,4.5%,44,0.871,0.045,phx
6,Sacramento Kings,44.2,37.8,.539,0.01,-0.39,1.17,20-17,24-21,56-26,32-50,82.4%,36.8%,5.5%,1.8%,44,0.8240000000000001,0.018000000000000002,sac
7,Utah Jazz,41.8,40.2,.510,-0.07,-0.14,0.93,20-21,22-19,54-28,29-53,60.6%,3.8%,4.0%,1.1%,42,0.606,0.011000000000000001,uta
8,Portland Trail Blazers,41.9,40.1,.511,-0.44,0.23,0.29,19-18,23-22,54-28,30-52,59.5%,4.3%,2.9%,0.9%,42,0.595,0.009000000000000001,por
9,Golden State Warriors,40.7,41.3,.496,-0.12,0.14,-0.56,20-19,21-22,52-30,30-52,47.4%,8.1%,1.5%,0.3%,41,0.474,0.003,gs
10,LA Clippers,40.0,42.0,.487,-0.78,0.56,-1.50,21-19,19-23,53-29,30-52,33.3%,4.8%,0.6%,0.2%,40,0.33299999999999996,0.002,lac
11,Minnesota Timberwolves,37.9,44.1,.463,-0.29,0.19,-1.18,18-21,20-23,51-31,27-55,18.0%,0.5%,0.4%,0.1%,38,0.18,0.001,min
12,Los Angeles Lakers,36.6,45.4,.447,-0.44,0.51,-1.84,17-21,20-24,49-33,25-57,8.2%,0.4%,0.1%,0,37,0.08199999999999999,0,lal
13,Oklahoma City Thunder,37.1,44.9,.453,0.21,-0.05,-0.76,16-22,21-23,49-33,24-58,13.6%,0.2%,0.4%,0.1%,37,0.136,0.001,okc
14,San Antonio Spurs,23.9,58.1,.291,0.25,0.41,-8.97,12-26,12-32,35-47,15-67,0,,,0,24,0,0,sa
15,Houston Rockets,24.6,57.4,.300,0.38,0.09,-6.39,10-29,15-28,37-45,14-68,0,,,0,25,0,0,hou
