Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,62.5,19.5,.762,0.24,-1.71,9.85,39-12,23-8,69-13,53-29,100.0%,99.9%,99.4,0.6,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,63.1%,44.5%
2,Cleveland Cavaliers,54.0,28.0,.658,-0.68,-0.33,4.84,34-16,20-12,63-19,43-39,100.0%,90.2%,0.5,73.1,17.5,6.2,2.4,0.3,NA,NA,NA,99.9,0.1,NA,NA,NA,,NA,12.5%,5.4%
3,New York Knicks,51.3,30.7,.626,-0.61,0.52,4.85,33-19,18-12,59-23,39-43,99.8%,0.1%,0.1,16.5,42.1,23.8,12.7,3.8,0.6,0.3,NA,99.0,0.9,0.1,NA,NA,,NA,11.1%,4.5%
4,Milwaukee Bucks,49.4,32.6,.602,-0.59,0.52,2.37,33-19,16-14,59-23,40-42,99.2%,9.5%,NA,5.9,22.3,31.7,24.7,10.9,2.6,1,NA,95.6,3.9,0.5,NA,NA,,NA,3.4%,0.9%
5,Philadelphia 76ers,49.0,33.0,.598,-0.85,-0.03,3.95,30-20,19-13,58-24,38-44,99.2%,,NA,3.7,15.5,27,32.6,14.3,4.4,1.7,NA,93.1,5.6,1.2,0.1,NA,,NA,6.8%,2.3%
6,Orlando Magic,45.0,37.0,.548,0.03,-1.38,0.76,28-24,17-13,54-28,36-46,90.8%,72.8%,NA,0.1,1.5,6.4,14.6,33.1,22.6,12.5,NA,55.7,26.8,15.6,1.6,0.3,,NA,1.3%,0.2%
7,Indiana Pacers,44.4,37.6,.541,-0.21,-0.14,1.17,29-24,15-14,54-28,35-47,86.8%,0.3%,NA,0.1,0.9,3.9,9.7,24.5,31.8,15.9,NA,39.0,38,19.6,2.9,0.4,,NA,1.4%,0.4%
8,Miami Heat,42.2,39.8,.515,-0.73,-0.04,-1.04,28-24,14-16,52-30,33-49,71.1%,26.7%,NA,NA,0.2,1,3.2,12.8,30.2,23.8,NA,17.2,22.1,47.6,10.3,2.4,0.5,NA,0.3%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,37.9,44.1,.462,-0.79,0.51,-2.02,25-27,13-17,48-34,28-54,25.1%,,NA,NA,NA,NA,NA,0.3,5.3,19.4,NA,0.3,2,10.4,48.2,24.4,14.7,NA,0.1%,
10,Atlanta Hawks,36.1,45.9,.440,0.09,-0.53,-2.33,22-29,14-17,45-37,26-56,14.8%,0.5%,NA,NA,NA,NA,NA,0.1,1.5,13.1,NA,0.2,0.5,2.8,20.3,38.7,37.4,NA,,
11,Brooklyn Nets,34.8,47.2,.425,0.25,-0.71,-1.42,20-31,15-16,44-38,25-57,12.0%,,NA,NA,NA,NA,NA,NA,0.9,11,NA,,0.2,1.9,15.3,28.7,53.9,NA,,
12,Toronto Raptors,31.5,50.5,.384,0.06,-0.46,-3.24,18-33,13-18,42-40,21-61,1.2%,,NA,NA,NA,NA,NA,NA,0.1,1.2,NA,,NA,0.1,1.3,5,93.5,NA,,
13,Washington Wizards,17.0,65.0,.207,-0.35,0.77,-9.67,9-41,8-24,28-54,9-73,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Charlotte Hornets,16.7,65.3,.203,0.04,0.47,-11.66,10-40,7-25,27-55,10-72,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,16.3,65.7,.199,0.03,0.20,-8.93,8-43,8-23,27-55,8-74,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Oklahoma City Thunder,56.7,25.3,.691,0.03,-0.49,7.77,35-16,22-9,65-17,47-35,100.0%,44.9%,39.2,26.3,20.4,12,2.1,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,34.3%,16.7%
2,Minnesota Timberwolves,56.3,25.7,.687,0.18,-0.54,6.50,36-16,20-10,64-18,47-35,100.0%,39.7%,35,25.7,22.3,14.3,2.5,0.2,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,23.7%,10.1%
3,Denver Nuggets,55.0,27.0,.671,0.32,-0.56,4.59,36-16,19-11,64-18,45-37,100.0%,15.5%,13.6,18.6,27,33.4,6.9,0.5,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,11.4%,4.2%
