Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,65.2,16.8,.795,-0.29,-2.07,11.36,54-14,11-3,68-14,59-23,100.0%,100.0%,77.5%,61.2%,65,1,0.612,bos,Celtics
2,Cleveland Cavaliers,51.7,30.3,.631,-0.31,-1.34,3.75,43-25,9-5,57-25,45-37,100.0%,60.6%,6.2%,2.1%,52,1,0.021,cle,Cavaliers
3,Milwaukee Bucks,51.6,30.4,.629,-0.55,1.75,2.88,44-24,8-6,57-25,45-37,100.0%,39.4%,4.2%,1.4%,52,1,0.013999999999999999,mil,Bucks
4,New York Knicks,49.5,32.5,.604,-0.13,-0.17,4.02,41-27,9-5,55-27,43-39,99.8%,,6.4%,2.3%,50,0.998,0.023,ny,Knicks
5,Orlando Magic,47.9,34.1,.584,-0.45,-0.67,1.24,40-28,8-6,53-29,41-41,98.2%,89.9%,1.5%,0.3%,48,0.982,0.003,orl,Magic
6,Indiana Pacers,45.1,36.9,.550,-0.12,-0.28,1.76,38-31,7-6,51-31,39-43,89.1%,,1.6%,0.4%,45,0.8909999999999999,0.004,ind,Pacers
7,Philadelphia 76ers,45.7,36.3,.557,-0.48,-0.25,2.03,38-30,8-6,52-30,39-43,90.2%,,2.1%,0.6%,46,0.902,0.006,phi,76ers
8,Miami Heat,44.2,37.8,.539,-0.60,-0.25,-0.11,37-31,7-7,50-32,38-44,79.4%,10.1%,0.6%,0.1%,44,0.794,0.001,mia,Heat
9,Chicago Bulls,39.8,42.2,.485,-0.34,0.10,-1.87,34-35,6-7,46-36,34-48,23.7%,,,0,40,0.237,0,chi,Bulls
10,Atlanta Hawks,36.2,45.8,.441,-0.23,0.27,-2.25,30-38,6-8,43-39,31-51,18.3%,,,0,36,0.183,0,atl,Hawks
11,Brooklyn Nets,32.3,49.7,.393,-0.03,-0.39,-2.41,26-42,6-8,39-43,26-56,1.5%,,,0,32,0.015,0,bkn,Nets
12,Toronto Raptors,28.4,53.6,.346,-0.12,0.13,-4.45,23-45,5-9,35-47,23-59,0,,,0,28,0,0,tor,Raptors
13,Charlotte Hornets,19.6,62.4,.239,-0.40,2.83,-10.31,17-51,3-11,26-56,17-65,0,,,0,20,0,0,cha,Hornets
14,Detroit Pistons,15.9,66.1,.194,0.10,-0.18,-8.27,12-56,4-10,22-60,12-70,0,,,0,16,0,0,det,Pistons
15,Washington Wizards,14.9,67.1,.182,0.23,-0.50,-9.93,11-57,4-10,21-61,11-71,0,,,0,15,0,0,wsh,Wizards
1,Minnesota Timberwolves,56.7,25.3,.691,-0.06,-0.16,6.65,47-21,10-4,61-21,50-32,100.0%,43.1%,28.4%,10.2%,57,1,0.102,min,T-Wolves
2,Oklahoma City Thunder,57.0,25.0,.695,-0.29,0.76,7.35,47-20,10-5,62-20,50-32,100.0%,42.5%,34.1%,13.0%,57,1,0.13,okc,Thunder
3,Denver Nuggets,55.9,26.1,.682,0.06,-0.33,4.53,47-21,9-5,61-21,49-33,100.0%,14.4%,12.1%,2.9%,56,1,0.028999999999999998,den,Nuggets
4,LA Clippers,51.5,30.5,.628,0.25,-0.65,4.11,42-25,9-6,57-25,45-37,99.8%,95.5%,7.6%,1.8%,52,0.998,0.018000000000000002,lac,Clippers
5,New Orleans Pelicans,50.3,31.7,.613,-0.11,0.45,5.04,41-26,9-6,56-26,44-38,99.3%,90.4%,11.7%,3.0%,50,0.993,0.03,no,Pelicans
6,Dallas Mavericks,47.0,35.0,.573,0.39,-1.26,1.71,39-29,8-6,53-29,40-42,82.1%,9.6%,1.6%,0.2%,47,0.821,0.002,dal,Mavericks
7,Sacramento Kings,46.9,35.1,.571,0.45,0.87,1.49,39-28,8-7,53-29,41-41,82.6%,3.8%,1.6%,0.2%,47,0.826,0.002,sac,Kings
8,Phoenix Suns,45.7,36.3,.557,-0.49,2.50,1.88,39-29,7-7,52-30,40-42,65.5%,0.6%,1.5%,0.2%,46,0.655,0.002,phx,Suns
9,Los Angeles Lakers,43.6,38.4,.532,0.59,-0.22,0.47,37-32,7-6,50-32,37-45,30.3%,0.1%,0.4%,0,44,0.303,0,lal,Lakers
10,Golden State Warriors,43.6,38.4,.532,0.44,-1.15,1.95,35-32,9-6,50-32,37-45,35.6%,,0.9%,0.2%,44,0.35600000000000004,0.002,gs,Warriors
11,Houston Rockets,40.3,41.7,.491,0.29,-0.76,1.06,32-35,8-7,47-35,34-48,4.8%,,0.1%,0,40,0.048,0,hou,Rockets
12,Utah Jazz,33.9,48.1,.413,0.31,2.08,-3.13,29-39,5-9,41-41,29-53,0,,,0,34,0,0,uta,Jazz
13,Memphis Grizzlies,27.6,54.4,.336,0.59,-0.63,-5.97,23-46,5-8,34-48,23-59,0,,,0,28,0,0,mem,Grizzlies
14,Portland Trail Blazers,22.9,59.1,.279,0.63,0.95,-7.44,19-49,4-10,30-52,19-63,0,,,0,23,0,0,por,Blazers
15,San Antonio Spurs,19.4,62.6,.237,0.66,0.83,-6.75,15-53,4-10,26-56,15-67,0,,,0,19,0,0,sa,Spurs
