Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.6,25.4,.691,-0.35,0.34,5.78,42-17,15-8,64-18,49-33,100.0%,93.6%,32.6%,22.8%,57,1,0.228,bos
2,Milwaukee Bucks,54.8,27.2,.669,-0.11,0.23,3.12,41-17,14-10,63-19,46-36,100.0%,77.9%,12.7%,6.8%,55,1,0.068,mil
3,Cleveland Cavaliers,51.9,30.1,.633,-0.02,-0.72,5.60,38-23,14-7,59-23,43-39,100.0%,22.1%,27.7%,19.0%,52,1,0.19,cle
4,Philadelphia 76ers,51.9,30.1,.633,-0.37,1.02,3.52,38-19,14-11,60-22,44-38,100.0%,6.4%,13.5%,7.5%,52,1,0.075,phi
5,Brooklyn Nets,47.0,35.0,.574,0.05,0.21,1.77,34-24,13-11,56-26,38-44,97.5%,0.1%,4.3%,1.9%,47,0.975,0.019,bkn
6,New York Knicks,45.1,36.9,.551,0.04,0.24,2.27,33-27,12-10,54-28,36-46,91.8%,,5.0%,2.5%,45,0.9179999999999999,0.025,ny
7,Miami Heat,43.2,38.8,.527,-0.02,0.60,0.01,32-27,11-12,52-30,34-48,74.7%,70.6%,1.4%,0.4%,43,0.747,0.004,mia
8,Washington Wizards,40.7,41.3,.496,0.15,-0.21,0.45,28-30,13-11,50-32,32-50,46.7%,18.5%,1.0%,0.4%,41,0.467,0.004,wsh
9,Atlanta Hawks,39.9,42.1,.487,-0.22,0.72,-0.58,29-30,11-12,50-32,31-51,34.8%,10.9%,0.5%,0.2%,40,0.348,0.002,atl
10,Toronto Raptors,39.7,42.3,.484,0.00,0.42,0.87,28-31,12-11,48-34,30-52,34.6%,,1.2%,0.4%,40,0.34600000000000003,0.004,tor
11,Chicago Bulls,37.9,44.1,.462,0.33,-0.40,0.04,26-33,12-11,46-36,29-53,15.8%,,0.2%,0.1%,38,0.158,0.001,chi
12,Indiana Pacers,35.7,46.3,.436,0.47,-0.39,-2.16,26-34,10-12,44-38,29-53,3.7%,,,0,36,0.037000000000000005,0,ind
13,Orlando Magic,34.0,48.0,.415,0.28,-0.11,-2.49,24-35,10-13,42-40,26-56,0.6%,,,0,34,0.006,0,orl
14,Detroit Pistons,22.6,59.4,.276,0.78,-0.59,-6.81,15-44,8-15,31-51,16-66,0,,,0,23,0,0,det
15,Charlotte Hornets,24.6,57.4,.299,0.38,0.26,-6.04,17-43,8-14,33-49,17-65,0,,,0,25,0,0,cha
1,Denver Nuggets,54.8,27.2,.668,-0.38,0.03,3.98,41-18,14-9,63-19,46-36,100.0%,100.0%,29.3%,13.9%,55,1,0.139,den
2,Memphis Grizzlies,50.5,31.5,.616,-0.11,-0.84,3.80,35-22,16-9,58-24,41-41,100.0%,97.6%,27.4%,11.9%,50,1,0.11900000000000001,mem
3,Sacramento Kings,45.1,36.9,.549,-0.70,0.63,1.58,32-25,13-12,53-29,37-45,91.5%,50.3%,8.9%,2.9%,45,0.915,0.028999999999999998,sac
4,Phoenix Suns,43.5,38.5,.531,-0.08,0.34,1.29,32-28,12-10,51-31,36-46,82.5%,29.9%,7.3%,2.1%,44,0.825,0.021,phx
5,Dallas Mavericks,43.2,38.8,.527,0.17,-1.17,0.65,31-29,12-10,51-31,35-47,77.8%,1.5%,5.4%,1.5%,43,0.778,0.015,dal
6,LA Clippers,42.9,39.1,.523,-0.63,1.18,-0.31,33-28,10-11,52-30,36-46,66.4%,14.6%,2.7%,0.6%,43,0.664,0.006,lac
7,New Orleans Pelicans,42.9,39.1,.523,0.03,-0.81,1.44,30-29,13-10,51-31,35-47,73.1%,1.0%,6.4%,2.0%,43,0.731,0.02,no
8,Oklahoma City Thunder,41.9,40.1,.511,0.05,-0.42,1.70,28-29,14-11,49-33,33-49,58.0%,,6.1%,1.8%,42,0.58,0.018000000000000002,okc
9,Golden State Warriors,41.1,40.9,.501,-0.04,-0.11,0.04,29-29,12-12,50-32,33-49,43.4%,5.1%,2.0%,0.5%,41,0.434,0.005,gs
10,Utah Jazz,40.4,41.6,.493,0.04,-0.39,0.37,29-31,11-11,49-33,32-50,34.2%,,1.9%,0.5%,40,0.342,0.005,uta
11,Minnesota Timberwolves,41.1,40.9,.501,-0.19,0.09,-0.25,31-30,10-11,49-33,33-49,44.1%,,1.7%,0.5%,41,0.441,0.005,min
12,Portland Trail Blazers,39.5,42.5,.482,-0.16,0.16,-0.31,28-30,12-12,47-35,32-50,23.4%,,0.8%,0.2%,40,0.23399999999999999,0.002,por
13,Los Angeles Lakers,37.9,44.1,.462,-0.05,0.04,-1.21,27-32,11-12,46-36,29-53,5.9%,0.1%,0.2%,0,38,0.059000000000000004,0,lal
14,Houston Rockets,20.0,62.0,.244,0.34,0.11,-8.06,13-45,7-17,28-54,14-68,0,,,0,20,0,0,hou
15,San Antonio Spurs,19.5,62.5,.237,0.31,0.19,-9.86,14-45,5-18,28-54,14-68,0,,,0,20,0,0,sa
