Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.6,19.4,.763,0.76,-1.40,10.55,30-9,33-10,72-10,52-30,100.0%,98.4%,58.9%,40.2%,63,1,0.402,bos,Celtics
2,Philadelphia 76ers,54.4,27.6,.664,-0.76,-0.54,7.35,24-13,30-15,66-16,43-39,99.9%,1.6%,22.4%,11.1%,54,0.9990000000000001,0.111,phi,76ers
3,Milwaukee Bucks,52.5,29.5,.640,-0.82,0.30,4.31,27-12,25-18,65-17,41-41,99.7%,76.4%,6.8%,2.4%,52,0.997,0.024,mil,Bucks
4,New York Knicks,49.0,33.0,.598,-0.03,0.03,3.98,23-16,26-17,61-21,38-44,97.5%,,5.4%,1.9%,49,0.975,0.019,ny,Knicks
5,Indiana Pacers,48.1,33.9,.587,-0.24,-0.13,2.95,23-15,25-19,60-22,34-48,95.7%,17.2%,3.2%,0.8%,48,0.9570000000000001,0.008,ind,Pacers
6,Cleveland Cavaliers,46.7,35.3,.569,-0.16,-0.42,1.76,22-15,25-20,58-24,35-47,90.2%,6.5%,1.5%,0.3%,47,0.902,0.003,cle,Cavaliers
7,Orlando Magic,45.3,36.7,.553,0.39,-1.30,1.27,21-18,24-19,57-25,32-50,85.7%,49.3%,1.1%,0.2%,45,0.857,0.002,orl,Magic
8,Miami Heat,44.9,37.1,.548,-0.57,-0.41,0.30,22-16,23-21,56-26,31-51,83.0%,50.6%,0.7%,0.1%,45,0.83,0.001,mia,Heat
9,Chicago Bulls,37.8,44.2,.461,0.02,-0.54,-1.93,19-22,19-22,49-33,26-56,19.5%,,,0,38,0.195,0,chi,Bulls
10,Brooklyn Nets,35.9,46.1,.438,-0.18,0.10,-2.02,16-22,20-24,47-35,25-57,13.4%,,,0,36,0.134,0,bkn,Nets
11,Atlanta Hawks,35.0,47.0,.427,0.17,-0.21,-2.28,15-23,20-24,48-34,24-58,7.7%,0.1%,,0,35,0.077,0,atl,Hawks
12,Toronto Raptors,34.7,47.3,.424,-0.17,0.03,-1.81,15-24,20-23,47-35,24-58,7.6%,,,0,35,0.076,0,tor,Raptors
13,Washington Wizards,19.3,62.7,.235,0.06,0.25,-9.68,7-31,12-32,31-51,10-72,0,,,0,19,0,0,wsh,Wizards
14,Charlotte Hornets,18.9,63.1,.230,0.18,0.51,-11.43,8-28,11-35,31-51,9-73,0,,,0,19,0,0,cha,Hornets
15,Detroit Pistons,13.5,68.5,.165,0.46,0.13,-10.95,3-36,11-32,24-58,4-78,0,,,0,14,0,0,det,Pistons
1,Oklahoma City Thunder,58.3,23.7,.711,-0.03,-0.62,9.10,27-11,31-13,69-13,47-35,100.0%,58.2%,44.1%,23.2%,58,1,0.23199999999999998,okc,Thunder
2,Minnesota Timberwolves,57.2,24.8,.698,0.98,-1.21,6.82,27-11,30-14,68-14,47-35,100.0%,37.7%,23.7%,10.0%,57,1,0.1,min,T-Wolves
3,Denver Nuggets,53.2,28.8,.649,-0.09,-0.18,5.03,27-13,26-16,63-19,41-41,99.9%,4.1%,10.7%,3.2%,53,0.9990000000000001,0.032,den,Nuggets
4,LA Clippers,52.1,29.9,.635,-0.53,0.21,5.21,25-13,27-17,65-17,40-42,99.8%,95.5%,10.9%,3.7%,52,0.998,0.037000000000000005,lac,Clippers
5,New Orleans Pelicans,50.0,32.0,.610,0.10,-0.33,4.80,24-16,26-16,61-21,39-43,99.0%,87.7%,7.7%,2.3%,50,0.99,0.023,no,Pelicans
6,Sacramento Kings,44.8,37.2,.546,0.05,0.69,0.55,23-15,22-22,58-24,33-49,76.9%,3.9%,0.8%,0.2%,45,0.769,0.002,sac,Kings
7,Dallas Mavericks,44.2,37.8,.538,-0.63,0.62,0.82,23-17,21-21,56-26,31-51,72.5%,7.0%,0.8%,0.2%,44,0.725,0.002,dal,Mavericks
8,Houston Rockets,42.9,39.1,.523,0.29,-0.39,1.50,19-19,24-20,55-27,32-50,61.1%,5.3%,0.9%,0.2%,43,0.611,0.002,hou,Rockets
9,Golden State Warriors,40.4,41.6,.493,1.02,-0.83,0.22,18-21,22-21,52-30,27-55,33.9%,0.3%,0.2%,0,40,0.33899999999999997,0,gs,Warriors
10,Phoenix Suns,40.2,41.8,.490,-1.54,1.14,-0.30,20-18,20-24,52-30,29-53,29.9%,0.2%,0.2%,0,40,0.299,0,phx,Suns
11,Los Angeles Lakers,38.2,43.8,.466,0.32,0.47,-1.33,19-21,19-23,49-33,26-56,14.0%,0.1%,0.1%,0,38,0.14,0,lal,Lakers
12,Utah Jazz,38.5,43.5,.470,-0.06,0.93,-2.13,21-20,18-23,51-31,29-53,13.0%,,,0,38,0.13,0,uta,Jazz
13,Memphis Grizzlies,30.8,51.2,.375,0.45,-0.08,-4.88,14-25,17-26,43-39,21-61,0.1%,,,0,31,0.001,0,mem,Grizzlies
14,Portland Trail Blazers,21.1,60.9,.257,0.01,1.28,-9.76,10-28,11-33,33-49,13-69,0,,,0,21,0,0,por,Blazers
15,San Antonio Spurs,19.4,62.6,.236,0.52,0.75,-8.59,7-31,12-32,31-51,10-72,0,,,0,19,0,0,sa,Spurs
