Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,59.4,22.6,.724,1.54,-0.67,9.95,17-5,42-18,73-9,46-36,100.0%,73.5%,42.3%,30.9%,59,1,0.309,bos,Celtics
2,Philadelphia 76ers,56.7,25.3,.691,0.48,-0.70,9.30,15-7,42-18,69-13,43-39,99.9%,26.4%,34.8%,24.6%,57,0.9990000000000001,0.24600000000000002,phi,76ers
3,Orlando Magic,50.7,31.3,.618,-0.94,-0.07,4.19,16-7,35-24,64-18,37-45,97.6%,91.6%,6.9%,3.4%,51,0.976,0.034,orl,Magic
4,Milwaukee Bucks,48.5,33.5,.592,-0.67,0.33,2.77,16-7,33-26,63-19,35-47,92.9%,54.4%,3.6%,1.4%,48,0.929,0.013999999999999999,mil,Bucks
5,Indiana Pacers,46.6,35.4,.568,-0.82,0.32,2.89,13-8,34-27,60-22,32-50,84.9%,33.6%,3.3%,1.3%,47,0.8490000000000001,0.013000000000000001,ind,Pacers
6,New York Knicks,46.4,35.6,.565,-0.26,0.54,3.15,13-9,33-27,60-22,32-50,84.5%,0.1%,3.5%,1.5%,46,0.845,0.015,ny,Knicks
7,Brooklyn Nets,46.0,36.0,.561,0.27,-0.03,3.27,12-10,34-26,60-22,31-51,81.9%,,3.5%,1.5%,46,0.8190000000000001,0.015,bkn,Nets
8,Cleveland Cavaliers,44.2,37.8,.539,1.29,-0.49,1.21,13-11,31-27,58-24,30-52,67.1%,11.9%,1.2%,0.4%,44,0.6709999999999999,0.004,cle,Cavaliers
9,Miami Heat,42.8,39.2,.522,-0.72,0.15,0.20,13-10,30-29,57-25,30-52,50.4%,6.5%,0.6%,0.2%,43,0.504,0.002,mia,Heat
10,Atlanta Hawks,40.0,42.0,.488,1.16,-0.14,0.61,9-13,31-29,56-26,27-55,29.9%,1.9%,0.4%,0.1%,40,0.299,0.001,atl,Hawks
11,Toronto Raptors,37.0,45.0,.452,0.76,0.01,-1.15,9-14,28-31,52-30,24-58,9.8%,,0.1%,0,37,0.098,0,tor,Raptors
12,Chicago Bulls,32.8,49.2,.400,0.43,-0.13,-3.82,9-16,24-33,48-34,17-65,1.1%,,,0,33,0.011000000000000001,0,chi,Bulls
13,Charlotte Hornets,27.5,54.5,.336,0.23,0.53,-7.39,7-14,21-40,41-41,15-67,0,,,0,28,0,0,cha,Hornets
14,Washington Wizards,21.3,60.7,.259,1.21,0.30,-9.47,3-19,18-42,33-49,10-72,0,,,0,21,0,0,wsh,Wizards
15,Detroit Pistons,18.6,63.4,.227,0.09,0.63,-10.04,2-21,17-42,34-48,7-75,0,,,0,19,0,0,det,Pistons
1,Minnesota Timberwolves,54.3,27.7,.662,-1.10,-0.25,5.72,17-5,37-23,68-14,39-43,99.7%,49.4%,23.7%,9.1%,54,0.997,0.091,min,T-Wolves
2,Oklahoma City Thunder,54.1,27.9,.660,-0.38,-0.44,7.16,15-7,39-21,67-15,40-42,99.7%,42.0%,33.0%,14.6%,54,0.997,0.146,okc,Thunder
3,Denver Nuggets,49.9,32.1,.608,0.21,-0.58,3.57,16-9,34-23,62-20,35-47,96.0%,8.6%,11.3%,3.4%,50,0.96,0.034,den,Nuggets
4,Houston Rockets,47.7,34.3,.582,0.17,-0.66,3.97,11-9,37-25,61-21,32-50,88.3%,52.8%,10.3%,3.2%,48,0.883,0.032,hou,Rockets
5,Dallas Mavericks,46.6,35.4,.568,-1.59,0.19,1.72,15-8,32-27,61-21,34-48,80.8%,39.4%,4.4%,0.9%,47,0.8079999999999999,0.009000000000000001,dal,Mavericks
6,LA Clippers,46.2,35.8,.563,-1.63,0.20,3.16,13-10,33-26,60-22,32-50,79.5%,41.2%,7.5%,2.0%,46,0.795,0.02,lac,Clippers
7,Los Angeles Lakers,44.9,37.1,.547,0.33,-0.03,1.37,14-10,31-27,59-23,30-52,67.4%,25.9%,3.4%,0.7%,45,0.674,0.006999999999999999,lal,Lakers
8,Sacramento Kings,43.6,38.4,.532,0.85,-0.08,0.26,13-9,31-29,57-25,29-53,53.8%,14.7%,1.4%,0.2%,44,0.5379999999999999,0.002,sac,Kings
9,New Orleans Pelicans,42.7,39.3,.520,0.36,-0.43,0.24,13-11,30-28,57-25,29-53,45.7%,7.8%,1.4%,0.2%,43,0.457,0.002,no,Pelicans
10,Phoenix Suns,42.0,40.0,.513,-2.06,0.46,0.11,13-10,29-30,58-24,28-54,38.5%,6.9%,1.2%,0.1%,42,0.385,0.001,phx,Suns
11,Golden State Warriors,42.9,39.1,.523,1.48,-0.91,1.74,10-13,33-26,56-26,29-53,50.7%,11.2%,2.5%,0.5%,43,0.507,0.005,gs,Warriors
12,Portland Trail Blazers,26.3,55.7,.320,-0.57,0.67,-7.39,6-16,20-40,42-40,14-68,0,,,0,26,0,0,por,Blazers
13,Memphis Grizzlies,25.9,56.1,.316,-1.51,0.71,-7.47,6-16,20-40,40-42,13-69,0,,,0,26,0,0,mem,Grizzlies
14,Utah Jazz,24.1,57.9,.294,-0.38,0.88,-9.33,7-16,17-42,38-44,11-71,0,,,0,24,0,0,uta,Jazz
15,San Antonio Spurs,20.4,61.6,.249,1.74,0.01,-10.26,3-19,17-43,34-48,8-74,0,,,0,20,0,0,sa,Spurs
