Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,50.5,29.5,.631,-7.99,-0.92,12.51,4-0,47-29,64-16,35-45,99.9%,72.6%,57.9,23.7,11.6,4.1,1.6,0.7,0.3,0.1,NA,99.5,0.3,0.1,NA,NA,,NA,34.5%,16.4%
2,Orlando Magic,46.9,33.1,.587,4.69,-1.81,8.69,2-2,45-31,61-19,29-51,99.2%,80.4%,20.5,32.5,22.1,11.4,6.7,3.4,1.8,0.9,NA,96.5,1.8,1,0.4,0.2,0.2,NA,22.3%,9.7%
3,Philadelphia 76ers,46.5,33.5,.581,-1.30,-1.18,10.03,2-1,44-33,61-19,32-48,98.7%,23.1%,16.6,26.4,26.8,13.6,8,4.3,1.9,1.2,NA,95.6,2,1.2,0.7,0.3,0.2,NA,20.4%,7.9%
4,Atlanta Hawks,41.5,38.5,.519,-4.97,-0.63,0.63,3-2,39-36,58-22,25-55,86.8%,18.3%,2.3,7.3,12.9,17.5,15.8,13.5,10.1,7.4,NA,69.4,10.7,7.9,4.8,3.2,4.2,NA,6.8%,2.0%
5,Toronto Raptors,40.8,39.2,.510,-0.11,-0.82,1.09,2-3,39-36,57-23,22-58,83.9%,2.4%,1.4,4.4,10.2,17,16.8,14.4,11.4,8.3,NA,64.1,11.5,8.7,5.5,3.8,6.4,NA,6.4%,1.8%
6,New York Knicks,39.4,40.6,.493,-1.77,-0.39,-0.77,2-3,37-38,54-26,24-56,74.2%,1.3%,0.7,2.5,6.1,12,14.8,14.5,13.1,10.6,NA,50.5,13.6,11,8.7,6,10.2,NA,4.1%,0.8%
7,Brooklyn Nets,37.7,42.3,.472,-6.49,0.09,-3.99,2-2,36-40,54-26,21-59,59.4%,0.7%,0.4,1.2,3,7.1,10.1,12.4,13,12.4,NA,34.1,12.9,12.8,11,9,20.3,NA,2.0%,0.4%
8,Milwaukee Bucks,37.2,42.8,.465,1.36,-0.77,-5.39,2-2,35-41,55-25,20-60,54.7%,42.4%,0.2,1.1,3.2,6.8,9.6,11.1,11.6,11.1,NA,31.9,11.6,11.7,11.3,9.8,23.8,NA,1.5%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Detroit Pistons,36.2,43.8,.452,-6.55,-0.59,-5.35,2-3,34-41,53-27,21-59,45.2%,31.3%,NA,0.6,2,5.3,6.7,9,10.5,11.2,NA,23.6,10.8,10.8,11.9,11.1,31.8,NA,1.1%,0.2%
10,Miami Heat,34.4,45.6,.430,0.70,-0.69,-6.30,1-4,33-42,50-30,19-61,27.9%,1.0%,NA,0.3,0.8,1.8,2.8,5,7.7,9.4,NA,10.7,7.5,9.5,11.5,11.8,49.0,NA,0.5%,0.1%
11,Indiana Pacers,33.0,47.0,.413,-5.49,-0.18,-11.24,2-2,31-45,49-31,19-61,19.1%,10.9%,NA,0.1,0.6,1.2,2.2,3.2,5.1,6.9,NA,7.1,5,6.7,8.5,10.6,62.1,NA,0.2%,
12,Cleveland Cavaliers,32.8,47.2,.410,-4.30,-0.42,-9.50,2-3,31-44,48-32,14-66,18.3%,9.9%,NA,0.1,0.4,0.9,2,3.4,4.8,6.8,NA,6.7,4.5,6.3,8.2,10.5,63.8,NA,0.2%,
13,Charlotte Hornets,32.3,47.7,.404,-4.03,-0.14,-10.78,1-3,31-45,49-31,13-67,15.0%,0.3%,NA,NA,0.2,0.7,1.6,2.5,3.9,6,NA,5.0,3.7,5.2,7.5,9.1,69.5,NA,0.2%,
14,Chicago Bulls,31.4,48.6,.393,-3.92,-0.22,-11.32,2-3,29-46,47-33,17-63,10.7%,5.5%,NA,NA,0.2,0.5,1.1,1.7,2.6,4.6,NA,3.5,2.5,4.1,6,8.2,75.9,NA,0.1%,
15,Washington Wizards,30.5,49.5,.381,-2.66,0.02,-13.66,1-3,30-46,47-33,15-65,7.1%,0.1%,NA,NA,0.1,0.2,0.5,1.1,2.1,3.1,NA,1.9,1.8,3,4.3,6.5,82.7,NA,0.1%,
1,Golden State Warriors,51.3,28.7,.641,5.34,0.49,14.14,4-1,47-28,65-15,37-43,98.6%,36.0%,33.3,22.7,16.3,10.7,7.2,4.8,2.6,1.1,NA,94.9,2.7,1.4,0.5,0.3,0.1,NA,23.6%,15.2%
2,Los Angeles Clippers,51.3,28.7,.641,3.30,0.36,15.50,3-2,48-27,66-14,37-43,98.7%,34.9%,32.8,22.1,16.4,11.6,7.6,4.2,2.4,1.6,NA,94.7,2.8,1.3,0.7,0.4,0.1,NA,27.1%,18.2%
3,Sacramento Kings,48.2,31.8,.602,10.35,0.27,13.35,2-2,46-30,63-17,32-48,94.0%,11.7%,10.6,13.8,16,16.4,14,11,7.2,5,NA,81.8,7.1,5.1,3.2,1.6,1.2,NA,13.7%,8.2%
4,Los Angeles Lakers,48.0,32.0,.600,11.09,-0.01,10.29,3-2,45-30,63-17,34-46,93.2%,11.5%,10.2,13.4,15.8,15,14.4,11.4,7.9,5.1,NA,80.2,8.2,5.5,3.1,1.9,1.1,NA,12.6%,7.4%
5,Denver Nuggets,46.8,33.2,.585,0.32,0.54,7.52,4-1,43-32,63-17,33-47,88.7%,61.2%,5.9,12.7,13.3,14.2,13.9,12,9.4,7.1,NA,72.1,9.8,7.7,5,2.9,2.6,NA,7.5%,3.8%
6,Phoenix Suns,46.2,33.8,.577,5.39,0.55,10.39,2-2,44-32,61-19,30-50,85.7%,5.9%,5.3,7.9,10.2,12.9,14.3,14.6,11.6,8.9,NA,65.2,12.1,9,5.9,3.8,4.0,NA,8.3%,4.6%
7,Minnesota Timberwolves,43.2,36.8,.540,0.74,0.80,5.74,2-2,41-35,58-22,27-53,65.1%,21.7%,1.1,3.2,5,7,9.1,11.5,14.4,13.8,NA,36.9,14.1,14.4,12.5,8.9,13.4,NA,3.4%,1.5%
8,Dallas Mavericks,41.7,38.3,.521,-8.40,1.09,0.60,4-0,38-38,58-22,26-54,51.9%,61.8%,0.4,1.8,2.8,4.8,7.1,10.3,11.8,12.8,NA,27.2,12.8,13.4,12.7,11.4,22.5,NA,1.0%,0.4%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Utah Jazz,41.3,38.7,.516,6.85,0.42,2.85,2-3,39-36,57-23,25-55,47.2%,10.4%,0.3,1.3,2,3.8,5.8,8.2,12,13.8,NA,21.4,10.9,13.5,15.2,13.9,25.2,NA,1.7%,0.7%
10,Portland Trail Blazers,39.6,40.4,.495,5.99,0.50,0.39,2-3,38-37,55-25,25-55,31.1%,5.7%,0.1,0.5,1.2,1.7,3.2,4.6,8.4,11.6,NA,11.1,7.7,11,13.9,16.2,40.1,NA,0.8%,0.3%
11,New Orleans Pelicans,38.5,41.5,.482,-0.97,1.01,-2.97,3-1,36-40,55-25,23-57,24.1%,25.0%,0.1,0.4,0.7,1.3,2.2,4.3,6.2,9,NA,8.9,6.5,8.3,11.2,14,51.1,NA,0.3%,0.1%
12,San Antonio Spurs,35.9,44.1,.449,4.77,0.72,-5.73,2-2,34-42,52-28,19-61,9.4%,9.3%,NA,0.1,0.1,0.3,0.6,1.5,2.6,4.2,NA,2.6,2.4,4.1,6.4,9.8,74.7,NA,0.1%,
13,Oklahoma City Thunder,36.0,44.0,.449,-4.32,1.63,-4.72,3-2,33-42,60-20,20-60,8.7%,0.9%,NA,0.1,0.1,0.2,0.5,1.2,2.5,4.2,NA,2.1,2.2,3.7,6.8,9.4,75.8,NA,0.1%,
14,Houston Rockets,33.7,46.3,.421,1.58,0.93,-7.42,1-3,33-43,48-32,17-63,3.7%,3.7%,NA,NA,NA,0.1,0.3,0.5,1,1.9,NA,0.9,0.8,1.6,2.9,5.3,88.6,NA,,
15,Memphis Grizzlies,27.3,52.7,.342,-1.13,1.51,-12.53,0-5,27-48,42-38,13-67,0.1%,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0.2,0.2,99.6,NA,,
