Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,65.0,17.0,.793,-0.01,-2.93,11.21,52-14,13-3,68-14,58-24,100.0%,100.0%,76.3%,60.2%,65,1,0.602,bos,Celtics
2,Cleveland Cavaliers,51.9,30.1,.632,-0.36,-1.03,3.96,42-24,10-6,58-24,45-37,100.0%,66.5%,8.2%,3.0%,52,1,0.03,cle,Cavaliers
3,Milwaukee Bucks,51.1,30.9,.623,-0.60,1.77,2.72,43-24,8-7,57-25,44-38,100.0%,33.4%,3.8%,1.2%,51,1,0.012,mil,Bucks
4,New York Knicks,48.4,33.6,.591,-0.19,0.07,3.88,39-27,9-7,54-28,41-41,99.3%,,6.3%,2.4%,48,0.993,0.024,ny,Knicks
5,Orlando Magic,47.6,34.4,.580,-0.36,-0.98,1.13,39-28,9-6,54-28,41-41,97.9%,84.5%,1.5%,0.4%,48,0.9790000000000001,0.004,orl,Magic
6,Indiana Pacers,45.1,36.9,.550,-0.16,-0.05,1.54,37-30,8-7,52-30,38-44,89.9%,0.2%,1.5%,0.4%,45,0.899,0.004,ind,Pacers
7,Miami Heat,44.4,37.6,.541,-0.52,-0.59,0.05,36-30,8-8,51-31,37-45,82.2%,15.5%,0.6%,0.1%,44,0.8220000000000001,0.001,mia,Heat
8,Philadelphia 76ers,45.1,36.9,.550,-0.34,-0.79,1.98,36-30,9-7,51-31,38-44,88.0%,,1.8%,0.5%,45,0.88,0.005,phi,76ers
9,Chicago Bulls,39.1,42.9,.477,-0.09,-1.04,-2.14,32-35,7-8,45-37,33-49,22.1%,,,0,39,0.221,0,chi,Bulls
10,Atlanta Hawks,35.9,46.1,.438,-0.29,0.47,-2.15,29-37,7-9,44-38,30-52,15.7%,,,0,36,0.157,0,atl,Hawks
11,Brooklyn Nets,33.4,48.6,.407,0.06,-0.74,-1.97,26-40,7-9,40-42,27-55,5.0%,,,0,33,0.05,0,bkn,Nets
12,Toronto Raptors,28.7,53.3,.350,-0.15,0.26,-4.33,23-44,6-9,37-45,23-59,0,,,0,29,0,0,tor,Raptors
13,Charlotte Hornets,19.8,62.2,.241,-0.45,2.82,-10.34,17-50,3-12,27-55,17-65,0,,,0,20,0,0,cha,Hornets
14,Detroit Pistons,16.3,65.7,.199,-0.05,0.51,-8.25,12-54,4-12,24-58,12-70,0,,,0,16,0,0,det,Pistons
15,Washington Wizards,15.4,66.6,.187,0.10,0.09,-9.53,11-55,4-12,22-60,11-71,0,,,0,15,0,0,wsh,Wizards
1,Oklahoma City Thunder,56.8,25.2,.693,-0.21,0.27,7.46,46-20,11-5,62-20,50-32,100.0%,45.2%,35.5%,13.3%,57,1,0.133,okc,Thunder
2,Minnesota Timberwolves,56.0,26.0,.683,0.02,-0.49,6.49,45-21,11-5,61-21,49-33,100.0%,29.4%,25.0%,9.0%,56,1,0.09,min,T-Wolves
3,Denver Nuggets,56.4,25.6,.688,0.03,-0.21,4.59,47-20,9-6,62-20,50-32,100.0%,25.4%,13.0%,3.3%,56,1,0.033,den,Nuggets
4,LA Clippers,52.4,29.6,.639,0.26,-0.74,4.44,42-24,10-6,58-24,46-36,99.9%,97.1%,9.8%,2.6%,52,0.9990000000000001,0.026000000000000002,lac,Clippers
5,New Orleans Pelicans,50.1,31.9,.611,-0.01,-0.04,4.93,40-26,10-6,56-26,43-39,99.0%,91.5%,10.7%,2.7%,50,0.99,0.027000000000000003,no,Pelicans
6,Sacramento Kings,47.0,35.0,.573,0.47,0.70,1.51,38-27,9-8,53-29,40-42,84.2%,2.3%,1.7%,0.3%,47,0.8420000000000001,0.003,sac,Kings
7,Dallas Mavericks,46.4,35.6,.566,0.32,-0.87,1.63,38-29,8-7,53-29,40-42,76.1%,8.6%,1.4%,0.2%,46,0.7609999999999999,0.002,dal,Mavericks
8,Phoenix Suns,46.1,35.9,.563,-0.56,2.53,2.01,39-28,7-8,52-30,40-42,70.6%,0.6%,1.7%,0.3%,46,0.706,0.003,phx,Suns
9,Golden State Warriors,43.7,38.3,.533,0.40,-0.85,1.96,34-31,10-7,50-32,36-46,36.5%,,0.9%,0.1%,44,0.365,0.001,gs,Warriors
10,Los Angeles Lakers,43.6,38.4,.532,0.62,-0.20,0.14,36-31,8-7,50-32,36-46,30.8%,,0.3%,0,44,0.308,0,lal,Lakers
11,Houston Rockets,39.6,42.4,.482,0.23,-0.42,0.79,31-35,9-7,46-36,32-50,2.9%,,,0,40,0.028999999999999998,0,hou,Rockets
12,Utah Jazz,34.5,47.5,.421,0.11,2.62,-3.00,29-37,6-10,42-40,29-53,0,,,0,34,0,0,uta,Jazz
13,Memphis Grizzlies,28.1,53.9,.342,0.48,-0.01,-6.05,23-44,5-10,34-48,23-59,0,,,0,28,0,0,mem,Grizzlies
14,Portland Trail Blazers,23.3,58.7,.285,0.59,1.04,-7.39,19-47,4-12,31-51,19-63,0,,,0,23,0,0,por,Blazers
15,San Antonio Spurs,18.7,63.3,.228,0.69,0.65,-6.94,14-53,5-10,26-56,14-68,0,,,0,19,0,0,sa,Spurs
