Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.5,25.5,.688,-0.33,0.04,5.87,37-15,19-11,66-16,47-35,100.0%,93.3%,36.9%,25.7%,56,1,0.257,bos
2,Milwaukee Bucks,50.9,31.1,.621,-0.19,0.34,2.14,34-17,17-14,60-22,41-41,99.9%,60.7%,8.7%,4.3%,51,0.9990000000000001,0.043,mil
3,Philadelphia 76ers,50.8,31.2,.620,-0.44,0.75,3.34,33-17,18-14,61-21,40-42,99.9%,6.0%,14.2%,7.5%,51,0.9990000000000001,0.075,phi
4,Cleveland Cavaliers,49.5,32.5,.603,0.12,-0.77,4.60,31-22,18-11,58-24,39-43,99.6%,39.2%,22.6%,13.8%,50,0.996,0.138,cle
5,Brooklyn Nets,48.2,33.8,.588,-0.10,0.31,2.04,31-20,17-14,58-24,38-44,98.7%,0.7%,7.4%,3.7%,48,0.987,0.037000000000000005,bkn
6,Miami Heat,44.1,37.9,.537,0.02,0.23,0.33,29-23,15-15,53-29,35-47,81.3%,71.2%,2.2%,0.8%,44,0.813,0.008,mia
7,New York Knicks,43.0,39.0,.524,-0.10,0.45,1.61,27-25,16-14,54-28,33-49,71.8%,,3.8%,1.8%,43,0.718,0.018000000000000002,ny
8,Atlanta Hawks,40.8,41.2,.498,-0.20,0.32,-0.20,26-26,15-15,52-30,31-51,44.1%,15.5%,1.0%,0.3%,41,0.441,0.003,atl
9,Washington Wizards,40.0,41.0,.493,0.19,0.01,0.15,24-26,16-15,50-31,30-51,39.8%,13.3%,1.3%,0.4%,40,0.39799999999999996,0.004,wsh
10,Chicago Bulls,39.8,42.2,.485,0.44,-0.47,0.32,23-27,17-15,49-33,30-52,33.0%,,1.0%,0.4%,40,0.33,0.004,chi
11,Toronto Raptors,38.5,43.5,.470,0.40,-0.52,0.84,23-30,16-13,48-34,30-52,19.6%,,0.8%,0.3%,38,0.196,0.003,tor
12,Indiana Pacers,37.7,44.3,.459,0.34,-0.11,-1.72,24-28,14-16,48-34,28-54,12.0%,,0.1%,0.1%,38,0.12,0.001,ind
13,Orlando Magic,32.6,49.4,.397,0.35,-0.13,-3.07,20-32,13-17,43-39,24-58,0.2%,,,0,33,0.002,0,orl
14,Detroit Pistons,22.7,58.3,.280,0.75,-0.36,-6.67,13-39,10-19,32-49,14-67,0,,,0,23,0,0,det
15,Charlotte Hornets,25.8,56.2,.315,0.62,-0.22,-5.80,15-37,11-19,35-47,17-65,0,,,0,26,0,0,cha
1,Denver Nuggets,53.5,28.5,.653,-0.21,-0.25,3.71,35-16,19-12,64-18,43-39,100.0%,99.7%,27.0%,12.7%,54,1,0.127,den
2,Memphis Grizzlies,50.9,31.1,.621,-0.29,-0.28,3.81,32-19,19-12,60-22,37-45,100.0%,97.6%,26.8%,12.7%,51,1,0.127,mem
3,Sacramento Kings,47.0,35.0,.573,-0.50,0.05,2.64,29-21,18-14,58-24,36-46,97.4%,79.0%,15.4%,6.0%,47,0.9740000000000001,0.06,sac
4,Dallas Mavericks,42.4,39.6,.517,-0.01,-0.36,0.37,27-25,15-15,51-31,34-48,66.1%,1.5%,3.7%,1.2%,42,0.6609999999999999,0.012,dal
5,New Orleans Pelicans,42.3,39.7,.515,-0.08,-0.34,1.23,26-26,16-14,51-31,33-49,64.0%,0.9%,5.5%,1.8%,42,0.64,0.018000000000000002,no
6,Phoenix Suns,41.8,40.2,.510,-0.02,0.22,0.81,27-26,15-14,52-30,32-50,59.8%,8.9%,4.4%,1.4%,42,0.598,0.013999999999999999,phx
7,LA Clippers,41.8,40.2,.509,-0.79,1.20,-0.68,29-25,13-15,53-29,33-49,52.0%,5.9%,1.8%,0.5%,42,0.52,0.005,lac
8,Golden State Warriors,41.4,40.6,.505,-0.07,0.05,-0.09,26-25,15-16,50-32,31-51,51.5%,6.0%,2.3%,0.5%,41,0.515,0.005,gs
9,Utah Jazz,42.5,39.5,.518,-0.05,-0.12,1.18,27-26,15-14,52-30,33-49,68.0%,0.1%,5.7%,2.1%,42,0.68,0.021,uta
10,Oklahoma City Thunder,40.9,41.1,.499,0.33,-0.65,1.17,24-27,17-14,51-31,31-51,45.8%,,3.4%,1.1%,41,0.45799999999999996,0.011000000000000001,okc
11,Minnesota Timberwolves,41.2,40.8,.502,-0.37,0.52,-0.22,28-26,13-15,51-31,32-50,46.4%,0.1%,1.7%,0.4%,41,0.46399999999999997,0.004,min
12,Portland Trail Blazers,40.6,41.4,.495,-0.27,0.30,0.30,25-26,16-15,51-31,30-52,39.6%,,2.1%,0.5%,41,0.396,0.005,por
13,Los Angeles Lakers,37.9,44.1,.462,-0.07,0.15,-1.30,24-28,14-16,49-33,29-53,9.4%,0.3%,0.3%,0.1%,38,0.094,0.001,lal
14,Houston Rockets,22.4,59.6,.273,0.12,0.48,-7.11,13-38,9-22,33-49,15-67,0,,,0,22,0,0,hou
15,San Antonio Spurs,21.5,60.5,.262,0.42,0.11,-9.31,14-38,7-23,32-50,15-67,0,,,0,22,0,0,sa
