Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.4,25.6,.688,-0.25,0.05,5.68,41-17,15-9,65-17,47-35,100.0%,94.6%,31.6%,21.3%,56,1,0.213,bos
2,Milwaukee Bucks,54.3,27.7,.662,-0.11,0.22,2.97,40-17,14-11,62-20,44-38,100.0%,66.0%,11.6%,6.2%,54,1,0.062,mil
3,Cleveland Cavaliers,52.5,29.5,.640,-0.09,-0.55,5.73,38-22,14-8,59-23,45-37,100.0%,34.0%,31.5%,21.8%,52,1,0.218,cle
4,Philadelphia 76ers,51.3,30.7,.626,-0.50,1.22,3.36,37-19,14-12,60-22,42-40,99.9%,5.4%,12.3%,6.6%,51,0.9990000000000001,0.066,phi
5,Brooklyn Nets,46.5,35.5,.567,0.02,0.25,1.58,33-24,13-12,55-27,36-46,96.4%,,3.8%,1.5%,46,0.9640000000000001,0.015,bkn
6,Miami Heat,43.7,38.3,.533,-0.06,0.62,0.16,32-26,12-12,53-29,35-47,79.5%,75.2%,1.5%,0.6%,44,0.795,0.006,mia
7,New York Knicks,44.5,37.5,.542,0.04,0.23,1.96,32-27,12-11,52-30,35-47,86.2%,,4.5%,2.0%,44,0.862,0.02,ny
8,Atlanta Hawks,40.6,41.4,.495,-0.29,0.76,-0.29,29-29,12-12,50-32,32-50,40.8%,13.8%,0.8%,0.3%,41,0.408,0.003,atl
9,Washington Wizards,40.0,42.0,.488,0.13,-0.16,0.29,27-30,13-12,48-34,32-50,36.5%,10.9%,0.9%,0.3%,40,0.365,0.003,wsh
10,Toronto Raptors,39.7,42.3,.484,0.01,0.36,0.87,28-31,12-11,48-34,31-51,32.1%,,0.9%,0.2%,40,0.321,0.002,tor
11,Chicago Bulls,39.0,43.0,.476,0.31,-0.36,0.29,26-31,13-12,48-34,30-52,25.6%,,0.6%,0.2%,39,0.256,0.002,chi
12,Indiana Pacers,35.2,46.8,.429,0.47,-0.37,-2.27,25-34,10-13,44-38,27-55,2.4%,,,0,35,0.024,0,ind
13,Orlando Magic,34.1,47.9,.415,0.28,-0.13,-2.48,24-35,10-13,43-39,26-56,0.7%,,,0,34,0.006999999999999999,0,orl
14,Detroit Pistons,22.9,59.1,.279,0.69,-0.33,-6.73,15-43,8-16,32-50,16-66,0,,,0,23,0,0,det
15,Charlotte Hornets,24.1,57.9,.293,0.54,-0.13,-6.16,16-43,8-15,33-49,17-65,0,,,0,24,0,0,cha
1,Denver Nuggets,54.3,27.7,.663,-0.40,0.11,3.88,40-18,14-10,62-20,45-37,100.0%,100.0%,28.6%,13.4%,54,1,0.134,den
2,Memphis Grizzlies,50.1,31.9,.611,-0.11,-0.76,3.77,34-22,16-10,59-23,40-42,99.9%,94.7%,25.9%,11.3%,50,0.9990000000000001,0.113,mem
3,Sacramento Kings,45.1,36.9,.550,-0.68,0.62,1.60,32-25,13-12,54-28,35-47,90.9%,45.9%,9.5%,3.2%,45,0.909,0.032,sac
4,Phoenix Suns,44.4,37.6,.541,-0.04,0.18,1.51,32-27,12-11,53-29,36-46,87.9%,41.7%,8.5%,2.8%,44,0.879,0.027999999999999997,phx
5,Dallas Mavericks,43.6,38.4,.531,0.12,-0.95,0.76,31-28,13-10,52-30,34-48,79.4%,3.2%,5.4%,1.5%,44,0.794,0.015,dal
6,New Orleans Pelicans,43.7,38.3,.532,0.06,-0.87,1.80,30-28,14-10,53-29,35-47,81.1%,2.1%,8.8%,3.2%,44,0.8109999999999999,0.032,no
7,LA Clippers,42.2,39.8,.515,-0.64,1.18,-0.47,32-28,10-12,50-32,34-48,54.4%,8.3%,1.9%,0.4%,42,0.544,0.004,lac
8,Golden State Warriors,41.0,41.0,.501,-0.04,-0.10,0.05,29-29,12-12,49-33,32-50,42.1%,4.0%,2.1%,0.5%,41,0.42100000000000004,0.005,gs
9,Minnesota Timberwolves,41.7,40.3,.508,-0.18,0.08,-0.12,31-29,11-11,50-32,32-50,52.0%,,2.5%,0.5%,42,0.52,0.005,min
10,Oklahoma City Thunder,41.3,40.7,.504,0.23,-0.68,1.24,27-29,14-12,50-32,31-51,47.5%,,3.4%,1.1%,41,0.475,0.011000000000000001,okc
11,Utah Jazz,40.9,41.1,.499,0.01,-0.31,0.45,29-30,12-11,49-33,32-50,39.8%,,2.4%,0.6%,41,0.39799999999999996,0.006,uta
12,Portland Trail Blazers,39.6,42.4,.483,-0.17,0.20,-0.33,28-30,12-12,48-34,31-51,21.9%,,1.0%,0.2%,40,0.21899999999999997,0.002,por
13,Los Angeles Lakers,37.1,44.9,.452,-0.08,0.18,-1.56,26-32,11-13,47-35,28-54,3.0%,0.1%,0.1%,0,37,0.03,0,lal
14,Houston Rockets,20.5,61.5,.250,0.32,0.12,-7.58,13-44,8-17,30-52,13-69,0,,,0,20,0,0,hou
15,San Antonio Spurs,19.9,62.1,.242,0.41,-0.02,-9.77,14-44,6-18,29-53,14-68,0,,,0,20,0,0,sa
