Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,55.9,26.1,.682,-0.36,0.14,5.60,38-16,18-10,64-18,46-36,100.0%,94.2%,33.1%,21.9%,56,1,0.21899999999999997,bos
2,Milwaukee Bucks,52.5,29.5,.640,-0.21,0.34,2.52,37-17,16-12,62-20,42-40,100.0%,58.1%,10.6%,5.3%,52,1,0.053,mil
3,Cleveland Cavaliers,51.3,30.7,.626,0.16,-1.06,5.41,34-22,17-9,58-24,42-40,100.0%,41.9%,29.0%,19.0%,51,1,0.19,cle
4,Philadelphia 76ers,50.4,31.6,.615,-0.59,1.09,3.06,34-18,16-14,60-22,41-41,99.8%,5.4%,11.9%,6.1%,50,0.998,0.061,phi
5,Brooklyn Nets,47.1,34.9,.575,-0.10,0.34,1.73,32-22,15-13,57-25,35-47,97.6%,0.4%,5.4%,2.4%,47,0.976,0.024,bkn
6,New York Knicks,43.8,38.2,.535,-0.09,0.42,1.70,30-26,14-12,53-29,34-48,81.7%,,4.7%,2.0%,44,0.8170000000000001,0.02,ny
7,Miami Heat,43.2,38.8,.526,0.08,0.10,0.19,29-25,14-14,52-30,33-49,73.7%,72.1%,1.8%,0.6%,43,0.737,0.006,mia
8,Chicago Bulls,40.7,41.3,.496,0.17,-0.18,0.67,26-28,15-13,51-31,31-51,45.9%,,1.4%,0.5%,41,0.45899999999999996,0.005,chi
9,Atlanta Hawks,40.5,41.5,.493,-0.05,0.05,-0.45,27-28,13-14,50-32,32-50,39.7%,19.8%,0.7%,0.3%,40,0.397,0.003,atl
10,Washington Wizards,38.9,43.1,.474,0.32,-0.48,-0.34,24-29,15-14,47-35,29-53,22.6%,8.1%,0.4%,0.1%,39,0.226,0.001,wsh
11,Toronto Raptors,39.6,42.4,.482,0.32,-0.45,0.90,25-30,15-12,48-34,30-52,29.8%,,0.9%,0.4%,40,0.298,0.004,tor
12,Indiana Pacers,37.3,44.7,.454,0.42,-0.33,-1.83,25-30,12-15,46-36,27-55,9.1%,,0.1%,0,37,0.091,0,ind
13,Orlando Magic,33.4,48.6,.407,0.19,0.06,-2.89,22-33,11-16,42-40,25-57,0.4%,,,0,33,0.004,0,orl
14,Detroit Pistons,23.0,59.0,.280,0.74,-0.43,-6.68,14-41,9-18,32-50,15-67,0,,,0,23,0,0,det
15,Charlotte Hornets,24.2,57.8,.296,0.38,0.19,-6.20,15-40,9-18,34-48,17-65,0,,,0,24,0,0,cha
1,Denver Nuggets,54.4,27.6,.664,-0.23,-0.26,4.15,38-17,16-11,62-20,43-39,100.0%,100.0%,30.3%,15.1%,54,1,0.151,den
2,Memphis Grizzlies,50.0,32.0,.610,-0.19,-0.48,3.63,33-21,17-11,58-24,40-42,99.9%,93.8%,24.4%,11.0%,50,0.9990000000000001,0.11,mem
3,Sacramento Kings,45.8,36.2,.558,-0.64,0.39,2.04,30-23,16-13,55-27,36-46,92.5%,53.5%,11.3%,4.3%,46,0.925,0.043,sac
4,Dallas Mavericks,43.3,38.7,.529,0.07,-0.60,0.65,29-26,14-13,52-30,34-48,73.9%,3.3%,4.1%,1.3%,43,0.7390000000000001,0.013000000000000001,dal
5,New Orleans Pelicans,43.6,38.4,.531,-0.06,-0.49,1.88,29-27,15-11,52-30,34-48,77.5%,2.9%,8.5%,3.2%,44,0.775,0.032,no
6,Phoenix Suns,43.8,38.2,.534,-0.01,0.18,1.35,30-26,14-12,53-29,34-48,81.1%,26.5%,7.3%,2.6%,44,0.8109999999999999,0.026000000000000002,phx
7,Golden State Warriors,42.3,39.7,.516,0.01,-0.16,0.29,28-26,14-14,52-30,33-49,60.6%,9.9%,3.2%,1.0%,42,0.606,0.01,gs
8,LA Clippers,42.7,39.3,.521,-0.72,1.22,-0.38,31-26,12-13,52-30,33-49,61.7%,9.9%,2.2%,0.6%,43,0.617,0.006,lac
9,Oklahoma City Thunder,41.2,40.8,.502,0.17,-0.43,1.12,26-28,15-13,49-33,30-52,43.8%,,3.0%,1.0%,41,0.43799999999999994,0.01,okc
10,Utah Jazz,41.1,40.9,.501,0.01,-0.23,0.82,27-28,14-13,50-32,29-53,43.1%,,3.0%,0.9%,41,0.431,0.009000000000000001,uta
11,Minnesota Timberwolves,40.7,41.3,.497,-0.25,0.33,-0.31,29-28,12-13,49-33,31-51,34.7%,,1.4%,0.3%,41,0.34700000000000003,0.003,min
12,Portland Trail Blazers,40.0,42.0,.487,-0.18,0.21,0.01,26-28,14-14,50-32,31-51,27.0%,,1.2%,0.3%,40,0.27,0.003,por
13,Los Angeles Lakers,37.4,44.6,.456,-0.09,0.26,-1.38,25-30,12-15,47-35,27-55,4.2%,0.1%,0.1%,0,37,0.042,0,lal
14,Houston Rockets,21.2,60.8,.258,0.25,0.35,-7.66,13-41,8-20,30-52,14-68,0,,,0,21,0,0,hou
15,San Antonio Spurs,20.9,61.1,.255,0.48,-0.04,-9.56,14-40,7-21,30-52,14-68,0,,,0,21,0,0,sa
