Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,64.2,17.8,.783,0.01,-1.62,10.31,45-12,19-6,70-12,55-27,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,67.8%,48.8%
2,Cleveland Cavaliers,52.9,29.1,.645,-0.69,0.00,4.60,37-19,16-10,61-21,44-38,100.0%,81.0%,NA,74.5,15.4,6.5,2.4,0.9,0.2,0.1,NA,99.7,0.2,0.1,NA,NA,,NA,11.7%,4.6%
3,Milwaukee Bucks,50.4,31.6,.614,-0.55,0.82,2.97,37-21,13-11,58-24,42-40,99.6%,18.6%,NA,16.2,43.5,22.1,10.8,5,1.4,0.8,NA,97.4,2.1,0.5,NA,NA,,NA,4.9%,1.5%
4,New York Knicks,49.4,32.6,.602,-0.28,0.35,4.07,35-23,14-10,58-24,41-41,99.0%,,NA,6.8,25.3,32.4,18.4,10.2,4.2,1.7,NA,93.1,5,1.9,NA,NA,,NA,7.6%,2.6%
5,Philadelphia 76ers,47.3,34.7,.577,-0.57,-0.10,3.10,33-24,14-11,55-27,38-44,95.3%,,NA,1.2,6.5,14.6,25.1,24.9,15.6,7.4,NA,72.3,16.9,10.3,0.5,NA,,NA,4.3%,1.2%
6,Orlando Magic,46.2,35.8,.563,0.20,-1.91,0.91,32-26,14-10,55-27,37-45,91.1%,51.4%,NA,0.8,4.5,11.6,18.3,21.8,21,13,NA,57.0,24.4,17.8,0.7,0.1,,NA,1.4%,0.3%
7,Miami Heat,45.5,36.5,.555,-0.21,-1.09,0.37,32-25,14-11,54-28,37-45,87.4%,48.6%,NA,0.3,3.5,8.7,15.8,21.7,21.9,15.5,NA,50.0,22.7,26.1,1.3,NA,,NA,0.8%,0.1%
8,Indiana Pacers,44.8,37.2,.546,-0.44,0.77,1.39,33-26,12-11,55-27,36-46,84.7%,0.4%,NA,0.2,1.3,4.2,9.3,15.4,33.4,21,NA,30.4,27.9,38.4,3.3,0.1,,NA,1.5%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,38.7,43.3,.472,-0.26,-0.23,-1.53,27-30,12-13,47-35,29-53,22.7%,,NA,NA,NA,NA,NA,0.2,2.1,20.3,NA,0.2,0.8,4.4,71.4,17.6,5.6,NA,,
10,Atlanta Hawks,36.1,45.9,.440,-0.02,-0.22,-2.23,25-32,11-14,46-36,27-55,12.5%,,NA,NA,NA,NA,NA,NA,0.2,12.3,NA,,NA,0.5,15,50.4,34.1,NA,,
11,Brooklyn Nets,33.9,48.1,.413,0.47,-1.22,-2.00,22-35,12-13,42-40,25-57,6.1%,,NA,NA,NA,NA,NA,NA,NA,6.1,NA,,NA,0.1,6.2,22.4,71.3,NA,,
12,Toronto Raptors,32.3,49.7,.394,0.01,-0.30,-3.02,22-36,10-14,41-41,24-58,1.8%,,NA,NA,NA,NA,NA,NA,NA,1.7,NA,,NA,NA,1.6,9.4,89.0,NA,,
13,Charlotte Hornets,20.6,61.4,.251,-0.14,1.03,-10.18,15-42,6-19,29-53,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Washington Wizards,15.8,66.2,.193,0.34,-0.28,-9.50,9-48,7-18,26-56,9-73,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,15.0,67.0,.183,0.24,-0.08,-8.74,8-49,7-18,24-58,8-74,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Oklahoma City Thunder,57.8,24.2,.705,-0.08,-0.54,8.06,40-17,18-7,65-17,49-33,100.0%,49.7%,49,38.2,10.2,2.6,0.1,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,40.2%,19.7%
2,Minnesota Timberwolves,57.4,24.6,.700,-0.03,-0.54,7.15,40-17,17-8,65-17,48-34,100.0%,47.8%,46.8,36.9,12.5,3.6,0.2,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,29.6%,12.5%
3,Denver Nuggets,53.7,28.3,.655,0.00,-0.12,3.85,39-19,15-9,61-21,46-36,100.0%,2.5%,2.4,10.2,38.6,41.8,6,0.8,0.1,NA,NA,99.9,0.1,NA,NA,NA,,NA,7.9%,2.3%
4,Los Angeles Clippers,53.3,28.7,.650,-0.01,-0.01,4.69,37-19,16-10,63-19,44-38,99.9%,97.5%,1.8,14.4,36.6,38.1,7.2,1.3,0.3,0.2,NA,99.4,0.4,0.1,NA,NA,,NA,11.2%,3.5%
5,New Orleans Pelicans,48.1,33.9,.587,-0.19,0.34,3.88,34-24,14-10,57-25,39-43,93.8%,74.3%,NA,0.2,1.8,9.9,45.3,20.8,10.1,5.7,NA,78.1,11.7,6.1,3.1,1,0.1,NA,5.9%,1.7%
6,Sacramento Kings,46.0,36.0,.561,0.38,0.66,1.01,33-24,13-12,55-27,38-44,75.9%,1.5%,NA,NA,0.2,1.5,13,26.5,20.3,14.4,NA,41.2,23.1,19.1,11.8,4.2,0.6,NA,1.1%,0.2%
7,Dallas Mavericks,46.1,35.9,.562,0.03,0.10,1.19,33-24,13-12,54-28,38-44,76.0%,25.6%,NA,NA,0.1,1.6,16.5,22.2,20.5,15.2,NA,40.3,22.9,19.5,12.4,4.3,0.5,NA,1.4%,0.2%
8,Phoenix Suns,45.6,36.4,.556,-1.16,2.54,1.86,34-24,12-12,54-28,37-45,70.5%,0.7%,NA,NA,0.1,0.6,8.6,19.4,23.7,18.2,NA,28.7,23.7,22.9,16.2,7.6,0.9,NA,1.3%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Golden State Warriors,44.1,37.9,.538,0.59,-1.13,2.32,29-27,15-11,53-29,34-48,54.1%,0.2%,NA,NA,NA,0.2,2.9,7.3,18.6,25.2,NA,10.3,13.7,21.5,31.4,20.6,2.5,NA,1.3%,0.3%
10,Los Angeles Lakers,41.9,40.1,.511,0.26,0.90,-0.25,31-28,11-12,50-32,34-48,25.1%,0.1%,NA,NA,NA,NA,0.3,1.8,6,16.9,NA,2.1,4.2,9.9,22,45.7,16.1,NA,0.2%,
11,Houston Rockets,38.2,43.8,.466,0.42,-0.88,0.44,25-32,13-12,47-35,29-53,4.4%,0.1%,NA,NA,NA,NA,NA,NA,0.5,3.9,NA,,0.2,0.8,2.7,14.1,82.2,NA,,
12,Utah Jazz,36.3,45.7,.443,0.01,1.71,-2.39,27-31,9-15,44-38,29-53,0.4%,,NA,NA,NA,NA,NA,NA,NA,0.4,NA,,NA,NA,0.4,2.5,97.1,NA,,
13,Memphis Grizzlies,29.4,52.6,.359,0.83,-1.11,-5.43,20-38,9-15,39-43,21-61,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Portland Trail Blazers,21.7,60.3,.265,0.52,1.06,-8.50,15-41,7-19,31-51,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,San Antonio Spurs,17.2,64.8,.210,0.34,1.54,-8.34,11-47,6-18,26-56,11-71,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
