Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,54.7,27.3,.667,-0.30,0.02,5.52,28-12,27-15,65-17,43-39,100.0%,69.6%,30.1%,19.2%,55,1,0.192,bos
2,Brooklyn Nets,52.4,29.6,.639,-0.01,0.01,3.96,27-13,25-17,63-19,40-42,99.8%,26.8%,18.1%,10.1%,52,0.998,0.10099999999999999,bkn
3,Cleveland Cavaliers,51.7,30.3,.630,-0.01,-0.35,4.91,26-15,26-15,62-20,41-41,99.9%,81.5%,24.0%,14.7%,52,0.9990000000000001,0.147,cle
4,Philadelphia 76ers,48.2,33.8,.587,-0.41,0.49,3.21,24-15,24-19,60-22,34-48,97.1%,3.2%,11.0%,5.5%,48,0.971,0.055,phi
5,Milwaukee Bucks,47.3,34.7,.577,-0.10,0.25,1.11,25-14,22-21,59-23,37-45,94.6%,16.7%,4.3%,1.6%,47,0.946,0.016,mil
6,New York Knicks,45.3,36.7,.553,-0.30,0.47,2.58,22-18,23-19,57-25,32-50,88.2%,0.4%,7.4%,3.5%,45,0.882,0.035,ny
7,Indiana Pacers,43.2,38.8,.527,0.02,0.25,0.07,23-18,20-21,56-26,31-51,67.9%,1.5%,1.6%,0.6%,43,0.679,0.006,ind
8,Chicago Bulls,41.2,40.8,.503,0.90,-0.64,0.47,19-21,22-20,54-28,28-54,49.2%,0.3%,1.5%,0.5%,41,0.49200000000000005,0.005,chi
9,Miami Heat,40.5,41.5,.494,-0.28,0.55,-0.52,21-20,19-22,51-31,29-53,40.6%,57.3%,0.7%,0.2%,40,0.406,0.002,mia
10,Toronto Raptors,39.0,43.0,.476,0.68,-0.44,0.68,17-23,22-20,50-32,28-54,26.0%,,0.9%,0.4%,39,0.26,0.004,tor
11,Washington Wizards,38.4,43.6,.468,0.62,-0.42,-0.38,17-23,21-21,51-31,26-56,19.7%,22.1%,0.3%,0.1%,38,0.19699999999999998,0.001,wsh
12,Atlanta Hawks,38.1,43.9,.464,-0.29,0.39,-1.44,19-21,19-23,51-31,27-55,16.7%,20.1%,0.2%,0.1%,38,0.16699999999999998,0.001,atl
13,Orlando Magic,31.5,50.5,.384,-0.10,0.48,-3.55,15-25,16-26,42-40,20-62,0.3%,0.5%,,0,32,0.003,0,orl
14,Detroit Pistons,24.1,57.9,.294,0.70,0.01,-6.61,11-32,13-26,35-47,13-69,0,,,0,24,0,0,det
15,Charlotte Hornets,25.5,56.5,.310,0.46,0.19,-5.77,11-30,14-27,37-45,14-68,0,,,0,26,0,0,cha
1,Memphis Grizzlies,53.3,28.7,.650,-0.01,-0.55,4.94,26-13,27-16,65-17,41-41,100.0%,80.8%,33.1%,17.7%,53,1,0.177,mem
2,Denver Nuggets,50.2,31.8,.612,-0.40,0.09,2.52,26-13,24-19,63-19,38-44,99.8%,96.4%,14.8%,6.0%,50,0.998,0.06,den
3,New Orleans Pelicans,49.3,32.7,.601,-0.13,-0.35,3.87,24-16,25-17,61-21,38-44,99.6%,16.5%,22.3%,10.6%,49,0.996,0.106,no
4,Dallas Mavericks,45.5,36.5,.554,0.20,-0.46,1.61,23-18,22-19,57-25,33-49,93.6%,2.7%,8.0%,2.7%,46,0.9359999999999999,0.027000000000000003,dal
5,Sacramento Kings,43.4,38.6,.530,-0.03,-0.36,1.05,20-18,23-21,55-27,32-50,80.1%,44.7%,5.8%,1.8%,43,0.8009999999999999,0.018000000000000002,sac
6,Phoenix Suns,42.7,39.3,.520,0.20,-0.16,1.93,20-21,23-18,54-28,30-52,77.9%,39.3%,7.4%,2.7%,43,0.779,0.027000000000000003,phx
7,Portland Trail Blazers,40.6,41.4,.496,-0.30,0.20,-0.15,19-20,22-21,53-29,28-54,50.2%,1.3%,1.6%,0.5%,41,0.502,0.005,por
8,Utah Jazz,40.4,41.6,.493,-0.06,-0.08,0.59,20-23,20-19,51-31,28-54,49.0%,1.2%,2.9%,0.9%,40,0.49,0.009000000000000001,uta
9,Golden State Warriors,39.6,42.4,.483,-0.23,0.27,-1.00,20-20,20-22,53-29,28-54,38.0%,8.5%,0.8%,0.2%,40,0.38,0.002,gs
10,Minnesota Timberwolves,39.3,42.7,.479,-0.44,0.34,-0.78,20-21,19-22,52-30,26-56,33.7%,0.7%,1.2%,0.3%,39,0.337,0.003,min
11,Oklahoma City Thunder,39.1,42.9,.476,0.26,-0.20,0.03,18-22,21-21,51-31,27-55,32.8%,0.4%,1.3%,0.3%,39,0.32799999999999996,0.003,okc
12,LA Clippers,38.6,43.4,.470,-0.74,0.63,-1.83,21-21,18-22,49-33,27-55,24.1%,4.3%,0.4%,0.1%,39,0.24100000000000002,0.001,lac
13,Los Angeles Lakers,38.3,43.7,.467,-0.45,0.49,-1.33,19-21,19-23,49-33,27-55,21.3%,3.3%,0.5%,0.1%,38,0.213,0.001,lal
14,San Antonio Spurs,24.8,57.2,.303,0.27,0.33,-8.31,13-27,12-30,36-46,15-67,0,,,0,25,0,0,sa
15,Houston Rockets,23.8,58.2,.290,0.25,0.24,-6.55,10-30,14-28,36-46,14-68,0,,,0,24,0,0,hou
