Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,57.6,24.4,.702,-0.07,0.09,4.08,48-18,10-6,64-18,50-32,100.0%,99.4%,18.8%,11.5%,58,1,0.115,mil
2,Boston Celtics,55.8,26.2,.681,0.01,-0.77,5.44,46-21,10-5,61-21,49-33,100.0%,88.5%,28.0%,19.0%,56,1,0.19,bos
3,Philadelphia 76ers,53.1,28.9,.647,-0.18,1.06,3.89,44-22,9-7,60-22,46-36,100.0%,11.5%,14.7%,8.4%,53,1,0.084,phi
4,Cleveland Cavaliers,51.0,31.0,.622,0.13,-1.78,5.48,42-27,9-4,55-27,44-38,100.0%,0.6%,25.3%,16.8%,51,1,0.168,cle
5,New York Knicks,47.3,34.7,.577,0.20,-0.63,3.03,39-29,8-6,53-29,40-42,99.0%,,7.6%,4.1%,47,0.99,0.040999999999999995,ny
6,Brooklyn Nets,46.0,36.0,.561,0.15,0.25,1.04,38-29,8-7,52-30,38-44,95.5%,,2.7%,1.1%,46,0.955,0.011000000000000001,bkn
7,Miami Heat,42.9,39.1,.523,0.28,-0.23,-0.38,36-32,7-7,49-33,37-45,71.9%,72.9%,0.6%,0.2%,43,0.7190000000000001,0.002,mia
8,Atlanta Hawks,41.6,40.4,.508,-0.05,0.45,0.13,34-33,8-7,48-34,35-47,62.9%,25.1%,0.9%,0.4%,42,0.629,0.004,atl
9,Toronto Raptors,39.0,43.0,.476,0.09,0.49,0.30,32-36,7-7,45-37,33-49,25.0%,,0.6%,0.2%,39,0.25,0.002,tor
10,Chicago Bulls,38.6,43.4,.470,0.23,-0.36,0.84,30-36,9-7,46-36,31-51,22.3%,,0.5%,0.2%,39,0.223,0.002,chi
11,Washington Wizards,38.7,43.3,.472,0.18,-0.19,-0.05,31-36,8-7,45-37,31-51,18.4%,2.0%,0.3%,0.2%,39,0.184,0.002,wsh
12,Indiana Pacers,36.4,45.6,.444,0.24,0.34,-2.00,30-37,6-9,43-39,31-51,5.0%,,,0,36,0.05,0,ind
13,Orlando Magic,33.2,48.8,.405,0.18,0.22,-2.78,27-40,6-9,40-42,27-55,0.1%,,,0,33,0.001,0,orl
14,Detroit Pistons,19.7,62.3,.240,0.64,-0.43,-6.96,15-52,5-10,27-55,15-67,0,,,0,20,0,0,det
15,Charlotte Hornets,26.8,55.2,.327,0.17,1.05,-5.49,22-46,5-9,33-49,22-60,0,,,0,27,0,0,cha
1,Denver Nuggets,54.7,27.3,.667,-0.44,0.37,3.56,46-21,9-6,61-21,48-34,100.0%,100.0%,26.4%,11.8%,55,1,0.11800000000000001,den
2,Memphis Grizzlies,49.8,32.2,.608,-0.11,-1.31,3.77,39-26,11-6,56-26,43-39,100.0%,99.6%,26.2%,11.6%,50,1,0.11599999999999999,mem
3,Sacramento Kings,48.2,33.8,.587,-0.55,0.44,2.22,39-26,9-8,55-27,41-41,100.0%,73.7%,14.3%,5.0%,48,1,0.05,sac
4,Phoenix Suns,45.9,36.1,.560,-0.15,0.44,2.25,37-29,9-7,52-30,38-44,99.4%,25.9%,14.3%,5.1%,46,0.9940000000000001,0.051,phx
5,Dallas Mavericks,42.0,40.0,.512,-0.06,-1.01,0.69,34-33,8-7,48-34,35-47,73.4%,0.3%,4.7%,1.3%,42,0.7340000000000001,0.013000000000000001,dal
6,Golden State Warriors,41.5,40.5,.506,-0.15,0.14,0.22,34-33,7-8,48-34,34-48,62.6%,0.3%,2.9%,0.8%,42,0.626,0.008,gs
7,New Orleans Pelicans,41.0,41.0,.500,0.08,-1.39,0.72,32-34,9-7,48-34,34-48,56.5%,0.1%,3.3%,0.9%,41,0.565,0.009000000000000001,no
8,LA Clippers,41.7,40.3,.508,-0.38,0.86,-0.53,35-33,7-7,49-33,35-47,60.9%,0.1%,1.9%,0.4%,42,0.609,0.004,lac
9,Minnesota Timberwolves,40.5,41.5,.493,-0.23,0.33,-0.56,34-34,6-8,47-35,35-47,45.9%,,1.5%,0.3%,40,0.45899999999999996,0.003,min
10,Los Angeles Lakers,40.5,41.5,.494,0.02,-0.59,-0.56,33-34,8-7,48-34,34-48,39.6%,,1.2%,0.2%,40,0.396,0.002,lal
11,Oklahoma City Thunder,39.8,42.2,.486,0.10,-1.07,1.28,31-35,9-7,47-35,32-50,32.8%,,2.4%,0.6%,40,0.32799999999999996,0.006,okc
12,Utah Jazz,39.1,42.9,.477,-0.24,0.62,-0.32,32-35,7-8,46-36,33-49,21.9%,,0.6%,0.2%,39,0.21899999999999997,0.002,uta
13,Portland Trail Blazers,37.9,44.1,.462,-0.21,0.57,-1.26,31-36,7-8,45-37,31-51,7.2%,,0.2%,0.1%,38,0.07200000000000001,0.001,por
14,Houston Rockets,19.2,62.8,.235,0.06,0.94,-8.13,15-51,4-12,26-56,15-67,0,,,0,19,0,0,hou
15,San Antonio Spurs,20.4,61.6,.249,0.04,1.03,-9.94,17-49,3-13,27-55,17-65,0,,,0,20,0,0,sa
