Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.7,19.3,.765,0.49,-1.03,10.94,28-8,35-11,72-10,52-30,100.0%,97.7%,60.5%,44.2%,63,1,0.442,bos,Celtics
2,Philadelphia 76ers,54.9,27.1,.669,-0.70,-0.49,7.53,23-12,32-15,65-17,43-39,100.0%,2.3%,23.1%,13.2%,55,1,0.132,phi,76ers
3,Milwaukee Bucks,50.1,31.9,.611,-1.08,0.65,3.14,25-12,25-20,61-21,39-43,98.4%,63.3%,3.9%,1.4%,50,0.9840000000000001,0.013999999999999999,mil,Bucks
4,New York Knicks,49.1,32.9,.599,0.03,0.07,4.03,22-15,27-18,63-19,37-45,97.6%,,5.6%,2.1%,49,0.976,0.021,ny,Knicks
5,Indiana Pacers,47.1,34.9,.575,0.06,-0.25,2.70,21-15,26-20,59-23,35-47,93.3%,24.4%,3.0%,0.9%,47,0.9329999999999999,0.009000000000000001,ind,Pacers
6,Orlando Magic,46.4,35.6,.566,0.24,-1.05,1.57,21-16,25-20,58-24,35-47,90.9%,62.7%,1.6%,0.4%,46,0.909,0.004,orl,Magic
7,Cleveland Cavaliers,46.2,35.8,.563,-0.05,-0.45,1.67,21-15,25-21,57-25,34-48,88.3%,12.3%,1.6%,0.5%,46,0.883,0.005,cle,Cavaliers
8,Miami Heat,44.6,37.4,.544,-0.79,-0.12,0.27,21-15,24-22,57-25,33-49,79.6%,37.0%,0.7%,0.1%,45,0.7959999999999999,0.001,mia,Heat
9,Atlanta Hawks,36.3,45.7,.442,0.06,-0.05,-1.48,14-21,22-25,48-34,25-57,11.0%,0.3%,,0,36,0.11,0,atl,Hawks
10,Chicago Bulls,37.3,44.7,.454,0.15,-0.55,-2.00,17-21,20-24,49-33,26-56,15.3%,,,0,37,0.153,0,chi,Bulls
11,Toronto Raptors,36.5,45.5,.446,-0.22,0.10,-0.92,15-22,22-23,48-34,24-58,13.1%,,,0,36,0.131,0,tor,Raptors
12,Brooklyn Nets,36.3,45.7,.443,-0.21,0.22,-1.86,16-21,20-25,47-35,25-57,12.5%,,,0,36,0.125,0,bkn,Nets
13,Charlotte Hornets,20.9,61.1,.255,0.45,0.27,-10.05,8-26,13-35,34-48,9-73,0,,,0,21,0,0,cha,Hornets
14,Washington Wizards,17.9,64.1,.219,0.25,0.30,-10.58,6-30,12-34,29-53,9-73,0,,,0,18,0,0,wsh,Wizards
15,Detroit Pistons,14.7,67.3,.179,0.73,-0.08,-10.65,3-34,12-33,26-56,4-78,0,,,0,15,0,0,det,Pistons
1,Minnesota Timberwolves,57.2,24.8,.698,0.90,-1.13,6.62,26-10,31-15,69-13,45-37,100.0%,51.3%,24.5%,9.8%,57,1,0.098,min,T-Wolves
2,Oklahoma City Thunder,56.4,25.6,.688,0.34,-0.78,7.92,24-11,32-15,67-15,43-39,100.0%,38.9%,34.9%,15.6%,56,1,0.156,okc,Thunder
3,Denver Nuggets,53.9,28.1,.657,-0.04,-0.29,5.38,26-12,28-16,65-17,41-41,99.9%,9.9%,14.9%,5.0%,54,0.9990000000000001,0.05,den,Nuggets
4,LA Clippers,51.5,30.5,.628,-0.40,0.06,5.24,23-13,28-18,63-19,38-44,99.5%,93.4%,13.3%,4.2%,52,0.995,0.042,lac,Clippers
5,New Orleans Pelicans,48.7,33.3,.594,-0.14,-0.11,4.02,22-15,27-18,61-21,37-45,96.0%,69.8%,7.0%,1.8%,49,0.96,0.018000000000000002,no,Pelicans
6,Sacramento Kings,44.8,37.2,.547,0.18,0.51,0.54,22-14,23-23,58-24,32-50,71.7%,5.2%,1.0%,0.2%,45,0.7170000000000001,0.002,sac,Kings
7,Houston Rockets,44.8,37.2,.546,0.35,-0.55,2.67,18-17,27-20,56-26,32-50,75.4%,19.0%,2.4%,0.5%,45,0.754,0.005,hou,Rockets
8,Dallas Mavericks,44.1,37.9,.538,-0.89,0.73,0.80,22-16,22-22,58-24,33-49,66.9%,11.2%,1.0%,0.1%,44,0.669,0.001,dal,Mavericks
9,Golden State Warriors,41.8,40.2,.509,0.89,-0.74,1.08,17-19,25-21,54-28,29-53,44.4%,1.0%,0.7%,0.2%,42,0.444,0.002,gs,Warriors
10,Los Angeles Lakers,40.0,42.0,.488,0.39,0.32,-0.69,19-19,21-23,52-30,27-55,24.7%,0.3%,0.2%,0,40,0.247,0,lal,Lakers
11,Phoenix Suns,39.3,42.7,.480,-1.47,1.07,-0.69,19-18,20-25,51-31,26-56,19.5%,0.2%,0.1%,0,39,0.195,0,phx,Suns
12,Utah Jazz,35.2,46.8,.430,-0.12,1.03,-3.73,18-20,17-27,47-35,25-57,1.9%,,,0,35,0.019,0,uta,Jazz
13,Memphis Grizzlies,31.3,50.7,.381,0.12,0.23,-4.94,14-23,17-28,42-40,19-63,0.1%,,,0,31,0.001,0,mem,Grizzlies
14,Portland Trail Blazers,22.4,59.6,.273,-0.67,1.64,-8.62,10-26,12-34,34-48,12-70,0,,,0,22,0,0,por,Blazers
15,San Antonio Spurs,17.6,64.4,.214,1.28,0.25,-10.09,5-30,13-34,30-52,9-73,0,,,0,18,0,0,sa,Spurs
