Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,59.5,22.5,.725,1.17,-0.73,9.61,18-5,41-18,73-9,47-35,100.0%,74.1%,72.2,22.6,4.2,0.9,0.1,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,43.0%,30.1%
2,Philadelphia 76ers,56.8,25.2,.692,-0.24,-0.59,8.98,16-7,41-18,68-14,43-39,100.0%,25.9%,25,56.8,13.3,3.8,0.9,0.1,0.1,NA,NA,99.9,0.1,NA,NA,NA,,NA,35.3%,23.6%
3,Orlando Magic,50.7,31.3,.618,-1.06,-0.18,4.07,16-7,35-24,66-16,35-47,98.8%,94.8%,1.9,11.9,40.7,24.5,11.1,5.1,2.3,1.3,NA,95.2,2.8,1.3,0.5,0.2,0.1,NA,7.5%,3.3%
4,Milwaukee Bucks,49.3,32.7,.602,-0.91,0.28,2.97,17-7,32-26,62-20,36-46,97.0%,69.5%,0.8,6.9,25.5,30,16.5,10.2,4.3,2.7,NA,89.9,5.3,2.9,1.3,0.5,0.1,NA,4.6%,1.8%
5,Indiana Pacers,45.3,36.7,.552,-0.77,0.25,2.14,13-9,32-28,59-23,33-49,81.8%,21.4%,0.1,0.9,5.9,13.1,17.8,18,15.1,11,NA,55.7,16,13,8.6,4.4,2.3,NA,2.2%,0.8%
6,New York Knicks,44.8,37.2,.546,-0.71,0.65,2.38,13-10,32-27,59-23,31-51,79.8%,,NA,0.4,3.8,9.5,17.3,18.1,17.4,13.3,NA,49.1,18.1,14.8,10.4,5.1,2.5,NA,2.6%,0.9%
7,Brooklyn Nets,44.9,37.1,.547,0.25,-0.13,2.21,13-11,32-26,58-24,30-52,80.1%,,NA,0.3,3.6,8.9,17.1,19.8,17,13.5,NA,49.6,17.1,15.2,10.5,5.3,2.3,NA,2.6%,0.9%
8,Cleveland Cavaliers,43.6,38.4,.532,1.38,-0.71,0.94,13-12,31-26,59-23,29-53,69.6%,9.1%,NA,0.2,2.1,6.1,12.1,15.5,17.9,15.7,NA,36.0,18.1,18.2,14.2,8.5,5.1,NA,1.4%,0.4%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Miami Heat,41.8,40.2,.510,-1.36,0.34,-0.40,14-11,28-29,55-27,30-52,49.0%,4.1%,NA,0.1,0.7,2.6,5.1,9.1,14.8,16.7,NA,17.5,14.1,18.2,22.2,16.5,11.5,NA,0.4%,0.1%
10,Atlanta Hawks,38.9,43.1,.475,0.84,-0.17,0.01,9-14,30-29,53-29,26-56,24.4%,1.1%,NA,NA,0.1,0.5,1.4,2.5,6.6,13.3,NA,4.5,4.9,9.3,16.5,26.4,38.3,NA,0.3%,0.1%
11,Toronto Raptors,37.8,44.2,.460,0.53,-0.09,-1.02,10-14,28-30,51-31,25-57,16.1%,,NA,NA,NA,0.2,0.6,1.5,4,9.9,NA,2.3,3.1,6,12.1,24.6,51.9,NA,0.2%,
12,Chicago Bulls,34.1,47.9,.416,0.38,-0.27,-3.39,10-16,24-32,46-36,21-61,3.4%,,NA,NA,NA,NA,NA,0.1,0.7,2.6,NA,0.2,0.4,1.2,3.7,8.5,86.1,NA,,
13,Charlotte Hornets,26.4,55.6,.322,-0.18,0.57,-7.95,7-15,19-41,41-41,13-69,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0.1,99.9,NA,,
14,Washington Wizards,19.9,62.1,.242,0.84,0.32,-10.25,3-20,17-42,35-47,8-74,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,18.3,63.7,.223,0.34,0.40,-10.12,2-22,16-42,32-50,7-75,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Minnesota Timberwolves,55.7,26.3,.679,-0.77,-0.25,6.53,18-5,38-21,69-13,41-41,99.9%,62.4%,59,22.1,10.4,5.1,2.2,0.6,0.3,0.1,NA,99.4,0.4,0.1,NA,NA,,NA,26.3%,11.6%
2,Oklahoma City Thunder,53.2,28.8,.648,-0.12,-0.36,6.88,15-8,38-21,68-14,40-42,99.3%,24.1%,22.4,30.6,21.6,12.6,6.8,3.2,1.4,0.9,NA,97.1,1.7,0.7,0.3,0.2,,NA,28.2%,12.6%
3,Denver Nuggets,51.7,30.3,.630,0.58,-0.65,4.69,17-9,35-21,65-17,38-44,98.3%,13.5%,12.3,23.8,24,17.1,10.9,6.1,2.7,1.4,NA,94.2,3,1.6,0.8,0.4,0.1,NA,14.9%,5.2%
4,Houston Rockets,48.6,33.4,.592,0.15,-0.53,4.39,12-9,37-24,62-20,35-47,91.0%,64.3%,3.5,9.7,15.5,18.4,16.7,12.5,8.9,5.9,NA,76.2,9,6,4.5,3,1.3,NA,11.0%,3.8%
5,Los Angeles Clippers,47.3,34.7,.577,-1.18,0.20,3.74,14-10,33-25,61-21,33-49,85.7%,48.7%,1.4,6.4,10.8,15.2,16.8,14.3,11.9,9,NA,64.9,11.5,9.7,6.7,5,2.3,NA,8.1%,2.7%
6,Dallas Mavericks,45.5,36.5,.555,-1.05,0.19,1.37,15-9,31-27,60-22,31-51,70.0%,24.6%,0.4,2.5,5.3,8.6,12,14.6,13.8,12.8,NA,43.4,14.7,13.3,12.4,9.6,6.7,NA,2.6%,0.6%
7,Sacramento Kings,45.1,36.9,.550,1.36,-0.19,1.01,14-9,31-28,59-23,31-51,63.7%,20.3%,0.4,1.8,4.3,7.6,10.5,12.3,13.4,13.4,NA,36.9,14.3,14.7,13.2,11.7,9.2,NA,2.2%,0.4%
8,Los Angeles Lakers,45.0,37.0,.548,0.10,0.24,1.22,15-10,30-27,59-23,30-52,64.2%,20.9%,0.3,1.8,4.3,7.5,9.9,12.4,14.4,13.6,NA,36.2,14.3,15.2,14.1,11.8,8.4,NA,2.4%,0.6%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,New Orleans Pelicans,43.9,38.1,.535,0.29,-0.26,0.97,14-11,30-27,57-25,30-52,53.9%,11.0%,0.1,0.9,2.2,4.2,7.4,10.7,13.3,15.1,NA,25.5,13.2,15.1,16.1,15.5,14.7,NA,1.7%,0.3%
10,Golden State Warriors,42.6,39.4,.520,1.86,-0.95,1.78,10-14,33-25,56-26,28-54,42.4%,6.4%,0.1,0.4,1.1,2.4,4.2,7.8,11.4,14.9,NA,16.0,10,13.1,16.1,20.4,24.3,NA,2.1%,0.5%
11,Phoenix Suns,41.7,40.3,.508,-1.61,0.48,0.30,13-11,29-29,56-26,27-55,31.7%,3.7%,NA,0.2,0.6,1.3,2.6,5.5,8.6,13,NA,10.1,8,10.7,15.8,22.4,33.0,NA,0.7%,0.1%
12,Utah Jazz,26.5,55.5,.323,-0.34,1.00,-8.10,9-16,17-40,41-41,13-69,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
13,Memphis Grizzlies,25.7,56.3,.314,-1.01,0.70,-7.27,6-17,20-39,40-42,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Portland Trail Blazers,25.2,56.8,.307,-0.73,0.93,-7.60,6-17,19-40,40-42,11-71,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,San Antonio Spurs,20.6,61.4,.251,1.91,0.04,-9.70,3-20,18-41,36-46,8-74,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
