Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.7,19.3,.765,0.46,-1.03,10.91,28-8,35-11,72-10,53-29,100.0%,97.6%,60.5%,45.6%,63,1,0.456,bos,Celtics
2,Philadelphia 76ers,54.9,27.1,.669,-0.69,-0.50,7.54,23-12,32-15,65-17,40-42,100.0%,2.4%,23.7%,13.6%,55,1,0.136,phi,76ers
3,Milwaukee Bucks,50.2,31.8,.612,-1.06,0.63,3.15,25-12,25-20,63-19,39-43,98.4%,63.6%,3.9%,1.4%,50,0.9840000000000001,0.013999999999999999,mil,Bucks
4,New York Knicks,48.4,33.6,.590,0.26,-0.08,3.59,21-15,27-19,60-22,36-46,96.0%,,4.5%,1.7%,48,0.96,0.017,ny,Knicks
5,Orlando Magic,47.4,34.6,.578,0.08,-0.93,2.02,21-15,26-20,58-24,35-47,93.3%,70.8%,1.9%,0.6%,47,0.9329999999999999,0.006,orl,Magic
6,Indiana Pacers,47.1,34.9,.575,0.07,-0.26,2.71,21-15,26-20,58-24,34-48,93.0%,23.6%,3.1%,1.1%,47,0.93,0.011000000000000001,ind,Pacers
7,Cleveland Cavaliers,46.3,35.7,.564,-0.01,-0.48,1.71,21-15,25-21,57-25,34-48,88.7%,12.8%,1.6%,0.4%,46,0.887,0.004,cle,Cavaliers
8,Miami Heat,44.6,37.4,.544,-0.83,-0.08,0.23,21-15,24-22,55-27,33-49,78.7%,28.9%,0.7%,0.2%,45,0.787,0.002,mia,Heat
9,Toronto Raptors,36.9,45.1,.450,-0.21,0.06,-0.91,15-21,22-24,49-33,26-56,14.4%,,0.1%,0,37,0.14400000000000002,0,tor,Raptors
10,Chicago Bulls,37.3,44.7,.454,0.18,-0.58,-1.97,17-21,20-24,50-32,27-55,14.4%,,,0,37,0.14400000000000002,0,chi,Bulls
11,Brooklyn Nets,36.3,45.7,.443,-0.17,0.18,-1.82,16-21,20-25,47-35,25-57,12.5%,,,0,36,0.125,0,bkn,Nets
12,Atlanta Hawks,36.2,45.8,.442,0.03,-0.03,-1.51,14-21,22-25,48-34,25-57,10.7%,0.3%,,0,36,0.107,0,atl,Hawks
13,Charlotte Hornets,20.9,61.1,.255,0.42,0.29,-10.08,8-26,13-35,32-50,11-71,0,,,0,21,0,0,cha,Hornets
14,Washington Wizards,17.9,64.1,.218,0.27,0.29,-10.56,6-30,12-34,29-53,9-73,0,,,0,18,0,0,wsh,Wizards
15,Detroit Pistons,15.3,66.7,.186,0.73,-0.09,-10.38,3-33,12-34,27-55,5-77,0,,,0,15,0,0,det,Pistons
1,Oklahoma City Thunder,56.4,25.6,.688,0.30,-0.77,7.87,24-11,32-15,67-15,43-39,100.0%,45.5%,35.5%,15.6%,56,1,0.156,okc,Thunder
2,Minnesota Timberwolves,56.2,25.8,.686,0.83,-1.02,6.11,25-10,31-16,68-14,45-37,100.0%,41.3%,21.2%,7.8%,56,1,0.078,min,T-Wolves
3,Denver Nuggets,54.0,28.0,.658,-0.04,-0.35,5.38,26-12,28-16,65-17,42-40,99.9%,13.1%,15.9%,5.2%,54,0.9990000000000001,0.052000000000000005,den,Nuggets
4,LA Clippers,51.7,30.3,.630,-0.41,0.01,5.23,23-13,29-17,64-18,40-42,99.4%,94.2%,13.8%,4.3%,52,0.9940000000000001,0.043,lac,Clippers
5,New Orleans Pelicans,48.5,33.5,.592,-0.26,-0.06,3.91,22-15,27-18,59-23,36-46,95.2%,62.1%,6.8%,1.7%,48,0.9520000000000001,0.017,no,Pelicans
6,Dallas Mavericks,45.5,36.5,.555,-0.83,0.54,1.36,22-15,24-21,57-25,33-49,79.0%,21.3%,1.8%,0.3%,46,0.79,0.003,dal,Mavericks
7,Houston Rockets,44.7,37.3,.546,0.31,-0.54,2.63,18-17,27-20,56-26,30-52,74.2%,16.7%,3.1%,0.6%,45,0.742,0.006,hou,Rockets
8,Sacramento Kings,44.2,37.8,.539,0.48,0.27,0.25,21-14,23-24,58-24,32-50,64.6%,4.2%,0.8%,0.1%,44,0.6459999999999999,0.001,sac,Kings
9,Golden State Warriors,41.9,40.1,.511,0.91,-0.77,1.10,17-19,25-21,54-28,30-52,45.0%,1.0%,0.9%,0.1%,42,0.45,0.001,gs,Warriors
10,Los Angeles Lakers,39.6,42.4,.483,0.41,0.24,-0.73,18-19,22-23,53-29,28-54,22.4%,0.4%,0.1%,0,40,0.22399999999999998,0,lal,Lakers
11,Phoenix Suns,39.2,42.8,.478,-1.51,1.06,-0.73,19-18,20-25,52-30,28-54,18.7%,0.1%,0.1%,0,39,0.187,0,phx,Suns
12,Utah Jazz,35.2,46.8,.429,-0.13,1.01,-3.74,18-20,17-27,47-35,24-58,1.7%,,,0,35,0.017,0,uta,Jazz
13,Memphis Grizzlies,30.0,52.0,.366,0.12,0.24,-5.55,13-23,17-29,42-40,18-64,0,,,0,30,0,0,mem,Grizzlies
14,Portland Trail Blazers,23.2,58.8,.283,-0.78,1.60,-8.15,10-25,13-34,35-47,14-68,0,,,0,23,0,0,por,Blazers
15,San Antonio Spurs,17.5,64.5,.213,1.24,0.23,-10.13,5-30,13-34,28-54,8-74,0,,,0,18,0,0,sa,Spurs
