Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,58.0,24.0,.708,-0.22,1.87,4.14,54-21,4-3,61-21,54-28,100.0%,100.0%,16.2%,9.7%,58,1,0.09699999999999999,mil
2,Boston Celtics,56.5,25.5,.689,-0.26,1.31,6.11,52-23,4-3,59-23,52-30,100.0%,98.5%,32.1%,23.2%,56,1,0.23199999999999998,bos
3,Philadelphia 76ers,53.1,28.9,.647,-0.11,1.74,4.48,49-26,4-3,56-26,49-33,100.0%,1.5%,16.3%,9.9%,53,1,0.099,phi
4,Cleveland Cavaliers,52.2,29.8,.636,-0.03,-1.71,5.62,48-28,4-2,54-28,48-34,100.0%,,24.4%,16.6%,52,1,0.166,cle
5,New York Knicks,46.5,35.5,.567,0.07,0.01,2.86,43-33,3-3,49-33,43-39,99.7%,,5.5%,2.6%,46,0.997,0.026000000000000002,ny
6,Brooklyn Nets,44.4,37.6,.541,0.39,-2.04,0.99,40-35,4-3,47-35,40-42,91.0%,,2.1%,0.8%,44,0.91,0.008,bkn
7,Miami Heat,43.3,38.7,.528,0.25,-0.23,-0.52,40-35,3-4,47-35,40-42,81.3%,98.1%,0.8%,0.3%,43,0.813,0.003,mia
8,Atlanta Hawks,40.1,41.9,.489,-0.18,2.55,-0.02,37-38,3-4,44-38,37-45,38.3%,1.9%,0.5%,0.2%,40,0.38299999999999995,0.002,atl
9,Toronto Raptors,40.3,41.7,.492,0.04,1.30,1.12,37-38,3-4,44-38,37-45,47.4%,,1.1%,0.5%,40,0.474,0.005,tor
10,Chicago Bulls,39.9,42.1,.487,0.18,-0.69,1.14,36-39,4-3,43-39,36-46,41.3%,,1.1%,0.4%,40,0.413,0.004,chi
11,Washington Wizards,36.4,45.6,.444,0.13,0.31,-0.84,33-42,3-4,40-42,33-49,0.8%,,,0,36,0.008,0,wsh
12,Indiana Pacers,35.4,46.6,.431,0.20,1.55,-2.85,33-43,2-4,39-43,33-49,0.2%,,,0,35,0.002,0,ind
13,Orlando Magic,34.8,47.2,.424,0.09,1.07,-2.31,32-43,3-4,39-43,32-50,0.1%,,,0,35,0.001,0,orl
14,Charlotte Hornets,27.1,54.9,.330,0.34,0.34,-5.62,25-51,2-4,31-51,25-57,0,,,0,27,0,0,cha
15,Detroit Pistons,18.2,63.8,.222,0.67,-1.50,-7.31,16-59,2-5,23-59,16-66,0,,,0,18,0,0,det
1,Denver Nuggets,55.2,26.8,.673,-0.32,-0.15,3.84,51-24,4-3,58-24,51-31,100.0%,100.0%,28.3%,12.1%,55,1,0.121,den
2,Memphis Grizzlies,51.8,30.2,.631,-0.45,0.41,3.91,47-27,5-3,55-27,47-35,100.0%,100.0%,27.3%,11.4%,52,1,0.114,mem
3,Sacramento Kings,49.0,33.0,.598,-0.27,-1.30,2.18,45-30,4-3,52-30,45-37,100.0%,99.4%,12.6%,4.1%,49,1,0.040999999999999995,sac
4,Phoenix Suns,44.0,38.0,.537,0.03,-0.27,1.90,40-35,4-3,47-35,40-42,98.3%,0.6%,11.6%,3.6%,44,0.983,0.036000000000000004,phx
5,LA Clippers,42.7,39.3,.520,-0.33,1.40,0.08,40-36,3-3,46-36,40-42,80.0%,,3.2%,0.6%,43,0.8,0.006,lac
6,Minnesota Timberwolves,42.2,39.8,.515,-0.07,-1.44,-0.23,39-37,3-3,45-37,39-43,82.1%,,2.9%,0.6%,42,0.821,0.006,min
7,New Orleans Pelicans,41.5,40.5,.506,-0.45,1.86,1.51,38-37,3-4,45-37,38-44,63.2%,,5.1%,1.5%,42,0.632,0.015,no
8,Golden State Warriors,42.2,39.8,.514,-0.05,-0.68,0.41,39-37,3-3,45-37,39-43,72.9%,,3.5%,0.8%,42,0.7290000000000001,0.008,gs
9,Oklahoma City Thunder,41.0,41.0,.501,0.01,-1.48,1.14,37-38,4-3,44-38,37-45,44.8%,,3.1%,0.7%,41,0.44799999999999995,0.006999999999999999,okc
10,Los Angeles Lakers,40.5,41.5,.493,-0.03,-0.98,-0.31,37-38,3-4,44-38,37-45,31.3%,,1.1%,0.2%,40,0.313,0.002,lal
11,Dallas Mavericks,40.1,41.9,.489,-0.20,-0.50,0.36,37-39,3-3,43-39,37-45,24.3%,,1.1%,0.3%,40,0.243,0.003,dal
12,Utah Jazz,38.3,43.7,.467,-0.10,0.17,-0.82,35-40,3-4,42-40,35-47,3.0%,,0.1%,0,38,0.03,0,uta
13,Portland Trail Blazers,35.0,47.0,.427,0.01,-0.25,-2.50,32-43,3-4,39-43,32-50,0,,,0,35,0,0,por
14,San Antonio Spurs,20.5,61.5,.250,0.25,0.19,-10.24,19-56,2-5,25-57,19-63,0,,,0,20,0,0,sa
15,Houston Rockets,19.9,62.1,.243,0.39,-1.54,-8.09,18-58,2-4,24-58,18-64,0,,,0,20,0,0,hou
