Rk,TEAM,W,L,W/L%,SOS,SRS,Current,Playoffs,Division,Win 1st Rd,Win Semi,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,64.0,18.0,.780,-0.60,10.75,64-18,100.0%,100.0%,93.6%,86.2%,76.0%,59.4%,64,1,0.594,bos,Celtics
2,New York Knicks,50.0,32.0,.610,-0.23,4.36,50-32,100.0%,,75.7%,46.9%,9.9%,3.8%,50,1,0.038,ny,Knicks
3,Milwaukee Bucks,49.0,33.0,.598,-0.18,2.44,49-33,100.0%,100.0%,50.0%,19.8%,2.9%,1.0%,49,1,0.01,mil,Bucks
4,Cleveland Cavaliers,48.0,34.0,.585,-0.44,1.98,48-34,100.0%,,68.5%,7.5%,3.3%,1.0%,48,1,0.01,cle,Cavaliers
5,Orlando Magic,47.0,35.0,.573,-0.55,1.48,47-35,100.0%,100.0%,31.5%,3.2%,1.2%,0.3%,47,1,0.003,orl,Magic
6,Indiana Pacers,47.0,35.0,.573,-0.30,2.75,47-35,100.0%,,50.1%,21.1%,3.6%,1.1%,47,1,0.011000000000000001,ind,Pacers
7,Philadelphia 76ers,47.0,35.0,.573,-0.54,2.51,47-35,100.0%,,24.3%,12.2%,1.9%,0.6%,47,1,0.006,phi,76ers
8,Miami Heat,46.0,36.0,.561,-0.66,1.10,46-36,100.0%,,6.4%,3.1%,1.2%,0.3%,46,1,0.003,mia,Heat
9,Chicago Bulls,39.0,43.0,.476,-0.33,-1.77,39-43,0,,,,,0,39,0,0,chi,Bulls
10,Atlanta Hawks,36.0,46.0,.439,-0.19,-2.38,36-46,0,,,,,0,36,0,0,atl,Hawks
11,Brooklyn Nets,32.0,50.0,.390,-0.13,-3.02,32-50,0,,,,,0,32,0,0,bkn,Nets
12,Toronto Raptors,25.0,57.0,.305,-0.01,-6.45,25-57,0,,,,,0,25,0,0,tor,Raptors
13,Charlotte Hornets,21.0,61.0,.256,0.13,-10.12,21-61,0,,,,,0,21,0,0,cha,Hornets
14,Washington Wizards,15.0,67.0,.183,0.00,-9.29,15-67,0,,,,,0,15,0,0,wsh,Wizards
15,Detroit Pistons,14.0,68.0,.171,0.05,-9.06,14-68,0,,,,,0,14,0,0,det,Pistons
1,Oklahoma City Thunder,57.0,25.0,.695,-0.05,7.36,57-25,100.0%,100.0%,69.0%,52.7%,33.1%,12.9%,57,1,0.129,okc,Thunder
2,Denver Nuggets,57.0,25.0,.695,-0.03,5.23,57-25,100.0%,,84.4%,41.1%,19.1%,5.7%,57,1,0.057,den,Nuggets
3,Minnesota Timberwolves,56.0,26.0,.683,-0.07,6.39,56-26,100.0%,,82.3%,48.2%,25.7%,9.1%,56,1,0.091,min,T-Wolves
4,LA Clippers,51.0,31.0,.622,0.13,3.41,51-31,100.0%,100.0%,59.4%,18.3%,7.1%,1.6%,51,1,0.016,lac,Clippers
5,Dallas Mavericks,50.0,32.0,.610,0.09,2.30,50-32,100.0%,100.0%,40.6%,10.1%,3.4%,0.6%,50,1,0.006,dal,Mavericks
6,Phoenix Suns,49.0,33.0,.598,0.02,3.08,49-33,100.0%,,17.8%,7.1%,2.3%,0.4%,49,1,0.004,phx,Suns
7,Los Angeles Lakers,47.0,35.0,.573,0.48,1.07,47-35,100.0%,,15.6%,3.7%,0.9%,0.1%,47,1,0.001,lal,Lakers
8,New Orleans Pelicans,49.0,33.0,.598,0.05,4.46,49-33,100.0%,,31.0%,18.8%,8.4%,2.3%,49,1,0.023,no,Pelicans
9,Sacramento Kings,46.0,36.0,.561,0.55,2.29,46-36,0,,,,,0,46,0,0,sac,Kings
10,Golden State Warriors,46.0,36.0,.561,0.16,2.77,46-36,0,,,,,0,46,0,0,gs,Warriors
11,Houston Rockets,41.0,41.0,.500,0.12,1.24,41-41,0,,,,,0,41,0,0,hou,Rockets
12,Utah Jazz,31.0,51.0,.378,0.68,-4.22,31-51,0,,,,,0,31,0,0,uta,Jazz
13,Memphis Grizzlies,27.0,55.0,.329,0.43,-6.57,27-55,0,,,,,0,27,0,0,mem,Grizzlies
14,San Antonio Spurs,22.0,60.0,.268,0.69,-5.80,22-60,0,,,,,0,22,0,0,sa,Spurs
15,Portland Trail Blazers,21.0,61.0,.256,0.74,-8.29,21-61,0,,,,,0,21,0,0,por,Blazers
