Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,64.1,17.9,.782,-0.42,-1.92,10.95,57-16,7-2,66-16,59-23,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,75.1%,59.0%
2,Milwaukee Bucks,51.3,30.7,.625,-0.25,0.27,3.19,46-27,5-4,55-27,46-36,100.0%,78.0%,NA,67.4,21.2,8.9,2.3,0.2,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,5.8%,2.2%
3,Cleveland Cavaliers,49.2,32.8,.601,-0.44,-0.62,2.84,44-29,5-4,53-29,44-38,99.8%,21.9%,NA,15.2,19.6,39,21,4.1,0.5,0.3,NA,98.9,1,0.1,NA,NA,,NA,4.0%,1.3%
4,New York Knicks,50.0,32.0,.609,-0.33,0.81,4.53,44-28,6-4,54-28,45-37,100.0%,,NA,15.1,48.2,25.1,10,1.5,0.1,NA,NA,99.9,0.1,NA,NA,NA,,NA,9.0%,3.8%
5,Orlando Magic,47.6,34.4,.580,-0.48,-0.75,1.47,42-30,6-4,52-30,42-40,98.8%,88.6%,NA,2.4,10.4,23.5,45.6,11.7,3.4,1.9,NA,93.6,4,2.4,NA,NA,,NA,1.7%,0.4%
6,Indiana Pacers,45.6,36.4,.556,-0.19,-0.19,1.79,41-33,5-3,49-33,41-41,92.8%,0.1%,NA,NA,0.4,2.3,10.7,48.7,19.9,11,NA,62.0,26.6,11.5,NA,NA,,NA,2.2%,0.6%
7,Miami Heat,44.6,37.4,.544,-0.42,-1.74,-0.02,39-33,6-4,49-33,39-43,82.1%,11.4%,NA,NA,0.1,1.1,8,20.8,31.1,21,NA,30.1,38,31.8,0.2,NA,,NA,0.6%,0.1%
8,Philadelphia 76ers,44.4,37.6,.542,-0.28,-2.06,1.80,39-34,5-4,48-34,39-43,83.6%,,NA,NA,NA,0.2,2.4,13.1,44.6,23.4,NA,15.7,30.4,53.4,0.6,NA,,NA,1.6%,0.4%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,39.0,43.0,.475,-0.35,-0.07,-1.74,35-38,4-5,44-38,35-47,20.8%,,NA,NA,NA,NA,NA,NA,0.4,20.4,NA,,NA,0.8,74.2,25,0.1,NA,,
10,Atlanta Hawks,38.1,43.9,.465,-0.22,-0.27,-1.48,34-39,4-5,43-39,34-48,22.1%,,NA,NA,NA,NA,NA,NA,NA,22,NA,,NA,0.1,25,74.7,0.2,NA,,
11,Brooklyn Nets,32.1,49.9,.392,-0.08,-0.43,-2.58,28-45,4-5,37-45,28-54,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0.3,99.7,NA,,
12,Toronto Raptors,26.0,56.0,.318,-0.08,0.24,-5.61,23-50,3-6,31-51,23-59,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
13,Charlotte Hornets,19.8,62.2,.242,-0.27,3.25,-10.70,18-54,2-8,26-56,18-64,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Washington Wizards,16.6,65.4,.202,0.07,-0.21,-9.59,14-59,3-6,22-60,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,14.9,67.1,.182,0.47,-3.40,-8.68,12-61,3-6,20-62,12-70,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Minnesota Timberwolves,56.8,25.2,.693,-0.07,-0.13,6.67,50-22,7-3,60-22,51-31,100.0%,39.6%,39.6,32.2,27.6,0.6,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,28.4%,10.3%
2,Oklahoma City Thunder,56.5,25.5,.689,-0.21,1.11,7.01,50-22,7-3,60-22,51-31,100.0%,31.2%,31.2,33.8,34.1,0.9,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,30.7%,11.6%
