Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,55.6,26.4,.678,-0.28,0.03,5.57,37-16,19-10,65-17,45-37,100.0%,89.4%,78.6,15.3,4.3,1.5,0.3,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,35.1%,23.4%
2,Milwaukee Bucks,51.3,30.7,.625,-0.18,0.39,2.12,35-17,16-14,62-20,41-41,99.9%,57.7%,8.6,33.3,23.8,19.8,11.7,2.4,0.3,0.1,NA,99.5,0.4,0.1,NA,NA,,NA,8.5%,3.8%
3,Philadelphia 76ers,51.1,30.9,.623,-0.60,1.09,3.34,34-17,17-14,62-20,40-42,99.8%,9.5%,7.2,25.6,29.9,22.2,11.6,2.7,0.5,0.1,NA,99.2,0.7,0.1,NA,NA,,NA,14.5%,8.1%
4,Cleveland Cavaliers,50.1,31.9,.611,0.19,-0.94,4.86,32-22,18-10,59-23,41-41,99.8%,42.3%,4.9,20.6,27.2,24.6,16.7,4.6,0.9,0.3,NA,98.6,1.1,0.2,NA,NA,,NA,24.3%,15.0%
5,Brooklyn Nets,48.2,33.8,.587,-0.11,0.35,2.02,31-20,17-14,57-25,36-46,98.4%,1.1%,0.8,5,13.2,25.5,35.7,13.3,3.2,1.6,NA,93.6,4.4,1.4,0.5,0.1,,NA,6.5%,3.0%
6,Miami Heat,43.7,38.3,.532,0.03,0.23,0.30,29-24,15-14,53-29,33-49,75.5%,65.8%,NA,0.2,1.1,3.5,11.6,29.9,17,12.2,NA,46.3,21,13.5,9.1,5.7,4.5,NA,2.3%,0.8%
7,New York Knicks,43.4,38.6,.529,-0.08,0.44,1.64,28-25,15-14,54-28,34-48,75.7%,,NA,NA,0.4,1.9,7.1,24.6,25.1,16.6,NA,34.0,28.8,17.6,10,5.7,4.0,NA,4.5%,1.9%
8,Atlanta Hawks,41.5,40.5,.506,-0.16,0.27,-0.03,27-26,14-15,51-31,31-51,51.0%,24.5%,NA,NA,0.1,0.8,3.3,11.7,17.5,17.5,NA,15.9,17.1,20.4,18,14.2,14.4,NA,1.4%,0.5%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,40.2,41.8,.491,0.30,-0.27,0.50,24-27,16-15,49-33,30-52,37.8%,,NA,NA,NA,0.1,1,4.5,14.4,17.7,NA,5.7,11.1,18.2,19.5,18.6,27.0,NA,1.3%,0.5%
10,Washington Wizards,39.3,41.7,.485,0.19,0.04,-0.01,24-27,15-15,50-31,30-51,30.0%,9.7%,NA,NA,NA,0.1,0.7,3.9,10.8,14.5,NA,4.7,8.3,13.8,18.4,20.2,34.6,NA,0.9%,0.3%
11,Toronto Raptors,38.9,43.1,.474,0.29,-0.31,0.82,24-30,15-13,48-34,28-54,20.5%,,NA,NA,NA,NA,0.3,1.7,6.8,11.8,NA,2.0,4.9,8.9,13.7,18.5,52.1,NA,0.7%,0.2%
12,Indiana Pacers,37.8,44.2,.461,0.34,-0.13,-1.60,25-29,13-15,47-35,29-53,11.4%,,NA,NA,NA,NA,NA,0.5,3.6,7.2,NA,0.6,2.2,5.9,10.4,15.8,65.2,NA,0.1%,
13,Orlando Magic,33.4,48.6,.407,0.33,-0.12,-2.90,21-32,12-17,43-39,24-58,0.3%,,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,,NA,0.1,0.4,1.3,98.1,NA,,
14,Detroit Pistons,23.2,57.8,.287,0.62,-0.12,-6.55,14-39,9-19,33-48,15-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Charlotte Hornets,24.8,57.2,.303,0.48,0.06,-6.11,15-39,10-18,34-48,16-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Denver Nuggets,54.2,27.8,.661,-0.20,-0.26,3.97,36-16,18-12,63-19,44-38,100.0%,99.9%,87.8,11.1,1.1,0.1,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,30.2%,15.6%
2,Memphis Grizzlies,50.2,31.8,.612,-0.20,-0.41,3.53,32-20,18-12,60-22,40-42,99.9%,95.8%,10.9,67.9,17.1,2.5,0.8,0.4,0.2,0.1,NA,99.5,0.3,0.1,NA,0.1,,NA,24.5%,11.7%
3,Sacramento Kings,46.3,35.7,.564,-0.53,0.14,2.49,29-22,17-14,57-25,37-45,95.8%,71.7%,1.2,16,43.7,15.3,8.7,5,3.4,2.4,NA,90.0,3.7,2.3,1.7,1.2,1.0,NA,14.9%,6.2%
4,Phoenix Suns,42.7,39.3,.520,0.06,0.03,1.10,28-26,15-13,52-30,33-49,72.1%,17.1%,0.1,1.3,9.9,13.7,13.6,12.8,11.9,8.9,NA,51.4,11.8,10.1,8.1,6.9,11.7,NA,5.5%,1.6%
5,Dallas Mavericks,43.1,38.9,.526,0.05,-0.48,0.52,28-25,15-14,53-29,33-49,75.5%,3.3%,NA,2,8.6,19,15.4,12.6,10,8,NA,57.5,10.6,8.8,7.4,6.1,9.7,NA,4.7%,1.4%
6,Los Angeles Clippers,41.5,40.5,.506,-0.72,1.15,-0.63,29-26,12-15,51-31,32-50,49.1%,5.9%,NA,0.4,3.3,7,8.1,9.9,10.1,10.3,NA,28.7,10.4,11.7,11.5,11.5,26.3,NA,1.5%,0.4%
7,New Orleans Pelicans,41.7,40.3,.509,-0.06,-0.36,1.13,26-27,16-13,51-31,32-50,57.0%,0.9%,NA,0.4,3,9.1,10.9,10.8,11.3,11.5,NA,34.3,10.7,10.9,10.7,10.4,23.1,NA,4.5%,1.6%
8,Utah Jazz,41.8,40.2,.510,-0.03,-0.13,1.04,27-27,15-13,51-31,31-51,61.2%,,NA,0.3,3.6,10.2,11.8,11.9,12,11.4,NA,37.8,11.2,11.6,10.5,9.1,19.8,NA,4.4%,1.4%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Portland Trail Blazers,41.3,40.7,.504,-0.24,0.24,0.48,26-26,15-15,51-31,30-52,51.2%,,NA,0.2,3.1,7.8,8.8,10.1,10.3,11,NA,30.0,10.5,10.6,10.3,10.9,27.8,NA,2.7%,0.8%
10,Golden State Warriors,40.8,41.2,.498,0.01,-0.05,-0.34,26-26,15-15,51-31,31-51,43.4%,4.9%,NA,0.2,2.8,5.3,7.7,8.1,9,10.4,NA,24.1,9.5,10.3,11.4,11.5,33.2,NA,1.7%,0.5%
11,Oklahoma City Thunder,41.0,41.0,.500,0.34,-0.67,1.18,24-27,17-14,50-32,31-51,47.2%,,NA,0.2,2.5,6.1,7.6,9.5,10,11.3,NA,25.9,9.9,9.5,10.6,11.3,32.8,NA,3.8%,1.2%
12,Minnesota Timberwolves,40.4,41.6,.492,-0.40,0.64,-0.38,28-27,12-15,50-32,32-50,35.4%,,NA,0.1,1.1,3.2,5.4,6.9,8.6,10.1,NA,16.7,8.3,9.9,11.8,12.5,40.9,NA,1.3%,0.3%
13,Los Angeles Lakers,38.5,43.5,.469,-0.08,0.21,-1.27,25-28,13-16,48-34,29-53,12.2%,0.4%,NA,NA,0.2,0.8,1.2,2,3.3,4.8,NA,4.1,3.1,4.3,6.1,8.6,73.7,NA,0.3%,0.1%
14,Houston Rockets,22.2,59.8,.270,0.15,0.43,-7.06,13-39,9-21,33-49,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,San Antonio Spurs,21.3,60.7,.259,0.47,0.01,-9.31,14-39,7-22,31-51,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
