Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.9,25.1,.694,-0.37,0.42,5.73,43-17,14-8,64-18,47-35,100.0%,93.3%,32.2%,21.8%,57,1,0.218,bos
2,Milwaukee Bucks,55.5,26.5,.677,-0.12,0.21,3.54,42-17,14-9,63-19,48-34,100.0%,92.9%,15.0%,8.4%,56,1,0.084,mil
3,Philadelphia 76ers,52.5,29.5,.640,-0.30,0.92,3.62,39-19,13-11,61-21,44-38,100.0%,6.7%,14.5%,7.9%,52,1,0.079,phi
4,Cleveland Cavaliers,50.6,31.4,.617,0.09,-1.03,5.17,38-25,13-6,57-25,42-40,100.0%,7.1%,24.9%,16.2%,51,1,0.162,cle
5,Brooklyn Nets,46.1,35.9,.562,0.11,0.24,1.06,34-25,12-11,54-28,37-45,95.1%,,2.9%,1.1%,46,0.951,0.011000000000000001,bkn
6,New York Knicks,45.7,36.3,.558,0.06,0.11,2.36,34-27,12-9,54-28,37-45,94.3%,,6.1%,2.7%,46,0.943,0.027000000000000003,ny
7,Miami Heat,42.6,39.4,.519,0.05,0.53,-0.40,32-28,11-11,51-31,34-48,65.5%,61.6%,0.9%,0.3%,43,0.655,0.003,mia
8,Atlanta Hawks,40.9,41.1,.499,-0.08,0.34,-0.15,30-30,11-11,49-33,32-50,45.4%,23.6%,0.6%,0.2%,41,0.45399999999999996,0.002,atl
9,Washington Wizards,40.0,42.0,.488,0.16,-0.19,0.35,28-31,12-11,49-33,32-50,36.2%,14.7%,1.0%,0.3%,40,0.36200000000000004,0.003,wsh
10,Toronto Raptors,40.2,41.8,.490,0.00,0.42,0.93,29-31,11-11,48-34,32-50,37.6%,,1.0%,0.4%,40,0.376,0.004,tor
11,Chicago Bulls,38.8,43.2,.473,0.30,-0.44,0.75,27-33,12-10,47-35,31-51,23.0%,,0.8%,0.3%,39,0.23,0.003,chi
12,Indiana Pacers,35.4,46.6,.432,0.52,-0.58,-2.14,26-35,9-12,44-38,28-54,2.1%,,,0,35,0.021,0,ind
13,Orlando Magic,34.4,47.6,.420,0.20,0.09,-2.48,25-35,9-13,43-39,27-55,0.8%,0.1%,,0,34,0.008,0,orl
14,Detroit Pistons,22.3,59.7,.272,0.75,-0.49,-6.75,15-45,7-15,32-50,15-67,0,,,0,22,0,0,det
15,Charlotte Hornets,25.4,56.6,.310,0.37,0.23,-5.81,18-43,7-14,35-47,18-64,0,,,0,25,0,0,cha
1,Denver Nuggets,55.5,26.5,.677,-0.29,-0.24,4.09,42-18,14-8,63-19,47-35,100.0%,100.0%,31.4%,15.8%,56,1,0.158,den
2,Memphis Grizzlies,50.0,32.0,.609,-0.08,-0.98,3.68,35-23,15-9,58-24,40-42,100.0%,96.6%,25.4%,11.7%,50,1,0.11699999999999999,mem
3,Sacramento Kings,46.1,35.9,.563,-0.71,0.67,1.80,34-25,12-11,56-26,38-44,97.4%,63.6%,11.4%,3.7%,46,0.9740000000000001,0.037000000000000005,sac
4,Phoenix Suns,44.0,38.0,.537,-0.10,0.36,1.39,33-28,11-10,52-30,35-47,89.3%,28.1%,8.2%,2.7%,44,0.893,0.027000000000000003,phx
5,Dallas Mavericks,43.4,38.6,.530,-0.04,-0.71,0.86,32-29,11-10,52-30,34-48,84.0%,2.7%,5.8%,1.8%,43,0.84,0.018000000000000002,dal
6,LA Clippers,42.4,39.6,.517,-0.59,1.13,-0.30,33-29,9-11,51-31,34-48,64.1%,6.0%,2.4%,0.5%,42,0.6409999999999999,0.005,lac
7,New Orleans Pelicans,42.4,39.6,.516,0.04,-0.92,1.34,30-30,12-10,51-31,33-49,70.1%,0.7%,5.6%,1.7%,42,0.701,0.017,no
8,Golden State Warriors,40.8,41.2,.497,-0.21,0.28,-0.09,30-30,11-11,48-34,32-50,42.0%,2.3%,1.9%,0.4%,41,0.42,0.004,gs
9,Utah Jazz,40.9,41.1,.499,0.06,-0.53,0.41,30-31,11-10,48-34,33-49,46.1%,,2.5%,0.7%,41,0.461,0.006999999999999999,uta
10,Oklahoma City Thunder,40.8,41.2,.498,0.06,-0.53,1.48,28-31,13-10,49-33,32-50,44.2%,,3.4%,1.0%,41,0.442,0.01,okc
11,Minnesota Timberwolves,40.2,41.8,.490,-0.30,0.42,-0.49,31-31,9-11,49-33,33-49,33.8%,,1.2%,0.3%,40,0.33799999999999997,0.003,min
12,Portland Trail Blazers,39.0,43.0,.476,-0.14,0.11,-0.58,28-31,11-12,47-35,30-52,18.9%,,0.7%,0.2%,39,0.18899999999999997,0.002,por
13,Los Angeles Lakers,38.4,43.6,.469,-0.09,0.07,-1.01,28-32,10-12,46-36,31-51,10.2%,0.1%,0.2%,0.1%,38,0.102,0.001,lal
14,Houston Rockets,19.7,62.3,.240,0.35,0.03,-8.16,13-46,7-16,30-52,13-69,0,,,0,20,0,0,hou
15,San Antonio Spurs,19.2,62.8,.234,0.30,0.19,-10.13,14-46,5-17,27-55,14-68,0,,,0,19,0,0,sa
