Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,53.5,28.5,.652,-0.21,-0.11,5.03,26-12,27-17,65-17,42-40,100.0%,64.0%,44.6,26.6,15.2,8.6,3.9,1,0.2,0.1,NA,99.8,0.2,NA,NA,NA,,NA,26.2%,15.7%
2,Cleveland Cavaliers,51.9,30.1,.633,-0.14,-0.30,5.02,25-14,27-16,64-18,39-43,99.9%,70.4%,25.2,27.3,21.2,14,8.7,2.8,0.6,0.2,NA,99.1,0.7,0.1,0.1,NA,,NA,25.2%,15.1%
3,Brooklyn Nets,51.3,30.7,.626,-0.08,0.04,3.92,25-13,26-18,63-19,39-43,99.7%,25.4%,18.1,20.8,25.4,18.9,11.7,3.8,0.8,0.3,NA,98.6,1,0.4,NA,NA,,NA,16.5%,8.9%
4,Milwaukee Bucks,49.2,32.8,.600,0.06,0.01,2.06,25-13,24-20,61-21,34-48,98.6%,28.9%,6.3,13.7,17.4,24,23.9,9.3,2.6,1.6,NA,94.5,3.6,1.3,0.4,0.2,0.1,NA,7.0%,3.1%
5,Philadelphia 76ers,49.0,33.0,.598,-0.25,0.26,3.62,23-14,26-19,62-20,37-45,98.8%,10.1%,5.6,10.7,17.3,24.7,24.4,11.5,3.2,1.4,NA,94.2,3.9,1.5,0.4,0.1,0.1,NA,13.2%,7.0%
6,New York Knicks,44.8,37.2,.546,-0.33,0.45,2.52,21-18,24-19,56-26,33-49,86.6%,0.6%,0.2,0.8,2.6,6.8,16.2,33.5,16.5,10,NA,60.1,18.8,10.1,5.7,3.1,2.1,NA,7.0%,3.1%
7,Indiana Pacers,42.2,39.8,.515,0.17,0.11,-0.14,21-18,21-22,56-26,31-51,62.2%,0.7%,NA,0.2,0.7,1.8,5,15,22.2,17.2,NA,22.8,23.8,20.9,14.4,9.3,8.9,NA,1.5%,0.4%
8,Miami Heat,39.7,42.3,.484,-0.54,0.74,-0.98,20-19,20-23,52-30,28-54,36.3%,43.5%,NA,NA,0.1,0.5,2.1,6.5,12.8,14.2,NA,9.3,12.3,15.9,14.9,16,31.7,NA,0.5%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,39.4,42.6,.481,0.85,-0.49,-0.18,17-21,22-22,51-31,28-54,34.2%,0.1%,NA,NA,0.1,0.3,1.2,4.7,12,15.9,NA,6.4,10.4,15.2,18.1,17.5,32.5,NA,0.8%,0.3%
10,Washington Wizards,39.2,42.8,.478,0.56,-0.42,-0.03,17-22,22-21,50-32,28-54,31.9%,33.0%,NA,NA,NA,0.3,1.5,5.1,11.3,13.6,NA,6.9,10.6,12.7,14.8,16.5,38.6,NA,0.9%,0.3%
11,Atlanta Hawks,38.4,43.6,.469,-0.27,0.28,-1.16,18-20,20-24,50-32,27-55,23.1%,23.3%,NA,NA,NA,0.1,0.8,3.5,7.8,10.9,NA,4.4,7.4,9.6,13.4,17.4,47.8,NA,0.3%,0.1%
12,Toronto Raptors,38.9,43.1,.474,0.68,-0.41,0.47,16-22,23-21,51-31,26-56,28.6%,,NA,NA,NA,0.1,0.7,3.2,10.1,14.4,NA,4.1,7.4,12.3,17.6,19.2,39.5,NA,0.9%,0.3%
13,Orlando Magic,30.8,51.2,.375,-0.20,0.53,-3.99,14-24,17-27,43-39,17-65,0.3%,0.2%,NA,NA,NA,NA,NA,NA,0.1,0.2,NA,,0.1,0.2,0.2,0.7,98.9,NA,,
14,Charlotte Hornets,24.2,57.8,.295,0.47,0.19,-6.68,10-29,14-29,37-45,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,25.6,56.4,.312,0.89,-0.25,-6.19,11-30,15-26,37-45,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Memphis Grizzlies,52.5,29.5,.641,0.08,-0.56,4.94,24-13,29-16,64-18,41-41,99.9%,63.1%,56.7,25.2,10.7,4.7,1.7,0.8,0.2,0.1,NA,99.7,0.2,0.1,NA,NA,,NA,30.4%,16.7%
2,New Orleans Pelicans,50.9,31.1,.620,-0.27,-0.24,4.36,24-14,27-17,62-20,36-46,99.7%,32.3%,29.2,35,18.9,9.1,4.8,1.8,0.7,0.3,NA,98.7,0.8,0.3,0.2,NA,,NA,25.6%,13.5%
3,Denver Nuggets,47.8,34.2,.583,-0.52,0.30,1.37,24-13,24-21,61-21,36-46,97.3%,86.3%,8.1,20.7,25.9,18.4,12.1,6.8,3.3,2,NA,92.1,3.6,2.3,1.2,0.5,0.4,NA,7.8%,2.8%
4,Dallas Mavericks,46.6,35.4,.568,-0.05,-0.21,2.27,22-16,25-19,59-23,34-48,95.4%,4.6%,4,8.7,18.1,23.2,19.8,11.7,6.3,3.6,NA,85.5,6.7,4.1,2.2,0.9,0.6,NA,10.9%,4.1%
5,Phoenix Suns,44.6,37.4,.544,0.22,-0.19,2.60,20-19,25-18,55-27,33-49,87.4%,49.5%,1.2,4.6,10.9,16.6,18.4,16.1,11.7,7.9,NA,67.7,12.4,8.5,5.6,3.3,2.5,NA,10.4%,4.2%
6,Sacramento Kings,44.1,37.9,.538,-0.02,-0.32,1.14,20-17,24-21,57-25,31-51,80.3%,34.2%,0.7,3.9,8.4,13,15.4,16,13,9.9,NA,57.4,14.5,10.7,7.9,4.9,4.7,NA,5.5%,1.9%
7,Portland Trail Blazers,41.9,40.1,.511,-0.44,0.24,0.29,19-18,23-22,55-27,29-53,58.6%,7.2%,0.1,0.8,2.4,5,8.7,13.6,14.1,14,NA,30.5,14.6,14,13.4,11.2,16.3,NA,2.5%,0.8%
8,Utah Jazz,41.2,40.8,.502,0.11,-0.26,0.71,19-21,22-20,53-29,30-52,51.8%,5.3%,0.1,0.4,1.5,3.3,6.3,10.2,14.4,15.6,NA,21.8,13.3,15.3,15.7,13.8,20.1,NA,3.1%,0.9%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Los Angeles Clippers,41.0,41.0,.500,-0.88,0.59,-0.83,21-18,20-23,53-29,29-53,45.5%,8.0%,0.1,0.3,1.4,3.2,5.4,8.9,12.3,13.9,NA,19.3,12.5,14.6,16.1,13.8,23.8,NA,1.2%,0.4%
10,Golden State Warriors,40.7,41.3,.496,-0.12,0.19,-0.56,20-19,21-22,52-30,29-53,45.7%,7.9%,NA,0.3,1.4,2.9,5.4,9,13.1,13.5,NA,19.0,12.6,14.5,14.5,15.6,23.9,NA,1.5%,0.5%
11,Minnesota Timberwolves,38.0,44.0,.464,-0.27,0.18,-1.17,18-21,20-23,49-33,26-56,18.0%,0.9%,NA,NA,0.2,0.4,1.2,2.5,5,8.6,NA,4.3,4.2,7.2,10.6,15.3,58.4,NA,0.5%,0.1%
12,Oklahoma City Thunder,37.0,45.0,.452,0.20,-0.01,-0.77,16-22,21-23,49-33,26-56,13.0%,0.3%,NA,NA,0.1,0.2,0.7,1.8,3.9,6.4,NA,2.7,2.9,5.2,7.5,11.6,70.2,NA,0.3%,0.1%
13,Los Angeles Lakers,36.5,45.5,.445,-0.47,0.57,-1.87,17-21,19-25,49-33,24-58,7.6%,0.4%,NA,NA,0.1,0.2,0.3,0.9,1.9,4.2,NA,1.4,1.7,3.3,5.2,9.3,79.1,NA,0.1%,
14,San Antonio Spurs,23.9,58.1,.291,0.27,0.44,-8.94,12-26,12-32,36-46,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Houston Rockets,25.4,56.6,.310,0.42,0.07,-6.08,10-28,15-29,40-42,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
