Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Milwaukee Bucks,56.8,25.2,.693,-0.06,-0.02,3.97,46-18,11-7,63-19,49-33,100.0%,98.0%,61,35.3,2.9,0.7,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,18.2%,10.3%
2,Boston Celtics,55.9,26.1,.681,-0.07,-0.38,5.25,45-20,11-6,62-20,49-33,100.0%,94.1%,37.2,56.2,5.1,1.3,0.2,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,27.1%,17.8%
3,Philadelphia 76ers,51.9,30.1,.633,-0.13,0.68,3.70,41-22,11-8,58-24,43-39,100.0%,5.7%,1.4,6,50.3,31.7,10.1,0.5,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,13.2%,7.1%
4,Cleveland Cavaliers,50.8,31.2,.620,0.07,-1.25,5.60,40-26,11-5,56-26,44-38,100.0%,2.0%,0.3,2.4,34.1,40.6,20,2.6,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,26.5%,17.1%
5,New York Knicks,48.7,33.3,.594,0.22,-0.74,3.33,39-27,10-6,55-27,42-40,99.8%,0.2%,NA,0.2,7.4,23.7,57.3,10.3,0.6,0.3,NA,98.9,1.1,0.1,NA,NA,,NA,9.1%,4.7%
6,Brooklyn Nets,45.5,36.5,.554,0.18,0.10,0.84,36-28,9-9,52-30,37-45,94.7%,,NA,NA,0.2,2,11.1,65.2,10.9,5.2,NA,78.5,17.7,2.9,0.6,0.2,,NA,2.1%,0.8%
7,Miami Heat,42.0,40.0,.513,0.12,0.51,-0.61,34-31,8-9,49-33,35-47,62.4%,62.6%,NA,NA,NA,NA,0.9,13.2,28.4,19.9,NA,14.1,40.9,19.2,13.5,8.1,4.2,NA,0.8%,0.2%
8,Atlanta Hawks,41.0,41.0,.500,-0.06,0.35,0.02,32-32,9-9,48-34,34-48,49.0%,24.5%,NA,NA,NA,NA,0.3,5,23,20.7,NA,5.4,17.3,28.6,21.7,15.8,11.3,NA,0.9%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Toronto Raptors,40.5,41.5,.494,0.03,0.55,0.60,32-33,8-9,48-34,33-49,44.7%,,NA,NA,NA,NA,NA,1.6,20.5,22.6,NA,1.7,12.6,26.5,27.3,19.5,12.5,NA,1.1%,0.4%
10,Washington Wizards,39.5,42.5,.482,0.25,-0.51,0.13,30-34,10-8,46-36,32-50,30.7%,12.9%,NA,NA,NA,NA,NA,1.4,12,17.2,NA,1.4,9,15.2,20,24.7,29.7,NA,0.6%,0.2%
11,Chicago Bulls,37.8,44.2,.460,0.19,-0.17,0.48,29-36,9-8,45-37,30-52,13.2%,,NA,NA,NA,NA,NA,0.1,3.4,9.8,NA,0.1,1.1,5.5,10.8,18.9,63.6,NA,0.3%,0.1%
12,Indiana Pacers,36.5,45.5,.445,0.29,0.09,-2.09,29-36,7-10,44-38,30-52,5.0%,,NA,NA,NA,NA,NA,NA,1,4,NA,,0.2,2,5.9,11.6,80.3,NA,,
13,Orlando Magic,34.1,47.9,.416,0.13,0.34,-2.64,27-38,7-10,42-40,27-55,0.4%,,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,,NA,0.1,0.2,1.3,98.4,NA,,
14,Detroit Pistons,21.0,61.0,.256,0.76,-0.71,-6.92,15-49,6-12,29-53,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Charlotte Hornets,25.3,56.7,.308,0.21,0.78,-5.88,20-46,5-11,32-50,20-62,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Denver Nuggets,56.1,25.9,.684,-0.31,-0.21,4.25,45-19,11-7,63-19,49-33,100.0%,100.0%,99,1,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,32.9%,16.5%
2,Memphis Grizzlies,50.0,32.0,.610,-0.09,-1.15,3.72,38-25,12-7,56-26,41-41,100.0%,99.4%,0.9,75.4,21.5,1.7,0.3,0.1,0.1,NA,NA,99.9,NA,NA,NA,NA,,NA,25.5%,11.8%
3,Sacramento Kings,47.1,34.9,.574,-0.60,0.62,1.94,37-26,10-9,55-27,39-43,99.5%,66.3%,0.1,18.4,47.7,23.4,6.3,2.2,0.8,0.5,NA,98.1,1.2,0.5,0.1,0.1,,NA,11.4%,4.0%
4,Phoenix Suns,45.2,36.8,.552,-0.13,0.58,1.82,36-29,9-8,53-29,39-43,98.0%,30.9%,NA,4.9,26.2,41.6,14.5,6.6,2.7,1.6,NA,93.7,3.3,1.7,0.7,0.4,0.2,NA,10.4%,3.3%
5,Golden State Warriors,42.4,39.6,.517,-0.24,0.48,0.60,34-31,8-9,50-32,35-47,75.2%,2.5%,NA,0.2,2.2,9.2,21.2,18.6,13.2,10.6,NA,51.3,14.7,11.2,9,6.3,7.3,NA,4.0%,1.1%
6,Dallas Mavericks,42.2,39.8,.514,-0.01,-1.02,0.81,33-32,9-8,49-33,35-47,73.6%,0.5%,NA,0.1,1.3,9.8,18.5,17.4,14.6,11.9,NA,47.1,15.5,13.2,9.8,6.5,7.9,NA,4.2%,1.2%
7,Minnesota Timberwolves,41.6,40.4,.507,-0.27,0.50,-0.24,34-32,8-8,48-34,35-47,64.4%,,NA,NA,0.4,5.5,14,16.7,15.4,12.5,NA,36.6,15.8,14.8,11.3,9.4,12.1,NA,2.2%,0.4%
8,New Orleans Pelicans,41.0,41.0,.500,0.05,-1.01,0.83,31-33,10-8,48-34,33-49,53.4%,0.1%,NA,NA,0.4,4.5,9.6,12.2,13.7,12.9,NA,26.7,13.1,13.6,12.8,11.2,22.6,NA,3.1%,0.9%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Los Angeles Clippers,41.1,40.9,.501,-0.37,0.91,-0.64,34-33,7-8,48-34,34-48,46.1%,0.3%,NA,NA,0.3,2.1,7,11.1,12.7,12.9,NA,20.4,12.7,14.4,15.5,14.2,22.7,NA,1.4%,0.3%
10,Oklahoma City Thunder,40.1,41.9,.489,0.11,-0.89,1.67,30-34,10-8,48-34,32-50,37.6%,,NA,NA,0.1,1.2,4,6.4,11.5,14.5,NA,11.6,9.4,11.6,14.2,15.9,37.2,NA,3.2%,1.1%
11,Utah Jazz,39.2,42.8,.478,-0.16,0.32,-0.29,31-34,8-9,46-36,31-51,22.2%,,NA,NA,NA,0.4,2,3.8,6.5,9.4,NA,6.3,5.8,8.4,10.4,13.6,55.5,NA,0.9%,0.2%
12,Los Angeles Lakers,39.3,42.7,.480,0.00,-0.25,-0.90,31-34,8-9,46-36,32-50,19.9%,,NA,NA,NA,0.4,1.8,3.5,5.8,8.5,NA,5.7,5.6,7,10.3,13,58.5,NA,0.6%,0.1%
