Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,65.0,17.0,.792,-0.40,-1.89,11.14,57-15,8-2,67-15,60-22,100.0%,100.0%,76.2%,61.1%,65,1,0.611,bos,Celtics
2,Milwaukee Bucks,51.7,30.3,.630,-0.32,0.75,3.27,46-26,6-4,56-26,46-36,100.0%,82.7%,5.4%,2.1%,52,1,0.021,mil,Bucks
3,Cleveland Cavaliers,49.3,32.7,.601,-0.43,-0.62,2.84,44-29,5-4,53-29,44-38,99.9%,17.2%,3.8%,1.2%,49,0.9990000000000001,0.012,cle,Cavaliers
4,New York Knicks,50.0,32.0,.609,-0.32,0.84,4.54,44-28,6-4,54-28,45-37,100.0%,,8.9%,3.4%,50,1,0.034,ny,Knicks
5,Orlando Magic,47.6,34.4,.580,-0.47,-0.74,1.47,42-30,6-4,52-30,43-39,98.7%,88.2%,1.7%,0.5%,48,0.987,0.005,orl,Magic
6,Indiana Pacers,45.6,36.4,.556,-0.18,-0.21,1.81,41-33,5-3,49-33,41-41,92.2%,0.1%,1.9%,0.4%,46,0.922,0.004,ind,Pacers
7,Miami Heat,44.6,37.4,.544,-0.41,-1.75,-0.01,39-33,6-4,49-33,40-42,82.6%,11.8%,0.7%,0.2%,45,0.826,0.002,mia,Heat
8,Philadelphia 76ers,44.4,37.6,.542,-0.27,-2.06,1.81,39-34,5-4,48-34,39-43,84.8%,,1.5%,0.4%,44,0.848,0.004,phi,76ers
9,Chicago Bulls,39.0,43.0,.475,-0.33,-0.08,-1.73,35-38,4-5,44-38,35-47,20.2%,,,0,39,0.20199999999999999,0,chi,Bulls
10,Atlanta Hawks,37.3,44.7,.455,-0.36,0.89,-1.65,33-39,4-6,42-40,33-49,21.5%,,,0,37,0.215,0,atl,Hawks
11,Brooklyn Nets,32.1,49.9,.392,-0.07,-0.42,-2.57,28-45,4-5,37-45,28-54,0.1%,,,0,32,0.001,0,bkn,Nets
12,Toronto Raptors,26.0,56.0,.317,-0.07,0.25,-5.60,23-50,3-6,31-51,23-59,0,,,0,26,0,0,tor,Raptors
13,Charlotte Hornets,19.8,62.2,.242,-0.26,3.28,-10.69,18-54,2-8,26-56,18-64,0,,,0,20,0,0,cha,Hornets
14,Washington Wizards,16.6,65.4,.202,0.08,-0.17,-9.58,14-59,3-6,21-61,14-68,0,,,0,17,0,0,wsh,Wizards
15,Detroit Pistons,14.9,67.1,.182,0.48,-3.41,-8.67,12-61,3-6,20-62,12-70,0,,,0,15,0,0,det,Pistons
1,Minnesota Timberwolves,56.8,25.2,.693,-0.06,-0.14,6.68,50-22,7-3,60-22,52-30,100.0%,39.3%,28.3%,9.6%,57,1,0.096,min,T-Wolves
2,Oklahoma City Thunder,56.5,25.5,.689,-0.21,1.14,7.01,50-22,7-3,60-22,51-31,100.0%,31.0%,30.3%,10.9%,56,1,0.109,okc,Thunder
3,Denver Nuggets,56.9,25.1,.693,0.07,-0.58,4.74,51-22,6-3,60-22,51-31,100.0%,29.7%,14.3%,4.2%,57,1,0.042,den,Nuggets
4,LA Clippers,51.1,30.9,.623,0.15,-0.10,3.63,45-27,6-4,55-27,46-36,99.5%,95.6%,6.5%,1.4%,51,0.995,0.013999999999999999,lac,Clippers
5,New Orleans Pelicans,50.2,31.8,.612,-0.13,1.12,5.03,44-28,6-4,54-28,45-37,98.6%,74.4%,12.8%,3.6%,50,0.986,0.036000000000000004,no,Pelicans
6,Dallas Mavericks,48.6,33.4,.593,0.17,-0.41,2.36,43-29,6-4,53-29,44-38,91.1%,25.6%,2.8%,0.5%,49,0.9109999999999999,0.005,dal,Mavericks
7,Sacramento Kings,46.9,35.1,.572,0.34,2.23,1.38,42-30,5-5,52-30,42-40,69.7%,2.4%,1.2%,0.2%,47,0.6970000000000001,0.002,sac,Kings
8,Phoenix Suns,46.9,35.1,.572,-0.54,4.66,2.43,43-30,4-5,52-30,43-39,66.7%,1.3%,2.1%,0.3%,47,0.667,0.003,phx,Suns
9,Los Angeles Lakers,45.8,36.2,.558,0.61,-0.60,0.88,41-32,5-4,50-32,41-41,42.1%,0.8%,0.7%,0.1%,46,0.42100000000000004,0.001,lal,Lakers
10,Golden State Warriors,44.1,37.9,.538,0.45,-1.98,2.33,38-34,6-4,48-34,38-44,26.7%,,0.9%,0.2%,44,0.267,0.002,gs,Warriors
11,Houston Rockets,42.4,39.6,.517,0.05,0.37,1.94,37-35,5-5,47-35,37-45,5.6%,,0.1%,0,42,0.055999999999999994,0,hou,Rockets
12,Utah Jazz,31.8,50.2,.388,0.42,2.75,-3.79,29-44,3-6,37-45,29-53,0,,,0,32,0,0,uta,Jazz
13,Memphis Grizzlies,27.3,54.7,.333,0.62,-1.00,-6.35,24-49,3-6,32-50,24-58,0,,,0,27,0,0,mem,Grizzlies
14,Portland Trail Blazers,21.6,60.4,.263,0.76,0.34,-7.53,19-54,3-6,27-55,19-63,0,,,0,22,0,0,por,Blazers
15,San Antonio Spurs,19.6,62.4,.239,0.61,1.69,-6.63,17-56,3-6,26-56,17-65,0,,,0,20,0,0,sa,Spurs
