Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,65.0,17.0,.792,-0.40,-1.99,11.15,57-15,8-2,67-15,60-22,100.0%,100.0%,77.8%,61.6%,65,1,0.616,bos,Celtics
2,Milwaukee Bucks,51.7,30.3,.630,-0.34,0.77,3.25,46-26,6-4,56-26,46-36,100.0%,68.7%,5.2%,1.6%,52,1,0.016,mil,Bucks
3,Cleveland Cavaliers,50.1,31.9,.611,-0.31,-1.64,3.11,44-28,6-4,54-28,45-37,99.9%,31.1%,4.4%,1.3%,50,0.9990000000000001,0.013000000000000001,cle,Cavaliers
4,New York Knicks,49.6,32.4,.604,-0.23,0.19,4.08,43-28,7-4,54-28,44-38,99.8%,,6.4%,2.4%,50,0.998,0.024,ny,Knicks
5,Orlando Magic,48.2,33.8,.588,-0.53,-0.54,1.56,42-29,6-5,53-29,42-40,98.8%,92.5%,1.6%,0.4%,48,0.988,0.004,orl,Magic
6,Indiana Pacers,46.2,35.8,.564,-0.19,-0.34,2.18,41-32,5-4,50-32,41-41,94.6%,0.2%,2.4%,0.7%,46,0.946,0.006999999999999999,ind,Pacers
7,Miami Heat,44.6,37.4,.543,-0.43,-1.70,-0.03,39-33,6-4,49-33,39-43,80.4%,7.5%,0.6%,0.1%,45,0.804,0.001,mia,Heat
8,Philadelphia 76ers,44.9,37.1,.547,-0.35,-1.40,1.77,39-33,6-4,49-33,39-43,84.8%,,1.6%,0.4%,45,0.848,0.004,phi,76ers
9,Chicago Bulls,38.3,43.7,.468,-0.34,0.00,-2.12,34-38,4-6,44-38,34-48,20.3%,,,0,38,0.203,0,chi,Bulls
10,Atlanta Hawks,37.0,45.0,.451,-0.25,0.11,-1.76,32-39,5-6,43-39,32-50,21.2%,,,0,37,0.212,0,atl,Hawks
11,Brooklyn Nets,31.8,50.2,.388,0.05,-1.32,-2.53,27-45,5-5,37-45,27-55,0.3%,,,0,32,0.003,0,bkn,Nets
12,Toronto Raptors,26.4,55.6,.322,-0.17,0.65,-5.17,23-49,3-7,32-50,23-59,0,,,0,26,0,0,tor,Raptors
13,Charlotte Hornets,19.0,63.0,.231,-0.32,3.30,-11.00,17-54,2-9,24-58,17-65,0,,,0,19,0,0,cha,Hornets
14,Washington Wizards,16.9,65.1,.206,0.11,-0.41,-9.64,14-58,3-7,23-59,14-68,0,,,0,17,0,0,wsh,Wizards
15,Detroit Pistons,15.1,66.9,.184,0.39,-2.46,-8.68,12-60,3-7,21-61,12-70,0,,,0,15,0,0,det,Pistons
1,Oklahoma City Thunder,57.2,24.8,.698,-0.25,1.13,7.16,50-21,7-4,61-21,52-30,100.0%,39.7%,32.9%,12.2%,57,1,0.122,okc,Thunder
2,Denver Nuggets,57.5,24.5,.701,0.02,-0.29,4.85,51-21,6-4,61-21,52-30,100.0%,34.2%,13.8%,3.7%,58,1,0.037000000000000005,den,Nuggets
3,Minnesota Timberwolves,56.7,25.3,.692,0.06,-0.96,6.68,49-22,8-3,60-22,51-31,100.0%,26.1%,27.2%,9.6%,57,1,0.096,min,T-Wolves
4,LA Clippers,50.6,31.4,.617,0.12,0.06,3.63,44-27,7-4,55-27,45-37,99.3%,93.6%,6.7%,1.5%,51,0.993,0.015,lac,Clippers
5,New Orleans Pelicans,50.2,31.8,.612,-0.14,1.07,5.03,44-28,6-4,54-28,44-38,99.0%,73.8%,12.6%,3.4%,50,0.99,0.034,no,Pelicans
6,Dallas Mavericks,48.7,33.3,.594,0.17,-0.49,2.37,43-29,6-4,53-29,43-39,93.0%,26.2%,2.5%,0.5%,49,0.93,0.005,dal,Mavericks
7,Sacramento Kings,46.9,35.1,.572,0.33,2.21,1.37,42-30,5-5,52-30,42-40,73.7%,4.1%,1.2%,0.2%,47,0.737,0.002,sac,Kings
8,Phoenix Suns,46.2,35.8,.563,-0.63,4.72,2.28,42-30,4-6,52-30,42-40,61.2%,1.3%,1.7%,0.3%,46,0.612,0.003,phx,Suns
9,Los Angeles Lakers,45.4,36.6,.553,0.68,-1.07,0.79,40-32,5-5,50-32,40-42,41.5%,1.0%,0.5%,0.1%,45,0.415,0.001,lal,Lakers
10,Golden State Warriors,43.6,38.4,.531,0.44,-1.69,2.22,37-34,7-4,48-34,38-44,27.3%,,0.9%,0.2%,44,0.273,0.002,gs,Warriors
11,Houston Rockets,41.6,40.4,.507,-0.05,1.02,1.78,36-35,6-5,47-35,36-46,5.1%,,0.1%,0,42,0.051,0,hou,Rockets
12,Utah Jazz,32.5,49.5,.396,0.50,1.78,-3.67,29-43,3-7,38-44,29-53,0,,,0,32,0,0,uta,Jazz
13,Memphis Grizzlies,27.6,54.4,.337,0.60,-0.80,-6.30,24-48,4-6,34-48,24-58,0,,,0,28,0,0,mem,Grizzlies
14,Portland Trail Blazers,21.9,60.1,.267,0.79,0.07,-7.42,19-53,3-7,27-55,19-63,0,,,0,22,0,0,por,Blazers
15,San Antonio Spurs,19.0,63.0,.231,0.66,1.13,-6.77,16-56,3-7,25-57,16-66,0,,,0,19,0,0,sa,Spurs
