Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,64.5,17.5,.787,-0.33,-2.87,11.05,58-16,7-1,66-16,60-22,100.0%,100.0%,76.5%,60.1%,64,1,0.601,bos,Celtics
2,Milwaukee Bucks,51.7,30.3,.630,-0.26,0.51,3.25,47-27,5-3,55-27,47-35,100.0%,86.0%,5.7%,1.9%,52,1,0.019,mil,Bucks
3,Cleveland Cavaliers,49.2,32.8,.601,-0.29,-1.84,2.55,45-30,4-3,52-30,45-37,99.8%,13.9%,3.2%,0.9%,49,0.998,0.009000000000000001,cle,Cavaliers
4,New York Knicks,48.7,33.3,.593,-0.31,1.11,4.36,44-30,5-3,52-30,44-38,99.8%,,7.6%,3.1%,49,0.998,0.031,ny,Knicks
5,Orlando Magic,47.4,34.6,.578,-0.49,-0.71,1.77,43-31,4-4,51-31,43-39,98.2%,80.6%,2.0%,0.6%,47,0.982,0.006,orl,Magic
6,Indiana Pacers,46.0,36.0,.561,-0.19,-0.24,2.03,42-33,4-3,49-33,42-40,93.6%,0.1%,2.3%,0.6%,46,0.9359999999999999,0.006,ind,Pacers
7,Miami Heat,45.3,36.7,.552,-0.65,-0.06,0.71,41-33,4-4,49-33,41-41,85.7%,19.4%,0.9%,0.1%,45,0.857,0.001,mia,Heat
8,Philadelphia 76ers,44.3,37.7,.541,-0.32,-2.05,1.87,40-35,4-3,47-35,40-42,81.8%,,1.8%,0.5%,44,0.818,0.005,phi,76ers
9,Chicago Bulls,39.2,42.8,.478,-0.25,-0.70,-1.73,36-39,3-4,43-39,36-46,20.3%,,,0,39,0.203,0,chi,Bulls
10,Atlanta Hawks,37.7,44.3,.459,-0.17,-0.52,-1.53,34-40,4-4,42-40,34-48,20.8%,,,0,38,0.20800000000000002,0,atl,Hawks
11,Brooklyn Nets,32.1,49.9,.392,-0.08,-0.35,-2.45,29-46,3-4,36-46,29-53,0,,,0,32,0,0,bkn,Nets
12,Toronto Raptors,25.6,56.4,.312,-0.05,0.24,-5.71,23-51,3-5,30-52,23-59,0,,,0,26,0,0,tor,Raptors
13,Charlotte Hornets,19.5,62.5,.238,-0.16,3.31,-10.71,18-56,1-7,24-58,18-64,0,,,0,20,0,0,cha,Hornets
14,Washington Wizards,15.8,66.2,.192,0.00,0.85,-9.68,14-61,2-5,20-62,14-68,0,,,0,16,0,0,wsh,Wizards
15,Detroit Pistons,15.5,66.5,.189,0.35,-2.63,-8.56,13-61,2-6,20-62,13-69,0,,,0,16,0,0,det,Pistons
1,Oklahoma City Thunder,57.3,24.7,.699,-0.16,0.65,7.22,52-22,5-3,60-22,53-29,100.0%,51.3%,34.1%,13.0%,57,1,0.13,okc,Thunder
2,Minnesota Timberwolves,56.6,25.4,.690,-0.03,-0.68,6.59,51-23,6-2,59-23,52-30,100.0%,31.2%,26.4%,9.7%,57,1,0.09699999999999999,min,T-Wolves
3,Denver Nuggets,56.8,25.2,.692,0.15,-2.11,4.91,52-23,5-2,59-23,53-29,100.0%,17.5%,13.7%,3.7%,57,1,0.037000000000000005,den,Nuggets
4,LA Clippers,51.8,30.2,.632,0.00,0.87,3.58,47-27,5-3,55-27,47-35,99.9%,99.2%,6.7%,1.5%,52,0.9990000000000001,0.015,lac,Clippers
5,New Orleans Pelicans,50.2,31.8,.612,0.05,-0.50,5.01,45-29,5-3,53-29,45-37,99.1%,52.8%,11.0%,3.1%,50,0.991,0.031,no,Pelicans
6,Dallas Mavericks,49.7,32.3,.606,0.15,-0.83,2.58,45-29,5-3,53-29,45-37,97.9%,47.2%,3.6%,0.6%,50,0.9790000000000001,0.006,dal,Mavericks
7,Sacramento Kings,46.7,35.3,.570,0.29,2.83,1.54,43-31,4-4,51-31,43-39,67.2%,0.5%,1.2%,0.1%,47,0.672,0.001,sac,Kings
8,Phoenix Suns,46.5,35.5,.567,-0.46,4.30,2.13,43-31,4-4,51-31,43-39,61.3%,0.3%,1.7%,0.3%,46,0.613,0.003,phx,Suns
9,Los Angeles Lakers,45.7,36.3,.558,0.56,-0.80,0.74,42-33,4-3,49-33,42-40,40.6%,0.1%,0.5%,0.1%,46,0.406,0.001,lal,Lakers
10,Golden State Warriors,44.6,37.4,.544,0.19,-0.45,2.31,40-34,5-3,48-34,40-42,31.2%,,1.0%,0.2%,45,0.312,0.002,gs,Warriors
11,Houston Rockets,42.1,39.9,.514,0.01,0.67,1.61,38-36,4-4,46-36,38-44,2.8%,,0.1%,0.1%,42,0.027999999999999997,0.001,hou,Rockets
12,Utah Jazz,31.1,50.9,.379,0.43,2.98,-3.96,29-46,2-5,36-46,29-53,0,,,0,31,0,0,uta,Jazz
13,Memphis Grizzlies,26.9,55.1,.328,0.61,-1.27,-6.67,24-50,3-5,32-50,24-58,0,,,0,27,0,0,mem,Grizzlies
14,Portland Trail Blazers,21.2,60.8,.258,0.75,0.36,-8.24,19-55,2-6,25-57,19-63,0,,,0,21,0,0,por,Blazers
15,San Antonio Spurs,20.1,61.9,.245,0.64,1.24,-6.40,18-57,2-5,25-57,18-64,0,,,0,20,0,0,sa,Spurs
