Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,55.7,26.3,.679,-0.26,-0.05,5.59,37-16,19-10,65-17,46-36,100.0%,92.1%,78,15.7,4.4,1.6,0.4,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,34.5%,23.8%
2,Milwaukee Bucks,51.9,30.1,.632,-0.18,0.34,2.23,36-17,16-13,61-21,41-41,100.0%,57.4%,10.4,36.5,24,18,9.8,1.2,0.1,NA,NA,99.8,0.2,NA,NA,NA,,NA,9.3%,4.7%
3,Cleveland Cavaliers,50.7,31.3,.618,0.16,-0.98,5.09,33-22,18-9,59-23,41-41,99.9%,42.6%,6.2,24.8,28.3,23.1,14.6,2.4,0.4,0.1,NA,99.4,0.6,NA,NA,NA,,NA,25.7%,16.8%
4,Philadelphia 76ers,50.5,31.5,.616,-0.56,1.06,3.09,34-18,16-14,60-22,40-42,99.7%,6.4%,4.4,17.6,28.2,28.4,16.8,3.6,0.6,0.3,NA,98.9,0.9,0.2,NA,NA,,NA,12.7%,7.1%
5,Brooklyn Nets,48.5,33.5,.592,-0.13,0.34,2.01,32-20,17-13,59-23,38-44,98.9%,1.5%,1,5.4,14.4,25.4,39,10.1,2.4,1.2,NA,95.3,3.4,1,0.3,0.1,,NA,6.9%,3.1%
6,Miami Heat,43.2,38.8,.527,0.09,0.10,0.20,29-25,14-14,52-30,34-48,73.3%,67.1%,NA,0.1,0.4,1.7,8.6,30.8,18,13.8,NA,41.5,22.2,14.3,9.8,6.5,5.7,NA,2.2%,0.8%
7,New York Knicks,43.4,38.6,.529,-0.04,0.34,1.70,29-26,14-13,54-28,34-48,76.5%,,NA,0.1,0.3,1.4,6.7,28.4,24.5,15.1,NA,36.8,27.3,16.7,9.5,5.9,3.8,NA,4.3%,1.7%
8,Chicago Bulls,40.8,41.2,.498,0.31,-0.37,0.65,25-27,16-14,51-31,32-50,45.4%,,NA,NA,0.1,0.2,1.5,6.8,17.9,19,NA,8.5,14.2,22.3,19.3,16.1,19.5,NA,1.7%,0.6%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Atlanta Hawks,40.9,41.1,.499,-0.12,0.19,-0.36,27-27,14-14,53-29,30-52,43.3%,22.7%,NA,NA,NA,0.3,2,9.4,15.3,16.4,NA,11.6,15,17.8,19.6,16.1,19.8,NA,0.9%,0.3%
