Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.6,25.4,.690,-0.35,0.34,5.78,42-17,15-8,64-18,49-33,100.0%,94.0%,32.8%,22.7%,57,1,0.22699999999999998,bos
2,Milwaukee Bucks,54.9,27.1,.669,-0.11,0.23,3.12,41-17,14-10,63-19,46-36,100.0%,78.1%,12.4%,6.7%,55,1,0.067,mil
3,Cleveland Cavaliers,51.9,30.1,.633,-0.02,-0.72,5.60,38-23,14-7,59-23,44-38,100.0%,21.9%,28.6%,19.5%,52,1,0.195,cle
4,Philadelphia 76ers,52.0,30.0,.634,-0.37,1.02,3.52,38-19,14-11,61-21,43-39,100.0%,5.9%,12.6%,6.9%,52,1,0.069,phi
5,Brooklyn Nets,47.0,35.0,.573,0.05,0.21,1.77,34-24,13-11,56-26,38-44,97.7%,0.1%,3.9%,1.7%,47,0.977,0.017,bkn
6,New York Knicks,45.1,36.9,.550,0.04,0.24,2.27,33-27,12-10,53-29,37-45,91.7%,,5.4%,2.5%,45,0.917,0.025,ny
7,Miami Heat,43.2,38.8,.527,-0.02,0.60,0.01,32-27,11-12,51-31,35-47,75.1%,70.9%,1.4%,0.5%,43,0.7509999999999999,0.005,mia
8,Washington Wizards,40.7,41.3,.496,0.15,-0.21,0.45,28-30,13-11,49-33,32-50,47.3%,18.6%,1.0%,0.4%,41,0.473,0.004,wsh
9,Atlanta Hawks,39.9,42.1,.486,-0.22,0.72,-0.58,29-30,11-12,48-34,31-51,33.8%,10.5%,0.5%,0.1%,40,0.33799999999999997,0.001,atl
10,Toronto Raptors,39.7,42.3,.484,0.00,0.42,0.87,28-31,12-11,48-34,31-51,34.1%,,1.2%,0.5%,40,0.341,0.005,tor
11,Chicago Bulls,37.9,44.1,.462,0.33,-0.40,0.04,26-33,12-11,47-35,29-53,15.9%,,0.2%,0.1%,38,0.159,0.001,chi
12,Indiana Pacers,35.7,46.3,.436,0.47,-0.39,-2.16,26-34,10-12,44-38,29-53,3.9%,,,0,36,0.039,0,ind
13,Orlando Magic,34.1,47.9,.416,0.28,-0.11,-2.49,24-35,10-13,43-39,26-56,0.7%,,,0,34,0.006999999999999999,0,orl
14,Detroit Pistons,22.6,59.4,.276,0.78,-0.59,-6.81,15-44,8-15,31-51,16-66,0,,,0,23,0,0,det
15,Charlotte Hornets,24.6,57.4,.300,0.38,0.26,-6.04,17-43,8-14,33-49,18-64,0,,,0,25,0,0,cha
1,Denver Nuggets,54.8,27.2,.668,-0.38,0.03,3.98,41-18,14-9,64-18,46-36,100.0%,100.0%,30.9%,14.4%,55,1,0.14400000000000002,den
2,Memphis Grizzlies,50.5,31.5,.616,-0.11,-0.84,3.80,35-22,16-9,59-23,41-41,100.0%,97.5%,25.9%,11.7%,50,1,0.11699999999999999,mem
3,Sacramento Kings,45.1,36.9,.550,-0.70,0.63,1.58,32-25,13-12,53-29,36-46,91.4%,50.2%,9.2%,2.8%,45,0.914,0.027999999999999997,sac
4,Phoenix Suns,43.6,38.4,.531,-0.08,0.34,1.29,32-28,12-10,52-30,35-47,82.2%,30.2%,7.3%,2.2%,44,0.8220000000000001,0.022000000000000002,phx
5,Dallas Mavericks,43.2,38.8,.527,0.17,-1.17,0.65,31-29,12-10,51-31,34-48,76.8%,1.6%,4.7%,1.4%,43,0.768,0.013999999999999999,dal
6,LA Clippers,42.9,39.1,.523,-0.63,1.18,-0.31,33-28,10-11,51-31,35-47,67.3%,14.5%,3.0%,0.6%,43,0.6729999999999999,0.006,lac
7,New Orleans Pelicans,42.8,39.2,.522,0.03,-0.81,1.44,30-29,13-10,51-31,33-49,72.7%,0.9%,6.7%,2.0%,43,0.727,0.02,no
8,Oklahoma City Thunder,41.9,40.1,.511,0.05,-0.42,1.70,28-29,14-11,50-32,33-49,58.5%,,5.8%,2.0%,42,0.585,0.02,okc
9,Golden State Warriors,41.1,40.9,.501,-0.04,-0.11,0.04,29-29,12-12,49-33,32-50,44.1%,5.1%,1.9%,0.4%,41,0.441,0.004,gs
10,Minnesota Timberwolves,41.0,41.0,.501,-0.19,0.09,-0.25,31-30,10-11,50-32,32-50,43.9%,,2.0%,0.4%,41,0.439,0.004,min
11,Utah Jazz,40.4,41.6,.492,0.04,-0.39,0.37,29-31,11-11,49-33,31-51,34.1%,,1.7%,0.4%,40,0.341,0.004,uta
12,Portland Trail Blazers,39.6,42.4,.483,-0.16,0.16,-0.31,28-30,12-12,48-34,32-50,23.5%,,0.9%,0.3%,40,0.235,0.003,por
13,Los Angeles Lakers,37.9,44.1,.462,-0.05,0.04,-1.21,27-32,11-12,47-35,29-53,5.4%,0.1%,0.1%,0,38,0.054000000000000006,0,lal
14,Houston Rockets,20.0,62.0,.244,0.34,0.11,-8.06,13-45,7-17,30-52,14-68,0,,,0,20,0,0,hou
15,San Antonio Spurs,19.5,62.5,.238,0.31,0.19,-9.86,14-45,5-18,29-53,14-68,0,,,0,20,0,0,sa
