Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,59.0,23.0,.719,1.58,-0.61,10.05,16-5,43-18,72-10,44-38,100.0%,70.7%,68.6,25.1,5.2,0.9,0.3,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,42.0%,30.2%
2,Philadelphia 76ers,56.8,25.2,.692,0.52,-0.67,9.34,15-7,42-18,68-14,42-40,100.0%,29.1%,28,53.6,13.1,3.6,1.1,0.4,0.1,0.1,NA,99.8,0.2,NA,NA,NA,,NA,35.3%,24.2%
3,Orlando Magic,50.6,31.4,.617,-0.94,-0.03,4.19,16-7,35-24,64-18,36-46,97.9%,91.5%,2.3,11.7,35.4,22.6,12.4,7.5,3.9,2.1,NA,91.9,4.4,2.3,1,0.4,,NA,6.8%,3.2%
4,Milwaukee Bucks,48.6,33.4,.593,-0.65,0.36,2.79,16-7,33-26,63-19,34-48,92.9%,53.6%,0.5,5.3,18,22.8,19.1,13.4,8.1,5.6,NA,79.2,9.3,6.5,3.4,1.4,0.3,NA,3.6%,1.6%
5,Indiana Pacers,46.7,35.3,.569,-0.80,0.35,2.92,13-8,34-27,61-21,33-49,84.8%,34.1%,0.3,2,10.2,16,16.5,16,14,9.8,NA,61.0,14.6,11.6,7.7,3.7,1.4,NA,3.1%,1.2%
6,New York Knicks,46.3,35.7,.565,-0.27,0.58,3.14,13-9,33-27,59-23,30-52,83.5%,0.1%,0.1,0.9,6.8,12.8,17.2,18,15.4,12.3,NA,55.8,16.4,13.7,9.2,4,1.1,NA,3.3%,1.3%
7,Brooklyn Nets,46.0,36.0,.560,0.30,0.00,3.30,12-10,34-26,59-23,31-51,81.2%,0.1%,0.1,0.7,6.1,11,15.8,17.7,17,12.9,NA,51.4,17.2,14.9,10.2,4.9,1.6,NA,3.5%,1.5%
8,Cleveland Cavaliers,44.5,37.5,.542,1.00,-0.31,1.22,13-10,31-28,58-24,31-51,67.9%,12.2%,NA,0.6,3.5,6.6,10.2,14.1,17.3,15.6,NA,35.0,17.4,18.1,16.8,9.2,3.6,NA,1.3%,0.4%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Miami Heat,42.9,39.1,.524,-0.69,0.18,0.22,13-10,30-29,59-23,30-52,52.2%,6.5%,NA,0.2,1.4,3,5.5,9.2,15.1,17.8,NA,19.4,13.4,19.5,24.5,16,7.3,NA,0.5%,0.2%
